order_date,gross_order_value,total_refunds,recognized_revenue_operational
2023-11-02,500092.53,54942.26,445150.27
2024-08-30,472947.59,28526.49,444421.10
2025-04-22,558241.83,103523.05,454718.78
2023-02-05,553205.59,76053.32,477152.27
2023-03-15,575704.39,70929.05,504775.34
2025-06-01,480988.38,74357.59,406630.79
2023-06-29,558646.80,55536.35,503110.45
2025-03-04,404961.66,36796.77,368164.89
2025-06-12,362558.63,86189.07,276369.56
2024-05-17,583857.75,15868.13,567989.62
2023-05-28,483514.63,32826.04,450688.59
2023-05-01,411611.91,38116.34,373495.57
2024-12-11,531020.29,88586.04,442434.25
2025-04-11,604714.35,45313.56,559400.79
2023-01-20,532191.45,107740.91,424450.54
2024-12-20,408310.69,42117.52,366193.17
2024-12-21,521934.21,78586.93,443347.28
2025-11-07,421143.74,82763.47,338380.27
2024-01-30,535713.77,69028.17,466685.60
2023-04-14,439905.11,111347.13,328557.98
2024-04-25,516019.28,80503.29,435515.99
2024-06-16,376396.78,60260.52,316136.26
2023-03-08,619466.01,65435.73,554030.28
2025-12-19,655323.77,115488.47,539835.30
2024-06-11,414227.72,50786.14,363441.58
2023-11-06,508045.41,96876.64,411168.77
2023-01-06,601316.63,60100.36,541216.27
2025-08-13,432734.45,114752.89,317981.56
2023-08-21,671879.09,94634.55,577244.54
2023-12-09,627629.62,112592.37,515037.25
2025-04-30,529921.99,97590.82,432331.17
2023-01-13,509723.86,127168.16,382555.70
2023-02-12,698753.70,117911.99,580841.71
2023-05-04,411494.67,113702.20,297792.47
2023-05-25,558818.52,80735.39,478083.13
2024-11-30,639135.72,128054.15,511081.57
2025-05-29,532156.68,82307.72,449848.96
2024-08-26,620473.36,121018.49,499454.87
2025-03-06,373670.25,37359.62,336310.63
2023-07-13,798806.60,85250.71,713555.89
2024-03-18,551509.75,85654.40,465855.35
2025-02-21,586390.18,16576.20,569813.98
2024-10-27,508217.68,45710.95,462506.73
2023-09-20,426633.56,46601.67,380031.89
2024-05-21,709702.19,121618.90,588083.29
2024-06-30,612995.20,109298.06,503697.14
2024-02-06,558877.84,93530.78,465347.06
2025-06-28,523619.86,64979.20,458640.66
2024-06-08,495466.36,80514.92,414951.44
2025-04-08,478112.94,66618.08,411494.86
2024-12-15,520551.85,115954.72,404597.13
2024-06-05,457848.69,83772.67,374076.02
2023-01-08,524366.66,73886.69,450479.97
2024-02-27,742888.35,140067.05,602821.30
2025-11-29,362149.98,34264.72,327885.26
2025-03-11,373664.86,5422.22,368242.64
2023-10-27,532138.52,152381.65,379756.87
2025-01-23,455312.02,70556.46,384755.56
2025-03-18,463284.38,103028.85,360255.53
2024-10-05,444319.08,19266.96,425052.12
2024-02-14,548270.89,88800.02,459470.87
2023-03-20,536458.53,65172.30,471286.23
2025-05-28,458508.68,48860.44,409648.24
2025-03-12,394686.46,100594.48,294091.98
2025-12-21,565157.17,77974.58,487182.59
2024-03-01,513065.37,107823.86,405241.51
2024-03-04,624167.47,38392.80,585774.67
2023-07-21,727880.57,107799.71,620080.86
2024-05-18,573113.35,134820.26,438293.09
2023-06-25,492333.82,45453.39,446880.43
2025-07-06,528470.23,52860.69,475609.54
2023-06-04,477385.69,98023.26,379362.43
2023-04-19,625658.63,150482.04,475176.59
2025-08-12,478869.08,48235.55,430633.53
2024-06-26,631086.82,138695.20,492391.62
2024-09-02,504354.39,93875.76,410478.63
2024-10-06,575630.81,71895.36,503735.45
2025-08-06,558788.83,53791.02,504997.81
2023-11-22,344028.64,53868.13,290160.51
2023-12-20,446430.15,61672.86,384757.29
2023-09-07,643210.19,102375.61,540834.58
2024-07-13,572680.73,173279.66,399401.07
2024-01-29,369409.79,101386.64,268023.15
2024-11-28,491357.01,126276.50,365080.51
2023-04-23,532158.05,145040.73,387117.32
2023-01-27,548459.63,104303.43,444156.20
2025-04-13,547756.88,51983.66,495773.22
2023-08-24,544884.64,121477.20,423407.44
2024-01-28,580271.06,20159.13,560111.93
2023-05-17,579134.61,66863.43,512271.18
2023-10-26,524700.25,57932.41,466767.84
2023-04-24,703614.84,158308.74,545306.10
2024-08-24,480388.11,45411.84,434976.27
2025-12-18,746990.73,73073.42,673917.31
2025-08-19,594328.47,131697.02,462631.45
2025-10-27,590907.24,41187.21,549720.03
2024-11-04,701414.63,104839.06,596575.57
2025-06-13,359191.10,9671.63,349519.47
2023-11-29,400958.49,47978.92,352979.57
2025-07-28,479398.34,89476.68,389921.66
2024-11-09,391437.01,83329.95,308107.06
2024-06-13,689879.95,85779.11,604100.84
2024-05-29,589313.62,54621.46,534692.16
2024-08-15,401237.19,51807.68,349429.51
2023-07-29,493271.98,49850.27,443421.71
2025-01-30,522765.00,87852.63,434912.37
2024-03-15,643395.58,135892.89,507502.69
2025-05-10,363894.53,61149.51,302745.02
2023-02-07,619726.64,2727.64,616999.00
2023-10-08,457569.75,49801.21,407768.54
2025-02-07,396981.92,71269.58,325712.34
2023-01-10,511146.76,45494.83,465651.93
2025-08-15,680983.06,136985.26,543997.80
2023-03-02,794625.22,141725.12,652900.10
2025-12-03,689217.98,86011.58,603206.40
2025-09-19,933939.84,114544.26,819395.58
2024-04-10,679386.44,113731.04,565655.40
2023-08-31,641003.27,92667.02,548336.25
2023-08-29,493049.92,71264.88,421785.04
2025-04-19,488583.79,100826.24,387757.55
2023-07-08,393853.85,46328.60,347525.25
2024-08-20,689216.22,118959.69,570256.53
2025-06-14,467478.07,63452.47,404025.60
2023-03-09,559030.60,40573.53,518457.07
2023-02-15,460171.28,81835.67,378335.61
2024-12-03,391425.58,53054.36,338371.22
2025-12-11,608839.41,112696.27,496143.14
2025-05-14,551858.33,95390.09,456468.24
2025-09-01,535330.09,131618.87,403711.22
2024-12-24,478323.11,84878.04,393445.07
2023-11-23,577453.99,90735.72,486718.27
2024-05-02,703972.16,123580.59,580391.57
2023-10-31,606337.11,84187.30,522149.81
2023-10-16,354899.87,57379.58,297520.29
2024-02-03,456469.58,32188.97,424280.61
2025-04-23,749179.83,92533.88,656645.95
2025-11-02,577362.51,122697.94,454664.57
2025-05-04,500220.31,85742.70,414477.61
2024-01-01,526962.74,12839.17,514123.57
2024-07-16,546355.85,89829.04,456526.81
2023-11-16,634964.60,109771.99,525192.61
2025-08-23,381480.01,58062.15,323417.86
2023-09-04,484072.14,106628.46,377443.68
2023-09-18,637373.17,51899.72,585473.45
2023-12-08,552365.42,94231.81,458133.61
2024-07-31,672888.37,110146.52,562741.85
2023-08-16,449718.83,98654.43,351064.40
2025-03-10,556645.64,85271.85,471373.79
2023-01-28,524073.08,106150.99,417922.09
2025-11-13,449219.75,24459.18,424760.57
2024-04-06,529250.02,101998.49,427251.53
2024-10-29,616721.68,84417.34,532304.34
2023-12-12,631853.80,81787.78,550066.02
2024-09-04,480700.99,38636.80,442064.19
2024-07-04,606414.38,72166.97,534247.41
2024-01-25,576561.08,87910.70,488650.38
2025-06-02,519991.83,81071.32,438920.51
2025-01-22,566530.52,88983.59,477546.93
2024-06-01,506904.19,106988.01,399916.18
2025-11-22,492179.13,71464.79,420714.34
2024-03-31,340610.40,64850.99,275759.41
2025-12-04,501424.30,27014.00,474410.30
2024-10-21,529892.26,68823.66,461068.60
2025-04-09,489514.65,69000.37,420514.28
2023-02-18,529712.29,152719.67,376992.62
2024-03-25,452742.74,85920.77,366821.97
2024-01-23,580228.73,49297.20,530931.53
2025-06-29,475049.83,53740.10,421309.73
2024-12-26,580592.95,74362.21,506230.74
2025-08-20,659927.97,112394.86,547533.11
2025-04-10,528938.34,74329.62,454608.72
2023-10-11,471472.32,69542.62,401929.70
2024-01-16,744070.87,93097.81,650973.06
2023-08-01,434777.64,80977.97,353799.67
2024-08-23,602694.02,86855.34,515838.68
2025-04-12,477952.19,52723.45,425228.74
2024-11-02,503824.84,66182.54,437642.30
2025-05-09,460697.40,69717.02,390980.38
2024-12-14,407858.37,39034.81,368823.56
2023-05-10,601802.82,104799.38,497003.44
2025-02-17,546006.06,49035.76,496970.30
2025-07-21,505221.81,52161.74,453060.07
2024-01-24,509478.46,86556.26,422922.20
2024-05-31,609493.49,127481.34,482012.15
2025-05-19,555399.36,71719.07,483680.29
2024-09-03,527109.37,123459.43,403649.94
2024-01-20,477232.89,112729.51,364503.38
2023-03-22,463417.97,31894.12,431523.85
2024-07-05,614760.01,49046.54,565713.47
2024-10-25,406441.09,38574.70,367866.39
2025-11-10,571098.67,140444.22,430654.45
2023-11-07,491943.01,68678.52,423264.49
2023-12-05,628661.83,152664.19,475997.64
2023-08-02,673987.54,121878.73,552108.81
2025-12-26,553878.90,66635.37,487243.53
2025-10-31,504237.38,41967.93,462269.45
2024-04-21,495920.08,50259.78,445660.30
2023-12-18,505020.93,122711.08,382309.85
2025-07-07,382258.53,41792.51,340466.02
2025-04-14,652483.03,100638.65,551844.38
2023-09-28,453846.79,74611.29,379235.50
2025-12-07,547907.34,58189.50,489717.84
2024-02-13,506836.99,55953.96,450883.03
2025-09-03,449933.86,87114.12,362819.74
2024-11-18,488525.86,19440.61,469085.25
2024-04-12,560642.43,103971.19,456671.24
2023-05-24,531712.64,16133.86,515578.78
2023-07-02,412000.13,79993.81,332006.32
2025-10-11,416590.82,25985.85,390604.97
2024-09-28,397792.49,29885.71,367906.78
2025-11-08,528220.87,92250.37,435970.50
2025-05-23,419087.22,34146.89,384940.33
2025-03-13,628346.84,81956.52,546390.32
2025-10-10,425163.28,62167.35,362995.93
2025-07-18,542398.56,119961.59,422436.97
2024-11-12,356376.46,28422.76,327953.70
2024-03-30,611658.46,46433.80,565224.66
2024-11-06,378501.42,62233.78,316267.64
2023-02-24,556777.68,77552.26,479225.42
2024-10-09,564515.28,71180.97,493334.31
2023-03-25,659467.58,99023.26,560444.32
2024-12-08,619662.58,127587.35,492075.23
2024-10-26,543923.20,95927.14,447996.06
2024-11-29,511939.01,84520.92,427418.09
2023-07-06,411860.19,84295.28,327564.91
2025-06-22,599237.34,65527.26,533710.08
2025-10-05,484101.05,113746.81,370354.24
2023-04-06,534925.63,53931.75,480993.88
2024-04-07,722994.59,110262.43,612732.16
2025-05-06,777786.41,107885.53,669900.88
2023-02-21,546294.63,54838.91,491455.72
2025-02-05,759136.79,120385.15,638751.64
2025-12-09,456159.69,60861.98,395297.71
2023-01-24,444891.52,31062.37,413829.15
2024-08-29,690309.33,120677.43,569631.90
2024-02-18,618575.39,57590.68,560984.71
2024-08-14,620092.44,108415.56,511676.88
2024-12-10,469767.06,18287.56,451479.50
2023-09-01,478384.95,77359.19,401025.76
2024-06-27,534945.38,85450.38,449495.00
2024-01-11,409685.03,38209.56,371475.47
2025-02-24,368132.96,34425.96,333707.00
2024-10-24,602507.90,41376.98,561130.92
2024-10-19,476386.06,31640.21,444745.85
2025-02-08,530298.66,109213.95,421084.71
2023-12-07,582984.40,78176.44,504807.96
2023-07-26,490893.42,47160.97,443732.45
2023-04-05,607579.04,64805.07,542773.97
2025-02-26,584051.68,69761.55,514290.13
2024-07-15,574721.48,29790.27,544931.21
2023-05-18,499761.73,68672.69,431089.04
2024-03-23,475493.05,152824.86,322668.19
2024-06-07,575391.63,125618.47,449773.16
2024-02-29,504814.61,128436.39,376378.22
2023-06-22,458967.10,88488.93,370478.17
2024-12-09,718661.51,82095.04,636566.47
2023-08-10,488654.97,39758.85,448896.12
2025-01-02,605727.05,97324.95,508402.10
2025-05-15,648608.97,217012.04,431596.93
2023-06-30,729355.63,41135.22,688220.41
2023-10-13,672422.47,57494.98,614927.49
2025-07-19,705228.91,136008.51,569220.40
2024-05-28,635832.29,87481.46,548350.83
2025-09-09,465373.22,111718.35,353654.87
2024-08-05,495072.59,148482.44,346590.15
2023-12-25,479300.84,90795.88,388504.96
2023-06-06,489279.32,50571.25,438708.07
2025-08-28,642130.13,53206.87,588923.26
2025-11-27,545426.67,49268.41,496158.26
2024-02-10,478457.00,79756.19,398700.81
2025-11-24,617726.39,65658.21,552068.18
2025-12-10,402372.00,15865.52,386506.48
2025-01-14,470663.94,98807.19,371856.75
2025-01-03,471716.54,123170.42,348546.12
2024-05-03,430741.89,41462.05,389279.84
2025-01-21,641279.75,74358.15,566921.60
2024-01-04,450848.70,111320.35,339528.35
2023-05-27,402570.02,74827.67,327742.35
2024-12-02,583624.81,89180.18,494444.63
2024-01-15,687839.44,145240.91,542598.53
2023-10-23,673795.68,93043.49,580752.19
2024-11-24,681749.46,38338.87,643410.59
2024-02-16,458902.31,82498.58,376403.73
2023-06-03,545435.19,145192.00,400243.19
2025-05-07,653770.31,101666.97,552103.34
2023-05-07,690644.79,168265.88,522378.91
2023-06-10,628444.34,105767.14,522677.20
2024-01-13,503510.96,131262.57,372248.39
2025-11-09,653586.67,93806.42,559780.25
2023-09-30,482917.32,65785.45,417131.87
2023-12-02,477423.88,52381.91,425041.97
2025-09-14,567058.52,72199.08,494859.44
2024-08-03,475739.49,35254.30,440485.19
2023-03-29,413350.83,32895.33,380455.50
2024-09-16,420693.66,22791.65,397902.01
2023-11-03,747247.19,111263.57,635983.62
2023-02-03,482242.93,29679.71,452563.22
2023-11-11,518634.00,46852.64,471781.36
2025-03-16,561253.04,78059.37,483193.67
2024-04-04,562441.35,13933.30,548508.05
2025-03-15,562976.41,31049.85,531926.56
2025-11-04,589273.41,152582.94,436690.47
2023-08-05,521693.30,75542.36,446150.94
2023-10-25,454424.25,49206.11,405218.14
2024-10-23,543724.53,42143.54,501580.99
2025-09-24,531448.79,144161.46,387287.33
2023-07-03,463157.33,96140.57,367016.76
2024-11-27,662504.11,78256.59,584247.52
2024-11-14,734937.98,64214.88,670723.10
2025-06-06,528231.38,169183.10,359048.28
2024-12-04,451972.31,69938.10,382034.21
2023-08-06,524383.59,39070.06,485313.53
2024-05-15,559677.61,75137.76,484539.85
2024-01-06,513363.73,45917.53,467446.20
2023-03-23,570711.60,65852.00,504859.60
2024-08-17,579703.40,59576.64,520126.76
2025-05-11,473606.90,83816.90,389790.00
2023-11-12,508026.84,66548.89,441477.95
2025-03-01,516866.49,69782.05,447084.44
2024-05-26,772112.45,155296.16,616816.29
2023-09-21,504751.37,58519.02,446232.35
2025-12-06,616365.67,94858.98,521506.69
2023-09-09,550157.85,76908.29,473249.56
2023-06-14,809465.00,84064.78,725400.22
2025-03-26,547230.58,95835.11,451395.47
2024-05-10,497099.09,149729.81,347369.28
2025-02-12,648550.74,44972.66,603578.08
2023-03-11,468265.17,53994.70,414270.47
2024-03-08,696221.39,62979.95,633241.44
2023-02-17,481673.70,90657.94,391015.76
2024-08-19,384550.09,59881.64,324668.45
2025-07-12,617618.94,55410.14,562208.80
2025-09-07,400693.18,70229.08,330464.10
2023-03-01,430619.89,85050.08,345569.81
2023-05-31,597496.82,81376.35,516120.47
2024-03-17,693518.80,84595.82,608922.98
2024-05-30,618177.16,46260.42,571916.74
2024-06-09,450589.41,63707.47,386881.94
2023-05-03,427886.54,79914.08,347972.46
2025-06-19,574813.39,71656.89,503156.50
2024-06-29,602259.61,69962.56,532297.05
2024-01-07,559578.74,106526.84,453051.90
2024-05-22,466423.67,74852.45,391571.22
2025-07-20,440175.62,43922.58,396253.04
2025-09-21,506285.30,38991.94,467293.36
2025-10-22,611766.30,105685.19,506081.11
2024-01-26,562312.45,56956.03,505356.42
2024-06-28,537069.31,95900.61,441168.70
2024-08-28,559770.53,32693.26,527077.27
2023-10-17,359705.15,84582.24,275122.91
2023-03-04,592448.83,26464.99,565983.84
2025-09-29,609468.53,145880.35,463588.18
2023-04-07,473547.05,74905.96,398641.09
2024-02-22,396150.84,69846.31,326304.53
2025-12-17,661561.34,129932.95,531628.39
2023-10-20,434088.36,29393.90,404694.46
2023-06-18,443026.69,26279.56,416747.13
2023-12-22,577987.38,158830.31,419157.07
2025-01-31,630599.69,84284.03,546315.66
2023-02-06,451962.85,70187.49,381775.36
2023-06-07,604446.56,121726.47,482720.09
2025-01-12,425255.76,65476.32,359779.44
2025-03-31,591169.95,49087.99,542081.96
2025-07-10,447643.98,30048.63,417595.35
2024-01-02,526895.91,61081.49,465814.42
2024-08-22,490177.45,49550.38,440627.07
2025-06-16,415781.80,85040.72,330741.08
2024-05-04,656439.98,115246.12,541193.86
2024-11-07,485803.57,101716.43,384087.14
2024-07-10,581130.37,126388.32,454742.05
2023-02-22,410866.11,117104.79,293761.32
2023-09-29,347350.19,44038.78,303311.41
2024-03-14,650709.04,93525.79,557183.25
2025-01-26,521636.07,56467.08,465168.99
2025-05-22,412557.15,80546.03,332011.12
2023-11-24,577742.47,73610.80,504131.67
2024-09-23,545957.30,72752.91,473204.39
2025-03-30,490894.06,5014.61,485879.45
2023-02-11,406332.06,74494.60,331837.46
2023-04-27,541970.92,119423.64,422547.28
2024-03-21,533023.57,68444.82,464578.75
2025-11-01,479136.89,52940.44,426196.45
2025-07-26,545035.52,103487.27,441548.25
2025-02-15,528400.60,18397.67,510002.93
2024-05-19,388123.40,61890.63,326232.77
2025-07-27,509277.49,82613.33,426664.16
2025-09-20,540781.23,69297.86,471483.37
2024-07-03,471110.69,27204.18,443906.51
2025-07-14,514896.68,47321.79,467574.89
2025-03-24,360679.29,61848.59,298830.70
2025-07-15,544204.49,51331.35,492873.14
2024-10-08,443637.19,91752.46,351884.73
2024-03-19,430003.82,112813.04,317190.78
2025-05-17,554363.47,31332.45,523031.02
2023-08-09,429691.19,80382.35,349308.84
2024-05-23,563936.40,40917.90,523018.50
2024-05-16,525174.91,145519.24,379655.67
2024-03-13,558479.07,24682.99,533796.08
2025-12-14,649849.23,42678.50,607170.73
2023-06-19,558499.60,102225.72,456273.88
2025-10-16,424444.08,48238.42,376205.66
2023-03-05,512812.87,53610.64,459202.23
2025-06-09,567846.05,136232.16,431613.89
2023-07-31,541035.32,57333.97,483701.35
2024-01-10,540536.26,61927.85,478608.41
2025-10-26,314589.34,12636.57,301952.77
2025-10-12,512731.75,72992.88,439738.87
2025-06-10,491086.06,85496.28,405589.78
2023-04-17,595307.56,33285.82,562021.74
2024-02-19,394385.00,85601.42,308783.58
2025-05-20,587631.33,170480.80,417150.53
2023-05-22,579888.41,46218.78,533669.63
2024-05-20,584870.25,95053.76,489816.49
2023-12-23,384870.40,74309.35,310561.05
2025-12-13,583779.97,93190.67,490589.30
2023-06-11,738360.26,86327.63,652032.63
2023-01-18,443014.50,30820.24,412194.26
2023-03-17,432080.85,134246.31,297834.54
2024-09-13,434720.26,75556.95,359163.31
2025-11-26,590458.80,58951.68,531507.12
2025-11-15,552241.42,75471.95,476769.47
2024-01-21,624501.68,96930.82,527570.86
2024-08-04,496426.48,26306.20,470120.28
2024-04-26,540307.28,96913.99,443393.29
2024-07-20,621301.61,100890.57,520411.04
2023-01-11,631290.64,160850.61,470440.03
2025-04-24,624861.10,96253.66,528607.44
2023-09-02,582604.83,68914.58,513690.25
2024-05-06,604958.19,60792.48,544165.71
2025-01-07,672569.92,124479.14,548090.78
2024-03-06,276383.51,45365.19,231018.32
2025-04-07,406681.57,40244.69,366436.88
2025-09-06,718930.13,60721.50,658208.63
2023-11-20,437498.08,84905.31,352592.77
2025-11-18,679274.17,87156.36,592117.81
2024-05-13,510230.02,43381.84,466848.18
2025-02-13,405041.11,59936.68,345104.43
2024-10-16,531391.06,89205.14,442185.92
2024-04-02,546995.98,166977.39,380018.59
2025-04-04,544324.98,66908.60,477416.38
2025-06-17,487429.57,94398.67,393030.90
2023-11-14,427177.43,35167.62,392009.81
2023-03-30,639389.81,117484.25,521905.56
2025-01-18,462061.50,83339.15,378722.35
2025-11-17,389867.76,55745.87,334121.89
2024-12-12,462631.16,64365.31,398265.85
2024-08-13,542411.52,100548.02,441863.50
2025-04-18,356277.02,82753.49,273523.53
2024-12-19,462874.62,77376.66,385497.96
2025-01-20,485916.48,69493.37,416423.11
2024-07-01,389254.00,70189.90,319064.10
2023-04-08,489640.90,52778.97,436861.93
2024-02-21,417558.69,69080.44,348478.25
2023-02-04,676829.99,96828.02,580001.97
2025-10-17,673363.52,150925.40,522438.12
2024-08-01,507807.69,156420.07,351387.62
2025-02-18,533611.18,104422.82,429188.36
2024-09-07,642079.49,95884.70,546194.79
2025-06-27,463421.86,73417.42,390004.44
2023-09-16,674288.76,61904.91,612383.85
2025-04-15,509302.76,88816.15,420486.61
2025-12-12,521153.10,88757.88,432395.22
2023-10-06,498599.47,44254.34,454345.13
2025-07-04,687022.24,161152.27,525869.97
2024-07-22,562816.05,63329.49,499486.56
2024-05-01,450378.95,40377.29,410001.66
2025-05-01,573028.21,39633.73,533394.48
2024-07-08,468176.11,62501.01,405675.10
2025-07-01,572877.02,49102.71,523774.31
2025-10-03,684101.17,138029.84,546071.33
2025-04-05,325252.37,47617.37,277635.00
2025-07-05,358523.92,47326.72,311197.20
2025-04-28,568598.77,72979.48,495619.29
2023-01-30,582969.38,70915.34,512054.04
2024-07-19,554658.14,21914.78,532743.36
2025-10-08,675633.01,84922.35,590710.66
2023-11-19,421153.90,58327.81,362826.09
2023-03-24,413416.14,83820.52,329595.62
2023-10-18,520298.05,50678.32,469619.73
2024-06-21,434588.47,36676.48,397911.99
2024-10-17,413950.73,74924.62,339026.11
2023-01-09,655682.76,143240.17,512442.59
2024-03-24,490796.84,32477.57,458319.27
2023-08-20,574246.95,115769.34,458477.61
2025-01-25,421978.01,61442.91,360535.10
2023-03-19,566575.95,47552.15,519023.80
2024-03-16,457709.84,44895.02,412814.82
2025-08-03,622246.77,136045.88,486200.89
2025-05-08,574180.54,80140.76,494039.78
2024-06-25,580132.56,114102.41,466030.15
2025-06-07,544553.91,54364.56,490189.35
2025-02-06,532465.83,37187.47,495278.36
2025-02-19,680451.31,79248.88,601202.43
2025-08-09,554572.97,53408.67,501164.30
2025-01-08,543069.45,55699.17,487370.28
2025-07-13,604999.18,106256.01,498743.17
2024-06-20,586622.62,93098.91,493523.71
2024-02-07,551391.52,33410.91,517980.61
2024-06-23,515080.08,50343.16,464736.92
2025-09-05,527905.57,56254.82,471650.75
2023-08-15,526812.21,11897.87,514914.34
2025-01-15,519502.64,105474.66,414027.98
2023-03-06,494533.07,149852.95,344680.12
2025-10-06,586819.77,81107.80,505711.97
2023-10-28,572249.05,80737.89,491511.16
2024-12-31,582148.11,89881.32,492266.79
2025-05-30,597753.31,44590.31,553163.00
2024-04-01,487872.57,42495.81,445376.76
2024-10-13,660107.90,140558.16,519549.74
2023-05-15,541416.58,75690.03,465726.55
2024-11-05,482978.45,64495.31,418483.14
2023-05-23,563804.96,55436.90,508368.06
2023-07-17,530959.38,21517.20,509442.18
2025-03-07,496419.32,71483.01,424936.31
2023-07-10,532211.02,89653.81,442557.21
2024-05-14,352140.41,38071.83,314068.58
2025-05-03,545459.69,18598.81,526860.88
2025-02-04,569015.77,112705.81,456309.96
2023-04-01,614909.29,78312.15,536597.14
2025-11-28,495100.01,118853.29,376246.72
2025-09-15,454019.75,21428.16,432591.59
2025-05-24,578693.04,17156.96,561536.08
2023-01-26,414739.36,87315.81,327423.55
2023-12-19,542889.47,31390.76,511498.71
2025-03-29,525262.32,122448.27,402814.05
2023-10-05,654740.63,131464.55,523276.08
2025-09-30,448596.34,20414.12,428182.22
2024-11-20,447510.06,18262.24,429247.82
2025-01-06,501795.39,89480.53,412314.86
2023-11-25,744008.28,113696.35,630311.93
2024-12-29,537610.05,79499.55,458110.50
2024-02-20,719329.23,36947.50,682381.73
2024-09-01,375435.89,33986.25,341449.64
2024-08-27,522319.32,74815.98,447503.34
2024-08-10,477665.89,127878.47,349787.42
2024-12-13,475670.74,72521.04,403149.70
2025-09-23,493444.76,28718.74,464726.02
2023-07-16,585842.79,61602.24,524240.55
2023-02-28,560926.70,24168.71,536757.99
2025-08-01,545213.33,27182.25,518031.08
2025-04-25,393301.30,48096.08,345205.22
2024-02-26,840176.31,41283.51,798892.80
2025-08-26,504105.01,98719.77,405385.24
2023-09-19,581977.15,76775.86,505201.29
2024-09-06,487836.03,101230.78,386605.25
2024-10-11,545387.62,57411.99,487975.63
2023-09-12,740830.71,225304.36,515526.35
2024-01-12,380963.87,24295.85,356668.02
2023-07-19,615630.58,81821.06,533809.52
2023-04-13,354849.30,40687.45,314161.85
2024-09-26,406894.02,88556.09,318337.93
2024-01-18,384634.31,98127.51,286506.80
2024-02-15,703851.04,175364.12,528486.92
2024-09-20,501861.78,86534.55,415327.23
2024-07-18,529269.03,80154.80,449114.23
2025-03-21,417971.48,83270.88,334700.60
2025-01-11,688762.94,85116.99,603645.95
2025-04-27,426096.84,120745.25,305351.59
2023-01-01,455871.99,66825.98,389046.01
2023-11-01,517439.34,111014.97,406424.37
2024-06-24,682542.94,129483.55,553059.39
2024-10-18,484656.33,57231.09,427425.24
2025-08-04,511146.74,116918.68,394228.06
2025-03-08,567501.88,86343.81,481158.07
2024-03-03,419207.20,15036.24,404170.96
