order_date,recognized_revenue_operational,completed_orders,aov_operational
2025-08-16,529992.61,36,14722.02
2024-08-09,585171.38,46,12721.12
2024-02-25,411661.20,34,12107.68
2023-03-31,462629.57,39,11862.30
2024-07-06,463427.21,31,14949.26
2023-11-02,445150.27,35,12718.58
2024-08-30,444421.10,34,13071.21
2025-04-22,454718.78,37,12289.70
2023-02-05,477152.27,37,12896.01
2023-03-15,504775.34,42,12018.46
2025-06-01,406630.79,30,13554.36
2023-06-29,503110.45,36,13975.29
2025-03-04,368164.89,25,14726.60
2025-06-12,276369.56,21,13160.46
2024-05-17,567989.62,40,14199.74
2023-05-28,450688.59,35,12876.82
2023-05-01,373495.57,29,12879.16
2024-12-11,442434.25,37,11957.68
2025-04-11,559400.79,38,14721.07
2023-01-20,424450.54,33,12862.14
2024-12-20,366193.17,26,14084.35
2024-12-21,443347.28,39,11367.88
2025-11-07,338380.27,25,13535.21
2024-01-30,466685.60,31,15054.37
2023-04-14,328557.98,30,10951.93
2024-04-25,435515.99,32,13609.87
2024-06-16,316136.26,28,11290.58
2023-03-08,554030.28,36,15389.73
2025-12-19,539835.30,41,13166.71
2024-06-11,363441.58,29,12532.47
2023-11-06,411168.77,35,11747.68
2023-01-06,541216.27,39,13877.34
2025-08-13,317981.56,28,11356.48
2023-08-21,577244.54,34,16977.78
2023-12-09,515037.25,40,12875.93
2025-04-30,432331.17,31,13946.17
2023-01-13,382555.70,28,13662.70
2023-02-12,580841.71,38,15285.31
2023-05-04,297792.47,29,10268.71
2023-05-25,478083.13,37,12921.17
2024-11-30,511081.57,43,11885.62
2025-05-29,449848.96,36,12495.80
2024-08-26,499454.87,39,12806.54
2025-03-06,336310.63,24,14012.94
2023-07-13,713555.89,46,15512.08
2024-03-18,465855.35,33,14116.83
2025-02-21,569813.98,36,15828.17
2024-10-27,462506.73,37,12500.18
2023-09-20,380031.89,24,15834.66
2024-05-21,588083.29,42,14001.98
2024-06-30,503697.14,37,13613.44
2024-02-06,465347.06,37,12576.95
2025-06-28,458640.66,36,12740.02
2024-06-08,414951.44,29,14308.67
2025-04-08,411494.86,31,13274.03
2024-12-15,404597.13,33,12260.52
2024-06-05,374076.02,35,10687.89
2023-01-08,450479.97,34,13249.41
2024-02-27,602821.30,42,14352.89
2025-11-29,327885.26,29,11306.39
2025-03-11,368242.64,27,13638.62
2023-10-27,379756.87,27,14065.07
2025-01-23,384755.56,31,12411.47
2025-03-18,360255.53,29,12422.60
2024-10-05,425052.12,33,12880.37
2024-02-14,459470.87,33,13923.36
2023-03-20,471286.23,37,12737.47
2025-05-28,409648.24,27,15172.16
2025-03-12,294091.98,19,15478.53
2025-12-21,487182.59,33,14763.11
2024-03-01,405241.51,32,12663.80
2024-03-04,585774.67,43,13622.67
2023-07-21,620080.86,39,15899.51
2024-05-18,438293.09,32,13696.66
2023-06-25,446880.43,32,13965.01
2025-07-06,475609.54,33,14412.41
2023-06-04,379362.43,31,12237.50
2023-04-19,475176.59,33,14399.29
2025-08-12,430633.53,27,15949.39
2024-06-26,492391.62,37,13307.88
2024-09-02,410478.63,30,13682.62
2024-10-06,503735.45,40,12593.39
2025-08-06,504997.81,36,14027.72
2023-11-22,290160.51,25,11606.42
2023-12-20,384757.29,31,12411.53
2023-09-07,540834.58,35,15452.42
2024-07-13,399401.07,29,13772.45
2024-01-29,268023.15,19,14106.48
2024-11-28,365080.51,27,13521.50
2023-04-23,387117.32,31,12487.66
2023-01-27,444156.20,31,14327.62
2025-04-13,495773.22,30,16525.77
2023-08-24,423407.44,32,13231.48
2024-01-28,560111.93,48,11669.00
2023-05-17,512271.18,36,14229.76
2023-10-26,466767.84,32,14586.50
2023-04-24,545306.10,50,10906.12
2024-08-24,434976.27,34,12793.42
2025-12-18,673917.31,47,14338.67
2025-08-19,462631.45,37,12503.55
2025-10-27,549720.03,37,14857.30
2024-11-04,596575.57,42,14204.18
2025-06-13,349519.47,27,12945.17
2023-11-29,352979.57,29,12171.71
2025-07-28,389921.66,30,12997.39
2024-11-09,308107.06,26,11850.27
2024-06-13,604100.84,46,13132.63
2024-05-29,534692.16,37,14451.14
2024-08-15,349429.51,28,12479.63
2023-07-29,443421.71,34,13041.82
2025-01-30,434912.37,35,12426.07
2024-03-15,507502.69,39,13012.89
2025-05-10,302745.02,28,10812.32
2023-02-07,616999.00,42,14690.45
2023-10-08,407768.54,30,13592.28
2025-02-07,325712.34,24,13571.35
2023-01-10,465651.93,37,12585.19
2025-08-15,543997.80,39,13948.66
2023-03-02,652900.10,49,13324.49
2025-12-03,603206.40,40,15080.16
2025-09-19,819395.58,55,14898.10
2024-04-10,565655.40,39,14503.98
2023-08-31,548336.25,37,14819.90
2023-08-29,421785.04,37,11399.60
2025-04-19,387757.55,28,13848.48
2023-07-08,347525.25,34,10221.33
2024-08-20,570256.53,37,15412.34
2025-06-14,404025.60,28,14429.49
2023-03-09,518457.07,41,12645.29
2023-02-15,378335.61,30,12611.19
2024-12-03,338371.22,24,14098.80
2025-12-11,496143.14,31,16004.62
2025-05-14,456468.24,36,12679.67
2025-09-01,403711.22,30,13457.04
2024-12-24,393445.07,32,12295.16
2023-11-23,486718.27,33,14749.04
2024-05-02,580391.57,39,14881.84
2023-10-31,522149.81,40,13053.75
2023-10-16,297520.29,24,12396.68
2024-02-03,424280.61,40,10607.02
2025-04-23,656645.95,49,13400.94
2025-11-02,454664.57,33,13777.71
2025-05-04,414477.61,33,12559.93
2024-01-01,514123.57,31,16584.63
2024-07-16,456526.81,30,15217.56
2023-11-16,525192.61,39,13466.48
2025-08-23,323417.86,27,11978.44
2023-09-04,377443.68,32,11795.12
2023-09-18,585473.45,37,15823.61
2023-12-08,458133.61,35,13089.53
2024-07-31,562741.85,36,15631.72
2023-08-16,351064.40,25,14042.58
2025-03-10,471373.79,33,14284.05
2023-01-28,417922.09,31,13481.36
2025-11-13,424760.57,34,12492.96
2024-04-06,427251.53,31,13782.31
2024-10-29,532304.34,37,14386.60
2023-12-12,550066.02,34,16178.41
2024-09-04,442064.19,31,14260.14
2024-07-04,534247.41,37,14439.12
2024-01-25,488650.38,35,13961.44
2025-06-02,438920.51,33,13300.62
2025-01-22,477546.93,35,13644.20
2024-06-01,399916.18,32,12497.38
2025-11-22,420714.34,32,13147.32
2024-03-31,275759.41,24,11489.98
2025-12-04,474410.30,27,17570.75
2024-10-21,461068.60,32,14408.39
2025-04-09,420514.28,30,14017.14
2023-02-18,376992.62,28,13464.02
2024-03-25,366821.97,31,11832.97
2024-01-23,530931.53,41,12949.55
2025-06-29,421309.73,34,12391.46
2024-12-26,506230.74,35,14463.74
2025-08-20,547533.11,40,13688.33
2025-04-10,454608.72,33,13776.02
2023-10-11,401929.70,34,11821.46
2024-01-16,650973.06,45,14466.07
2023-08-01,353799.67,27,13103.69
2024-08-23,515838.68,43,11996.25
2025-04-12,425228.74,36,11811.91
2024-11-02,437642.30,38,11516.90
2025-05-09,390980.38,29,13482.08
2024-12-14,368823.56,30,12294.12
2023-05-10,497003.44,34,14617.75
2025-02-17,496970.30,38,13078.17
2025-07-21,453060.07,33,13729.09
2024-01-24,422922.20,36,11747.84
2024-05-31,482012.15,37,13027.36
2025-05-19,483680.29,32,15115.01
2024-09-03,403649.94,36,11212.50
2024-01-20,364503.38,32,11390.73
2023-03-22,431523.85,36,11986.77
2024-07-05,565713.47,37,15289.55
2024-10-25,367866.39,27,13624.68
2025-11-10,430654.45,31,13892.08
2023-11-07,423264.49,29,14595.33
2023-12-05,475997.64,35,13599.93
2023-08-02,552108.81,38,14529.18
2025-12-26,487243.53,33,14764.96
2025-10-31,462269.45,36,12840.82
2024-04-21,445660.30,36,12379.45
2023-12-18,382309.85,33,11585.15
2025-07-07,340466.02,28,12159.50
2025-04-14,551844.38,37,14914.71
2023-09-28,379235.50,28,13544.13
2025-12-07,489717.84,33,14839.93
2024-02-13,450883.03,34,13261.27
2025-09-03,362819.74,31,11703.86
2024-11-18,469085.25,40,11727.13
2024-04-12,456671.24,34,13431.51
2023-05-24,515578.78,36,14321.63
2023-07-02,332006.32,25,13280.25
2025-10-11,390604.97,30,13020.17
2024-09-28,367906.78,33,11148.69
2025-11-08,435970.50,34,12822.66
2025-05-23,384940.33,32,12029.39
2025-03-13,546390.32,39,14010.01
2025-10-10,362995.93,30,12099.86
2025-07-18,422436.97,33,12801.12
2024-11-12,327953.70,23,14258.86
2024-03-30,565224.66,37,15276.34
2024-11-06,316267.64,27,11713.62
2023-02-24,479225.42,37,12952.04
2024-10-09,493334.31,34,14509.83
2023-03-25,560444.32,40,14011.11
2024-12-08,492075.23,39,12617.31
2024-10-26,447996.06,33,13575.64
2024-11-29,427418.09,36,11872.72
2023-07-06,327564.91,29,11295.34
2025-06-22,533710.08,36,14825.28
2025-10-05,370354.24,28,13226.94
2023-04-06,480993.88,36,13360.94
2024-04-07,612732.16,37,16560.33
2025-05-06,669900.88,44,15225.02
2023-02-21,491455.72,34,14454.58
2025-02-05,638751.64,45,14194.48
2025-12-09,395297.71,32,12353.05
2023-01-24,413829.15,31,13349.33
2024-08-29,569631.90,42,13562.66
2024-02-18,560984.71,38,14762.76
2024-08-14,511676.88,37,13829.10
2024-12-10,451479.50,33,13681.20
2023-09-01,401025.76,33,12152.30
2024-06-27,449495.00,33,13621.06
2024-01-11,371475.47,29,12809.50
2025-02-24,333707.00,22,15168.50
2024-10-24,561130.92,38,14766.60
2024-10-19,444745.85,33,13477.15
2025-02-08,421084.71,31,13583.38
2023-12-07,504807.96,40,12620.20
2023-07-26,443732.45,32,13866.64
2023-04-05,542773.97,40,13569.35
2025-02-26,514290.13,41,12543.66
2024-07-15,544931.21,40,13623.28
2023-05-18,431089.04,31,13906.10
2024-03-23,322668.19,30,10755.61
2024-06-07,449773.16,34,13228.62
2024-02-29,376378.22,31,12141.23
2023-06-22,370478.17,34,10896.42
2024-12-09,636566.47,39,16322.22
2023-08-10,448896.12,38,11813.06
2025-01-02,508402.10,33,15406.12
2025-05-15,431596.93,33,13078.69
2023-06-30,688220.41,48,14337.93
2023-10-13,614927.49,43,14300.64
2025-07-19,569220.40,38,14979.48
2024-05-28,548350.83,43,12752.34
2025-09-09,353654.87,30,11788.50
2024-08-05,346590.15,26,13330.39
2023-12-25,388504.96,26,14942.50
2023-06-06,438708.07,35,12534.52
2025-08-28,588923.26,37,15916.84
2025-11-27,496158.26,38,13056.80
2024-02-10,398700.81,33,12081.84
2025-11-24,552068.18,35,15773.38
2025-12-10,386506.48,32,12078.33
2025-01-14,371856.75,26,14302.18
2025-01-03,348546.12,29,12018.83
2024-05-03,389279.84,29,13423.44
2025-01-21,566921.60,38,14918.99
2024-01-04,339528.35,26,13058.78
2023-05-27,327742.35,23,14249.67
2024-12-02,494444.63,37,13363.37
2024-01-15,542598.53,38,14278.91
2023-10-23,580752.19,40,14518.80
2024-11-24,643410.59,43,14963.04
2024-02-16,376403.73,31,12142.06
2023-06-03,400243.19,30,13341.44
2025-05-07,552103.34,38,14529.04
2023-05-07,522378.91,40,13059.47
2023-06-10,522677.20,37,14126.41
2024-01-13,372248.39,28,13294.59
2025-11-09,559780.25,36,15549.45
2023-09-30,417131.87,30,13904.40
2023-12-02,425041.97,31,13711.03
2025-09-14,494859.44,37,13374.58
2024-08-03,440485.19,30,14682.84
2023-03-29,380455.50,30,12681.85
2024-09-16,397902.01,31,12835.55
2023-11-03,635983.62,42,15142.47
2023-02-03,452563.22,35,12930.38
2023-11-11,471781.36,38,12415.30
2025-03-16,483193.67,34,14211.58
2024-04-04,548508.05,44,12466.09
2025-03-15,531926.56,42,12664.92
2025-11-04,436690.47,31,14086.79
2023-08-05,446150.94,31,14391.97
2023-10-25,405218.14,29,13973.04
2024-10-23,501580.99,40,12539.52
2025-09-24,387287.33,29,13354.74
2023-07-03,367016.76,30,12233.89
2024-11-27,584247.52,41,14249.94
2024-11-14,670723.10,45,14904.96
2025-06-06,359048.28,29,12380.98
2024-12-04,382034.21,28,13644.08
2023-08-06,485313.53,36,13480.93
2024-05-15,484539.85,32,15141.87
2024-01-06,467446.20,35,13355.61
2023-03-23,504859.60,32,15776.86
2024-08-17,520126.76,42,12383.97
2025-05-11,389790.00,29,13441.03
2023-11-12,441477.95,29,15223.38
2025-03-01,447084.44,33,13548.01
2024-05-26,616816.29,43,14344.56
2023-09-21,446232.35,33,13522.19
2025-12-06,521506.69,40,13037.67
2023-09-09,473249.56,37,12790.53
2023-06-14,725400.22,51,14223.53
2025-03-26,451395.47,36,12538.76
2024-05-10,347369.28,29,11978.25
2025-02-12,603578.08,38,15883.63
2023-03-11,414270.47,33,12553.65
2024-03-08,633241.44,41,15444.91
2023-02-17,391015.76,28,13964.85
2024-08-19,324668.45,24,13527.85
2025-07-12,562208.80,39,14415.61
2025-09-07,330464.10,27,12239.41
2023-03-01,345569.81,29,11916.20
2023-05-31,516120.47,36,14336.68
2024-03-17,608922.98,42,14498.17
2024-05-30,571916.74,39,14664.53
2024-06-09,386881.94,31,12480.06
2023-05-03,347972.46,28,12427.59
2025-06-19,503156.50,34,14798.72
2024-06-29,532297.05,38,14007.82
2024-01-07,453051.90,31,14614.58
2024-05-22,391571.22,27,14502.64
2025-07-20,396253.04,26,15240.50
2025-09-21,467293.36,32,14602.92
2025-10-22,506081.11,35,14459.46
2024-01-26,505356.42,32,15792.39
2024-06-28,441168.70,30,14705.62
2024-08-28,527077.27,36,14641.04
2023-10-17,275122.91,25,11004.92
2023-03-04,565983.84,36,15721.77
2025-09-29,463588.18,38,12199.69
2023-04-07,398641.09,35,11389.75
2024-02-22,326304.53,23,14187.15
2025-12-17,531628.39,33,16109.95
2023-10-20,404694.46,29,13954.98
2023-06-18,416747.13,29,14370.59
2023-12-22,419157.07,33,12701.73
2025-01-31,546315.66,42,13007.52
2023-02-06,381775.36,31,12315.33
2023-06-07,482720.09,31,15571.62
2025-01-12,359779.44,26,13837.67
2025-03-31,542081.96,42,12906.71
2025-07-10,417595.35,34,12282.22
2024-01-02,465814.42,33,14115.59
2024-08-22,440627.07,33,13352.34
2025-06-16,330741.08,25,13229.64
2024-05-04,541193.86,42,12885.57
2024-11-07,384087.14,29,13244.38
2024-07-10,454742.05,35,12992.63
2023-02-22,293761.32,24,12240.06
2023-09-29,303311.41,25,12132.46
2024-03-14,557183.25,43,12957.75
2025-01-26,465168.99,37,12572.13
2025-05-22,332011.12,25,13280.44
2023-11-24,504131.67,38,13266.62
2024-09-23,473204.39,36,13144.57
2025-03-30,485879.45,33,14723.62
2023-02-11,331837.46,25,13273.50
2023-04-27,422547.28,35,12072.78
2024-03-21,464578.75,41,11331.19
2025-11-01,426196.45,31,13748.27
2025-07-26,441548.25,38,11619.69
2025-02-15,510002.93,36,14166.75
2024-05-19,326232.77,30,10874.43
2025-07-27,426664.16,29,14712.56
2025-09-20,471483.37,38,12407.46
2024-07-03,443906.51,37,11997.47
2025-07-14,467574.89,31,15083.06
2025-03-24,298830.70,25,11953.23
2025-07-15,492873.14,43,11462.17
2024-10-08,351884.73,30,11729.49
2024-03-19,317190.78,24,13216.28
2025-05-17,523031.02,42,12453.12
2023-08-09,349308.84,25,13972.35
2024-05-23,523018.50,37,14135.64
2024-05-16,379655.67,26,14602.14
2024-03-13,533796.08,36,14827.67
2025-12-14,607170.73,44,13799.33
2023-06-19,456273.88,36,12674.27
2025-10-16,376205.66,28,13435.92
2023-03-05,459202.23,33,13915.22
2025-06-09,431613.89,30,14387.13
2023-07-31,483701.35,34,14226.51
2024-01-10,478608.41,30,15953.61
2025-10-26,301952.77,24,12581.37
2025-10-12,439738.87,30,14657.96
2025-06-10,405589.78,27,15021.84
2023-04-17,562021.74,39,14410.81
2024-02-19,308783.58,29,10647.71
2025-05-20,417150.53,33,12640.93
2023-05-22,533669.63,36,14824.16
2024-05-20,489816.49,36,13606.01
2023-12-23,310561.05,22,14116.41
2025-12-13,490589.30,39,12579.21
2023-06-11,652032.63,41,15903.23
2023-01-18,412194.26,28,14721.22
2023-03-17,297834.54,20,14891.73
2024-09-13,359163.31,31,11585.91
2025-11-26,531507.12,38,13987.03
2025-11-15,476769.47,32,14899.05
2024-01-21,527570.86,35,15073.45
2024-08-04,470120.28,35,13432.01
2024-04-26,443393.29,31,14303.01
2024-07-20,520411.04,34,15306.21
2023-01-11,470440.03,37,12714.60
2025-04-24,528607.44,40,13215.19
2023-09-02,513690.25,40,12842.26
2024-05-06,544165.71,35,15547.59
2025-01-07,548090.78,35,15659.74
2024-03-06,231018.32,19,12158.86
2025-04-07,366436.88,28,13087.03
2025-09-06,658208.63,43,15307.18
2023-11-20,352592.77,25,14103.71
2025-11-18,592117.81,40,14802.95
2024-05-13,466848.18,34,13730.83
2025-02-13,345104.43,23,15004.54
2024-10-16,442185.92,31,14264.06
2024-04-02,380018.59,29,13104.09
2025-04-04,477416.38,31,15400.53
2025-06-17,393030.90,31,12678.42
2023-11-14,392009.81,31,12645.48
2023-03-30,521905.56,37,14105.56
2025-01-18,378722.35,28,13525.80
2025-11-17,334121.89,27,12374.88
2024-12-12,398265.85,31,12847.29
2024-08-13,441863.50,32,13808.23
2025-04-18,273523.53,27,10130.50
2024-12-19,385497.96,24,16062.42
2025-01-20,416423.11,29,14359.42
2024-07-01,319064.10,25,12762.56
2023-04-08,436861.93,34,12848.88
2024-02-21,348478.25,33,10559.95
2023-02-04,580001.97,37,15675.73
2025-10-17,522438.12,40,13060.95
2024-08-01,351387.62,24,14641.15
2025-02-18,429188.36,32,13412.14
2024-09-07,546194.79,39,14004.99
2025-06-27,390004.44,34,11470.72
2023-09-16,612383.85,41,14936.19
2025-04-15,420486.61,32,13140.21
2025-12-12,432395.22,33,13102.89
2023-10-06,454345.13,36,12620.70
2025-07-04,525869.97,41,12826.10
2024-07-22,499486.56,41,12182.60
2024-05-01,410001.66,32,12812.55
2025-05-01,533394.48,34,15688.07
2024-07-08,405675.10,32,12677.35
2025-07-01,523774.31,37,14156.06
2025-10-03,546071.33,37,14758.68
2025-04-05,277635.00,22,12619.77
2025-07-05,311197.20,24,12966.55
2025-04-28,495619.29,35,14160.55
2023-01-30,512054.04,40,12801.35
2024-07-19,532743.36,42,12684.37
2025-10-08,590710.66,37,15965.15
2023-11-19,362826.09,28,12958.07
2023-03-24,329595.62,31,10632.12
2023-10-18,469619.73,34,13812.35
2024-06-21,397911.99,31,12835.87
2024-10-17,339026.11,31,10936.33
2023-01-09,512442.59,39,13139.55
2024-03-24,458319.27,32,14322.48
2023-08-20,458477.61,35,13099.36
2025-01-25,360535.10,26,13866.73
2023-03-19,519023.80,41,12659.12
2024-03-16,412814.82,32,12900.46
2025-08-03,486200.89,39,12466.69
2025-05-08,494039.78,33,14970.90
2024-06-25,466030.15,31,15033.23
2025-06-07,490189.35,43,11399.75
2025-02-06,495278.36,33,15008.44
2025-02-19,601202.43,43,13981.45
2025-08-09,501164.30,37,13544.98
2025-01-08,487370.28,32,15230.32
2025-07-13,498743.17,41,12164.47
2024-06-20,493523.71,32,15422.62
2024-02-07,517980.61,36,14388.35
2024-06-23,464736.92,35,13278.20
2025-09-05,471650.75,34,13872.08
2023-08-15,514914.34,38,13550.38
2025-01-15,414027.98,31,13355.74
2023-03-06,344680.12,27,12765.93
2025-10-06,505711.97,33,15324.61
2023-10-28,491511.16,35,14043.18
2024-12-31,492266.79,36,13674.08
2025-05-30,553163.00,36,15365.64
2024-04-01,445376.76,39,11419.92
2024-10-13,519549.74,37,14041.88
2023-05-15,465726.55,36,12936.85
2024-11-05,418483.14,30,13949.44
2023-05-23,508368.06,38,13378.11
2023-07-17,509442.18,36,14151.17
2025-03-07,424936.31,30,14164.54
2023-07-10,442557.21,40,11063.93
2024-05-14,314068.58,26,12079.56
2025-05-03,526860.88,39,13509.25
2025-02-04,456309.96,32,14259.69
2023-04-01,536597.14,39,13758.90
2025-11-28,376246.72,32,11757.71
2025-09-15,432591.59,34,12723.28
2025-05-24,561536.08,38,14777.27
2023-01-26,327423.55,27,12126.80
2023-12-19,511498.71,38,13460.49
2025-03-29,402814.05,29,13890.14
2023-10-05,523276.08,36,14535.45
2025-09-30,428182.22,28,15292.22
2024-11-20,429247.82,34,12624.94
2025-01-06,412314.86,30,13743.83
2023-11-25,630311.93,41,15373.46
2024-12-29,458110.50,39,11746.42
2024-02-20,682381.73,46,14834.39
2024-09-01,341449.64,28,12194.63
2024-08-27,447503.34,28,15982.26
2024-08-10,349787.42,29,12061.64
2024-12-13,403149.70,26,15505.76
2025-09-23,464726.02,31,14991.16
2023-07-16,524240.55,40,13106.01
2023-02-28,536757.99,38,14125.21
2025-08-01,518031.08,43,12047.23
2025-04-25,345205.22,23,15008.92
2024-02-26,798892.80,51,15664.56
2025-08-26,405385.24,29,13978.80
2023-09-19,505201.29,40,12630.03
2024-09-06,386605.25,30,12886.84
2024-10-11,487975.63,35,13942.16
2023-09-12,515526.35,40,12888.16
2024-01-12,356668.02,27,13209.93
2023-07-19,533809.52,38,14047.62
2023-04-13,314161.85,26,12083.15
2024-09-26,318337.93,31,10268.97
2024-01-18,286506.80,22,13023.04
2024-02-15,528486.92,37,14283.43
2024-09-20,415327.23,30,13844.24
2024-07-18,449114.23,29,15486.70
2025-03-21,334700.60,29,11541.40
2025-01-11,603645.95,42,14372.52
2025-04-27,305351.59,21,14540.55
2023-01-01,389046.01,30,12968.20
2023-11-01,406424.37,33,12315.89
2024-06-24,553059.39,45,12290.21
2024-10-18,427425.24,32,13357.04
2025-08-04,394228.06,31,12717.03
2025-03-08,481158.07,31,15521.23
2024-03-03,404170.96,31,13037.77
2025-07-02,297820.95,22,13537.32
2023-04-22,503233.89,36,13978.72
2023-08-08,491891.00,38,12944.50
2024-01-27,740376.39,47,15752.69
2023-04-16,323537.66,27,11982.88
2025-10-07,348621.71,24,14525.90
2023-05-14,457961.90,32,14311.31
2025-12-16,384677.75,29,13264.75
2025-01-09,478858.81,33,14510.87
2025-06-30,352261.98,29,12146.96
2023-02-25,454113.99,34,13356.29
2023-03-27,555927.69,38,14629.68
2023-03-13,551124.74,39,14131.40
2025-02-28,513051.75,38,13501.36
2025-04-02,485278.81,31,15654.16
2023-03-28,344530.07,23,14979.57
2024-12-18,379866.20,31,12253.75
2024-11-22,608160.31,39,15593.85
2024-03-22,509482.78,34,14984.79
2025-02-27,499023.14,35,14257.80
2023-12-28,375556.66,28,13412.74
2023-04-28,363789.77,30,12126.33
2023-04-10,434992.13,29,14999.73
2023-06-15,393845.04,28,14065.89
2024-10-22,284800.15,18,15822.23
2025-03-14,378823.47,29,13062.88
2023-07-27,489582.42,42,11656.72
2024-08-02,373996.27,31,12064.40
2024-02-05,467200.32,33,14157.59
2025-06-11,682457.48,42,16248.99
2023-11-27,480590.65,36,13349.74
2023-03-14,539814.11,37,14589.57
2024-06-04,366943.22,33,11119.49
2023-08-14,406663.43,28,14523.69
2025-12-25,530632.25,34,15606.83
2025-01-19,460488.90,38,12118.13
2023-11-30,520932.13,34,15321.53
2023-10-10,439178.18,32,13724.32
2024-09-09,411446.16,33,12468.07
2025-07-11,341135.70,26,13120.60
2025-03-05,513957.90,35,14684.51
2025-09-10,410402.21,30,13680.07
2023-07-11,315783.18,29,10889.08
2023-10-09,547038.80,45,12156.42
2023-03-21,429958.05,33,13029.03
2024-02-24,502482.29,39,12884.16
2023-06-28,371307.75,30,12376.93
2025-05-27,412126.75,35,11775.05
2024-07-28,406479.32,29,14016.53
2024-09-05,325008.07,24,13542.00
2024-04-22,363582.69,27,13466.03
2025-02-09,405309.04,32,12665.91
2024-09-24,304459.53,23,13237.37
2024-12-25,559623.43,39,14349.32
2023-09-15,459022.60,36,12750.63
2024-05-07,361276.27,29,12457.80
2024-06-14,372879.04,27,13810.33
2023-12-27,552614.48,37,14935.53
2023-02-20,567542.13,35,16215.49
2024-04-27,411684.72,31,13280.15
2023-08-30,540350.77,38,14219.76
2025-09-02,351538.50,25,14061.54
2025-02-20,374736.19,26,14412.93
2023-07-20,529578.95,36,14710.53
2023-06-23,434654.20,26,16717.47
2024-07-12,448097.40,30,14936.58
2023-05-13,495951.71,36,13776.44
2024-10-14,378755.96,26,14567.54
2023-09-10,470696.20,33,14263.52
2024-04-05,568671.49,46,12362.42
2025-10-23,480028.83,34,14118.50
2024-09-12,491738.52,29,16956.50
2024-09-19,468572.13,33,14199.16
2025-04-06,482223.55,39,12364.71
2024-02-23,374853.47,28,13387.62
2023-08-12,417545.07,32,13048.28
2023-09-14,559557.88,39,14347.64
2025-12-29,437392.63,29,15082.50
2025-07-03,427920.06,29,14755.86
2024-12-22,553814.56,43,12879.41
2025-07-08,430257.66,29,14836.47
2025-04-16,403885.50,33,12238.95
2025-10-02,478139.37,33,14489.07
2024-06-22,502796.91,34,14788.14
2023-10-30,574966.88,40,14374.17
2024-09-29,489521.18,37,13230.30
2023-02-02,527821.18,42,12567.17
2023-08-17,496370.62,33,15041.53
2023-05-05,469746.16,34,13816.06
2025-10-21,588789.21,41,14360.71
2024-04-19,523466.35,36,14540.73
2024-04-29,335742.76,28,11990.81
2024-10-20,306626.36,24,12776.10
2024-04-15,445057.55,33,13486.59
2024-04-11,374488.48,33,11348.14
2025-11-05,392901.77,27,14551.92
2024-09-15,659967.61,43,15348.08
2023-09-06,528869.13,41,12899.25
2023-04-18,484942.49,34,14263.01
2025-09-28,272636.38,23,11853.76
2025-12-08,348299.76,22,15831.81
