shipment_id,order_id,courier,shipment_date,delivery_date,shipping_status
41,41,India Post,2023-10-19,2023-10-21,Delivered
42,42,BlueDart,2024-11-10,2024-11-12,Delivered
43,43,Ecom Express,2023-02-09,2023-02-10,Delivered
44,44,Delhivery,2023-08-11,2023-08-12,Delivered
45,45,Delhivery,2024-06-03,2024-06-10,Delivered
46,46,India Post,2024-05-12,2024-05-14,In Transit
47,47,XpressBees,2023-12-26,2023-12-30,In Transit
48,48,India Post,2023-11-08,2023-11-14,Delivered
49,49,Delhivery,2025-05-02,2025-05-09,Delivered
50,50,Delhivery,2024-09-21,2024-09-25,Delivered
51,51,XpressBees,2025-08-05,2025-08-11,In Transit
52,52,Delhivery,2023-02-10,2023-02-13,Delivered
53,53,BlueDart,2023-03-12,2023-03-16,Delivered
54,54,XpressBees,2024-09-25,2024-09-27,Delivered
55,55,India Post,2025-02-25,2025-03-04,Delivered
56,56,Ecom Express,2025-01-16,2025-01-20,Delivered
57,57,BlueDart,2025-08-25,2025-08-27,Delivered
58,58,BlueDart,2023-06-09,2023-06-12,Delivered
59,59,Delhivery,2025-05-02,2025-05-08,In Transit
60,60,India Post,2025-01-04,2025-01-05,Delivered
61,61,XpressBees,2025-06-03,2025-06-09,Delivered
62,62,Ecom Express,2025-01-05,2025-01-08,Delivered
63,63,BlueDart,2025-02-03,2025-02-07,Delivered
64,64,BlueDart,2024-06-19,2024-06-25,In Transit
65,65,Ecom Express,2025-09-16,2025-09-17,Delivered
66,66,XpressBees,2023-09-13,2023-09-14,Delivered
67,67,BlueDart,2023-05-20,2023-05-27,In Transit
68,68,Delhivery,2025-08-16,2025-08-19,Delivered
69,69,BlueDart,2024-08-09,2024-08-11,Delivered
70,70,India Post,2024-02-25,2024-03-01,Delivered
71,71,India Post,2023-03-31,2023-04-02,In Transit
72,72,India Post,2024-07-06,2024-07-13,In Transit
73,73,Ecom Express,2023-11-02,2023-11-07,Delivered
74,74,India Post,2024-08-30,2024-09-03,In Transit
75,75,XpressBees,2025-04-22,2025-04-27,Delivered
76,76,India Post,2023-02-05,2023-02-09,Delivered
77,77,Ecom Express,2023-03-15,2023-03-21,Delivered
78,78,Delhivery,2025-06-01,2025-06-07,In Transit
79,79,Delhivery,2023-06-29,2023-07-05,In Transit
80,80,India Post,2025-03-04,2025-03-10,Delivered
81,81,Delhivery,2025-06-12,2025-06-19,In Transit
82,82,XpressBees,2024-05-17,2024-05-24,In Transit
83,83,Ecom Express,2023-05-28,2023-06-03,Delivered
84,84,Delhivery,2023-05-01,2023-05-06,In Transit
85,85,Ecom Express,2024-12-11,2024-12-15,Delivered
86,86,BlueDart,2025-04-11,2025-04-18,Delivered
87,87,XpressBees,2023-01-20,2023-01-23,Delivered
88,88,XpressBees,2024-12-20,2024-12-21,Delivered
89,89,BlueDart,2024-12-21,2024-12-25,Delivered
90,90,XpressBees,2024-12-20,2024-12-23,Delivered
91,91,BlueDart,2025-11-07,2025-11-08,Delivered
92,92,Delhivery,2024-01-30,2024-02-04,In Transit
93,93,BlueDart,2023-04-14,2023-04-16,Delivered
94,94,XpressBees,2024-04-25,2024-04-30,Delivered
95,95,XpressBees,2024-06-16,2024-06-19,Delivered
96,96,BlueDart,2025-10-13,2025-10-19,In Transit
97,97,Delhivery,2023-03-08,2023-03-12,Delivered
98,98,BlueDart,2025-12-19,2025-12-25,Delivered
99,99,Ecom Express,2024-06-11,2024-06-12,In Transit
100,100,India Post,2023-11-06,2023-11-11,In Transit
101,101,India Post,2023-01-06,2023-01-09,In Transit
102,102,BlueDart,2025-08-13,2025-08-16,Delivered
103,103,Ecom Express,2023-08-21,2023-08-23,In Transit
104,104,XpressBees,2023-12-09,2023-12-10,Delivered
105,105,BlueDart,2025-04-30,2025-05-07,Delivered
106,106,Delhivery,2023-01-13,2023-01-14,In Transit
107,107,Ecom Express,2023-02-12,2023-02-13,Delivered
108,108,India Post,2023-05-04,2023-05-11,In Transit
109,109,India Post,2023-05-25,2023-05-31,Delivered
110,110,India Post,2024-06-12,2024-06-15,Delivered
111,111,Delhivery,2024-11-30,2024-12-02,Delivered
112,112,Delhivery,2025-05-29,2025-06-02,Delivered
113,113,Ecom Express,2024-08-26,2024-08-27,Delivered
114,114,India Post,2025-03-06,2025-03-13,Delivered
115,115,BlueDart,2023-07-13,2023-07-18,Delivered
116,116,India Post,2024-03-18,2024-03-21,Delivered
117,117,Delhivery,2025-02-21,2025-02-23,Delivered
118,118,BlueDart,2024-10-27,2024-10-30,In Transit
119,119,XpressBees,2023-09-20,2023-09-21,Delivered
120,120,India Post,2024-05-21,2024-05-24,Delivered
121,121,BlueDart,2023-03-15,2023-03-16,Delivered
122,122,XpressBees,2024-06-30,2024-07-03,In Transit
123,123,BlueDart,2025-08-13,2025-08-16,Delivered
124,124,India Post,2024-02-06,2024-02-13,In Transit
125,125,Delhivery,2024-02-25,2024-03-02,In Transit
126,126,BlueDart,2025-06-28,2025-06-30,In Transit
127,127,Delhivery,2024-06-08,2024-06-09,Delivered
128,128,Ecom Express,2025-04-08,2025-04-15,Delivered
129,129,XpressBees,2024-12-15,2024-12-17,Delivered
130,130,XpressBees,2023-05-04,2023-05-08,Delivered
131,131,India Post,2024-06-05,2024-06-12,In Transit
132,132,BlueDart,2023-01-08,2023-01-12,Delivered
133,133,Delhivery,2024-02-27,2024-02-29,Delivered
134,134,Delhivery,2025-11-29,2025-12-04,Delivered
135,135,India Post,2025-03-11,2025-03-18,In Transit
136,136,Ecom Express,2023-10-27,2023-10-30,Delivered
137,137,XpressBees,2025-01-23,2025-01-25,Delivered
138,138,Ecom Express,2025-03-18,2025-03-20,Delivered
139,139,India Post,2024-10-05,2024-10-07,Delivered
140,140,Ecom Express,2024-02-14,2024-02-20,Delivered
141,141,XpressBees,2023-03-20,2023-03-21,Delivered
142,142,BlueDart,2025-05-28,2025-06-04,In Transit
143,143,Ecom Express,2025-03-12,2025-03-18,Delivered
144,144,Delhivery,2024-05-11,2024-05-14,Delivered
145,145,India Post,2025-12-21,2025-12-25,Delivered
146,146,BlueDart,2024-03-01,2024-03-02,Delivered
147,147,BlueDart,2024-03-04,2024-03-08,Delivered
148,148,XpressBees,2023-07-21,2023-07-24,Delivered
149,149,BlueDart,2024-05-18,2024-05-24,Delivered
150,150,Ecom Express,2023-06-25,2023-06-26,Delivered
151,151,XpressBees,2025-07-06,2025-07-10,Delivered
152,152,India Post,2023-06-25,2023-07-02,Delivered
153,153,India Post,2023-06-04,2023-06-11,In Transit
154,154,Delhivery,2023-04-19,2023-04-23,Delivered
155,155,BlueDart,2025-08-12,2025-08-14,Delivered
156,156,XpressBees,2023-03-15,2023-03-21,Delivered
157,157,XpressBees,2024-06-26,2024-06-30,Delivered
158,158,BlueDart,2024-04-25,2024-05-01,Delivered
159,159,XpressBees,2024-09-02,2024-09-04,Delivered
160,160,India Post,2024-10-06,2024-10-12,In Transit
161,161,Ecom Express,2025-08-06,2025-08-11,Delivered
162,162,XpressBees,2023-11-22,2023-11-25,Delivered
163,163,XpressBees,2025-08-13,2025-08-19,Delivered
164,164,Ecom Express,2023-12-20,2023-12-24,Delivered
165,165,India Post,2023-09-07,2023-09-08,Delivered
166,166,Ecom Express,2024-07-13,2024-07-17,Delivered
167,167,BlueDart,2024-01-29,2024-02-02,In Transit
168,168,XpressBees,2024-11-28,2024-11-30,Delivered
169,169,BlueDart,2023-04-23,2023-04-28,Delivered
170,170,Delhivery,2023-01-27,2023-02-01,In Transit
171,171,BlueDart,2025-04-13,2025-04-14,Delivered
172,172,Delhivery,2023-08-24,2023-08-26,Delivered
173,173,Ecom Express,2024-01-28,2024-02-04,Delivered
174,174,Ecom Express,2023-05-17,2023-05-21,Delivered
175,175,Ecom Express,2024-06-12,2024-06-19,Delivered
176,176,XpressBees,2025-01-16,2025-01-22,In Transit
177,177,Delhivery,2023-10-26,2023-10-28,In Transit
178,178,BlueDart,2023-04-24,2023-05-01,Delivered
179,179,Delhivery,2024-08-24,2024-08-28,Delivered
180,180,India Post,2025-12-18,2025-12-20,Delivered
181,181,XpressBees,2025-08-19,2025-08-26,Delivered
182,182,Ecom Express,2025-10-27,2025-10-31,Delivered
183,183,India Post,2023-12-24,2023-12-27,Delivered
184,184,Ecom Express,2024-11-04,2024-11-10,Delivered
185,185,XpressBees,2025-06-13,2025-06-18,Delivered
186,186,BlueDart,2023-11-29,2023-12-06,In Transit
187,187,BlueDart,2025-07-28,2025-07-29,Delivered
188,188,BlueDart,2024-11-09,2024-11-14,In Transit
189,189,BlueDart,2024-06-13,2024-06-20,Delivered
190,190,India Post,2024-05-29,2024-06-02,Delivered
191,191,BlueDart,2024-08-15,2024-08-17,Delivered
192,192,Ecom Express,2023-07-29,2023-07-31,Delivered
193,193,XpressBees,2025-01-30,2025-01-31,Delivered
194,194,India Post,2024-03-15,2024-03-22,Delivered
195,195,Delhivery,2025-05-10,2025-05-16,Delivered
196,196,Ecom Express,2023-02-07,2023-02-14,In Transit
197,197,Ecom Express,2023-10-08,2023-10-11,Delivered
198,198,BlueDart,2025-02-07,2025-02-11,Delivered
199,199,Delhivery,2023-01-10,2023-01-14,Delivered
200,200,Ecom Express,2025-07-06,2025-07-08,Delivered
201,201,BlueDart,2025-08-15,2025-08-17,In Transit
202,202,Delhivery,2024-08-24,2024-08-31,Delivered
203,203,Delhivery,2023-03-02,2023-03-07,Delivered
204,204,Ecom Express,2025-12-03,2025-12-07,Delivered
205,205,BlueDart,2025-09-19,2025-09-25,Delivered
206,206,India Post,2024-04-10,2024-04-16,In Transit
207,207,BlueDart,2025-10-04,2025-10-08,Delivered
208,208,India Post,2023-08-31,2023-09-05,Delivered
209,209,BlueDart,2023-08-29,2023-09-04,Delivered
210,210,Delhivery,2025-04-19,2025-04-22,Delivered
211,211,BlueDart,2023-07-08,2023-07-14,Delivered
212,212,XpressBees,2024-02-06,2024-02-12,Delivered
213,213,Ecom Express,2024-08-20,2024-08-25,Delivered
214,214,India Post,2025-06-14,2025-06-17,Delivered
215,215,Delhivery,2023-03-09,2023-03-10,Delivered
216,216,India Post,2023-03-08,2023-03-13,Delivered
217,217,BlueDart,2023-02-15,2023-02-19,Delivered
218,218,Delhivery,2024-12-03,2024-12-09,Delivered
219,219,India Post,2025-12-11,2025-12-18,Delivered
220,220,XpressBees,2025-05-14,2025-05-16,Delivered
221,221,Ecom Express,2025-09-01,2025-09-06,Delivered
222,222,XpressBees,2024-06-19,2024-06-23,Delivered
223,223,India Post,2024-12-24,2024-12-31,In Transit
224,224,Delhivery,2023-11-23,2023-11-26,In Transit
225,225,Delhivery,2024-05-02,2024-05-04,Delivered
226,226,XpressBees,2023-10-31,2023-11-04,Delivered
227,227,Ecom Express,2023-10-16,2023-10-18,Delivered
228,228,Ecom Express,2024-02-03,2024-02-06,Delivered
229,229,Delhivery,2025-11-14,2025-11-15,Delivered
230,230,XpressBees,2025-04-23,2025-04-29,In Transit
231,231,Ecom Express,2025-11-02,2025-11-06,Delivered
232,232,BlueDart,2025-05-04,2025-05-10,In Transit
233,233,Delhivery,2024-01-01,2024-01-02,Delivered
234,234,Ecom Express,2024-07-16,2024-07-17,Delivered
235,235,Delhivery,2023-11-16,2023-11-17,Delivered
236,236,India Post,2025-08-23,2025-08-26,Delivered
237,237,Delhivery,2023-09-04,2023-09-08,Delivered
238,238,India Post,2024-12-07,2024-12-08,In Transit
239,239,Ecom Express,2023-09-18,2023-09-22,In Transit
240,240,Ecom Express,2023-12-08,2023-12-13,Delivered
241,241,XpressBees,2024-07-31,2024-08-06,Delivered
242,242,BlueDart,2023-08-16,2023-08-21,Delivered
243,243,BlueDart,2023-03-15,2023-03-17,Delivered
244,244,Ecom Express,2025-03-10,2025-03-11,Delivered
245,245,Ecom Express,2024-03-01,2024-03-05,Delivered
246,246,Delhivery,2023-01-28,2023-01-29,Delivered
247,247,Ecom Express,2025-11-13,2025-11-20,Delivered
248,248,India Post,2024-11-01,2024-11-08,In Transit
249,249,Delhivery,2024-04-06,2024-04-12,Delivered
250,250,BlueDart,2024-10-29,2024-11-03,Delivered
251,251,India Post,2023-12-12,2023-12-18,Delivered
252,252,Delhivery,2024-09-04,2024-09-09,In Transit
253,253,BlueDart,2024-07-04,2024-07-07,Delivered
254,254,Delhivery,2024-01-25,2024-01-31,Delivered
255,255,Ecom Express,2025-06-02,2025-06-09,Delivered
256,256,Delhivery,2025-01-22,2025-01-27,Delivered
257,257,Delhivery,2024-06-01,2024-06-04,Delivered
258,258,Delhivery,2025-11-22,2025-11-23,In Transit
259,259,BlueDart,2024-06-11,2024-06-12,Delivered
260,260,BlueDart,2024-03-31,2024-04-02,Delivered
261,261,XpressBees,2025-12-04,2025-12-06,Delivered
262,262,XpressBees,2024-10-21,2024-10-28,Delivered
263,263,XpressBees,2024-05-18,2024-05-19,In Transit
264,264,Ecom Express,2025-04-09,2025-04-15,Delivered
265,265,BlueDart,2023-02-18,2023-02-22,Delivered
266,266,Ecom Express,2024-03-25,2024-03-26,Delivered
267,267,India Post,2024-01-23,2024-01-28,Delivered
268,268,India Post,2024-06-16,2024-06-23,Delivered
269,269,BlueDart,2025-06-29,2025-07-04,Delivered
270,270,India Post,2023-06-25,2023-07-01,Delivered
271,271,India Post,2024-12-26,2025-01-02,Delivered
272,272,Ecom Express,2025-08-20,2025-08-23,Delivered
273,273,Delhivery,2025-04-10,2025-04-11,Delivered
274,274,XpressBees,2025-09-25,2025-09-27,Delivered
275,275,XpressBees,2023-10-11,2023-10-16,Delivered
276,276,BlueDart,2024-01-16,2024-01-20,Delivered
277,277,Delhivery,2023-08-01,2023-08-05,Delivered
278,278,India Post,2025-03-10,2025-03-16,In Transit
279,279,BlueDart,2024-08-23,2024-08-25,Delivered
280,280,Ecom Express,2023-09-20,2023-09-21,Delivered
281,281,XpressBees,2025-04-12,2025-04-18,Delivered
282,282,Ecom Express,2024-11-02,2024-11-08,Delivered
283,283,India Post,2025-05-09,2025-05-15,Delivered
284,284,XpressBees,2024-12-14,2024-12-17,Delivered
285,285,Ecom Express,2023-05-10,2023-05-12,Delivered
286,286,XpressBees,2023-12-26,2023-12-28,Delivered
287,287,Ecom Express,2025-02-17,2025-02-21,In Transit
288,288,Ecom Express,2025-07-21,2025-07-26,Delivered
289,289,Delhivery,2024-01-24,2024-01-26,Delivered
290,290,India Post,2024-05-31,2024-06-01,Delivered
291,291,Delhivery,2025-05-19,2025-05-24,In Transit
292,292,India Post,2024-09-03,2024-09-06,Delivered
293,293,Ecom Express,2024-01-20,2024-01-23,Delivered
294,294,BlueDart,2023-03-22,2023-03-28,In Transit
295,295,XpressBees,2024-07-05,2024-07-08,Delivered
296,296,Ecom Express,2024-10-25,2024-10-27,Delivered
297,297,Ecom Express,2025-11-10,2025-11-16,Delivered
298,298,Ecom Express,2023-11-07,2023-11-12,Delivered
299,299,Ecom Express,2023-12-05,2023-12-08,Delivered
300,300,Ecom Express,2023-08-02,2023-08-09,Delivered
301,301,XpressBees,2024-09-30,2024-10-02,Delivered
302,302,India Post,2025-12-26,2025-12-29,Delivered
303,303,Ecom Express,2025-10-31,2025-11-06,In Transit
304,304,Ecom Express,2025-06-29,2025-07-02,Delivered
305,305,Ecom Express,2024-04-21,2024-04-22,Delivered
306,306,Ecom Express,2023-12-18,2023-12-21,Delivered
307,307,Ecom Express,2025-07-07,2025-07-11,Delivered
308,308,BlueDart,2025-04-14,2025-04-19,Delivered
309,309,Delhivery,2023-09-28,2023-09-30,Delivered
310,310,XpressBees,2025-12-07,2025-12-08,Delivered
311,311,BlueDart,2024-02-13,2024-02-14,In Transit
312,312,BlueDart,2025-09-03,2025-09-04,Delivered
313,313,Delhivery,2024-11-18,2024-11-22,Delivered
314,314,BlueDart,2025-11-10,2025-11-15,Delivered
315,315,BlueDart,2025-07-28,2025-07-29,Delivered
316,316,XpressBees,2024-04-12,2024-04-16,In Transit
317,317,Delhivery,2023-12-24,2023-12-30,In Transit
318,318,XpressBees,2023-05-24,2023-05-29,Delivered
319,319,India Post,2023-07-02,2023-07-08,Delivered
320,320,BlueDart,2024-04-08,2024-04-09,Delivered
321,321,Delhivery,2025-10-11,2025-10-16,Delivered
322,322,Delhivery,2024-09-28,2024-10-03,Delivered
323,323,India Post,2025-11-08,2025-11-10,In Transit
324,324,India Post,2025-05-23,2025-05-24,Delivered
325,325,Delhivery,2025-03-13,2025-03-19,Delivered
326,326,BlueDart,2025-10-10,2025-10-16,Delivered
327,327,XpressBees,2025-07-18,2025-07-24,Delivered
328,328,India Post,2023-07-13,2023-07-15,In Transit
329,329,Ecom Express,2023-12-08,2023-12-13,Delivered
330,330,Ecom Express,2025-07-06,2025-07-13,Delivered
331,331,India Post,2024-11-12,2024-11-19,Delivered
332,332,BlueDart,2025-04-09,2025-04-10,Delivered
333,333,BlueDart,2024-03-30,2024-03-31,Delivered
334,334,BlueDart,2024-11-06,2024-11-12,Delivered
335,335,Delhivery,2023-02-24,2023-02-27,Delivered
336,336,BlueDart,2023-03-31,2023-04-05,Delivered
337,337,Ecom Express,2024-10-09,2024-10-12,Delivered
338,338,India Post,2023-03-25,2023-03-29,Delivered
339,339,India Post,2024-12-08,2024-12-15,Delivered
340,340,Ecom Express,2024-10-26,2024-11-02,Delivered
341,341,BlueDart,2024-11-29,2024-12-05,Delivered
342,342,Delhivery,2024-04-16,2024-04-23,Delivered
343,343,XpressBees,2025-05-14,2025-05-17,Delivered
344,344,Delhivery,2023-07-06,2023-07-11,Delivered
345,345,Delhivery,2025-06-22,2025-06-28,Delivered
346,346,XpressBees,2025-10-05,2025-10-09,In Transit
347,347,BlueDart,2023-04-06,2023-04-10,Delivered
348,348,Ecom Express,2023-12-08,2023-12-15,In Transit
349,349,India Post,2024-04-07,2024-04-14,Delivered
350,350,Delhivery,2025-05-06,2025-05-12,Delivered
351,351,XpressBees,2023-11-29,2023-12-01,Delivered
352,352,BlueDart,2023-02-21,2023-02-26,Delivered
353,353,India Post,2025-02-05,2025-02-10,In Transit
354,354,XpressBees,2025-12-09,2025-12-14,Delivered
355,355,BlueDart,2025-03-06,2025-03-08,Delivered
356,356,BlueDart,2024-11-04,2024-11-10,In Transit
357,357,BlueDart,2023-01-24,2023-01-29,Delivered
358,358,Ecom Express,2024-07-31,2024-08-05,In Transit
359,359,BlueDart,2024-08-29,2024-09-04,Delivered
360,360,Delhivery,2024-09-25,2024-10-01,Delivered
361,361,BlueDart,2024-02-18,2024-02-24,Delivered
362,362,Ecom Express,2025-04-09,2025-04-13,Delivered
363,363,BlueDart,2024-08-14,2024-08-21,Delivered
364,364,BlueDart,2024-01-30,2024-01-31,In Transit
365,365,XpressBees,2024-12-10,2024-12-13,Delivered
366,366,BlueDart,2023-09-01,2023-09-07,In Transit
367,367,XpressBees,2025-09-19,2025-09-25,Delivered
368,368,BlueDart,2024-06-27,2024-06-30,In Transit
369,369,Delhivery,2024-01-11,2024-01-14,Delivered
370,370,XpressBees,2025-02-24,2025-02-26,Delivered
371,371,Ecom Express,2024-10-24,2024-10-25,In Transit
372,372,XpressBees,2024-10-19,2024-10-25,Delivered
373,373,Delhivery,2025-02-08,2025-02-09,Delivered
374,374,India Post,2023-12-07,2023-12-10,In Transit
375,375,India Post,2023-07-26,2023-07-27,Delivered
376,376,India Post,2023-03-22,2023-03-28,Delivered
377,377,BlueDart,2023-04-05,2023-04-07,Delivered
378,378,Delhivery,2025-02-26,2025-02-28,Delivered
379,379,India Post,2023-05-04,2023-05-05,In Transit
380,380,Delhivery,2024-07-15,2024-07-17,In Transit
381,381,BlueDart,2025-10-31,2025-11-07,Delivered
382,382,India Post,2023-05-18,2023-05-23,Delivered
383,383,XpressBees,2025-06-28,2025-07-02,Delivered
384,384,BlueDart,2024-03-23,2024-03-29,Delivered
385,385,Delhivery,2024-06-07,2024-06-13,Delivered
386,386,Ecom Express,2024-02-29,2024-03-06,Delivered
387,387,XpressBees,2023-08-21,2023-08-22,In Transit
388,388,BlueDart,2023-06-22,2023-06-23,Delivered
389,389,BlueDart,2024-12-09,2024-12-11,In Transit
390,390,XpressBees,2023-08-10,2023-08-13,In Transit
391,391,XpressBees,2025-01-02,2025-01-08,In Transit
392,392,Delhivery,2025-05-15,2025-05-20,In Transit
393,393,XpressBees,2023-06-30,2023-07-04,Delivered
394,394,Delhivery,2023-04-14,2023-04-21,Delivered
395,395,Delhivery,2024-09-04,2024-09-08,In Transit
396,396,India Post,2023-10-13,2023-10-17,Delivered
397,397,Ecom Express,2025-07-19,2025-07-22,Delivered
398,398,Delhivery,2023-11-06,2023-11-10,Delivered
399,399,Delhivery,2024-05-28,2024-06-03,Delivered
400,400,XpressBees,2025-09-09,2025-09-10,Delivered
401,401,BlueDart,2024-08-05,2024-08-09,Delivered
402,402,Delhivery,2023-12-25,2024-01-01,In Transit
403,403,India Post,2023-06-06,2023-06-11,Delivered
404,404,India Post,2025-08-28,2025-08-29,Delivered
405,405,India Post,2025-11-27,2025-11-29,Delivered
406,406,XpressBees,2024-11-15,2024-11-18,In Transit
407,407,India Post,2024-02-10,2024-02-15,Delivered
408,408,Ecom Express,2025-11-24,2025-12-01,In Transit
409,409,BlueDart,2025-12-10,2025-12-11,In Transit
410,410,Ecom Express,2025-01-14,2025-01-15,In Transit
411,411,India Post,2025-01-03,2025-01-06,Delivered
412,412,Ecom Express,2024-05-03,2024-05-04,Delivered
413,413,BlueDart,2025-01-21,2025-01-23,Delivered
414,414,BlueDart,2024-01-04,2024-01-05,Delivered
415,415,India Post,2023-05-27,2023-05-30,In Transit
416,416,Delhivery,2024-12-02,2024-12-06,Delivered
417,417,Delhivery,2024-01-15,2024-01-16,Delivered
418,418,XpressBees,2023-10-23,2023-10-29,Delivered
419,419,Delhivery,2024-11-24,2024-11-26,Delivered
420,420,India Post,2025-11-07,2025-11-08,Delivered
421,421,XpressBees,2025-01-05,2025-01-09,Delivered
422,422,BlueDart,2024-02-16,2024-02-22,Delivered
423,423,XpressBees,2024-11-04,2024-11-11,Delivered
424,424,India Post,2023-06-03,2023-06-06,In Transit
425,425,XpressBees,2025-05-07,2025-05-13,Delivered
426,426,India Post,2023-05-07,2023-05-10,Delivered
427,427,Delhivery,2023-02-21,2023-02-22,In Transit
428,428,Delhivery,2025-03-04,2025-03-11,Delivered
429,429,India Post,2023-06-10,2023-06-15,Delivered
430,430,BlueDart,2024-01-13,2024-01-14,Delivered
431,431,BlueDart,2025-11-09,2025-11-12,Delivered
432,432,India Post,2023-09-30,2023-10-06,In Transit
433,433,Ecom Express,2023-12-02,2023-12-09,Delivered
434,434,Ecom Express,2025-01-30,2025-02-04,Delivered
435,435,India Post,2025-06-28,2025-07-04,Delivered
436,436,XpressBees,2024-08-29,2024-09-02,In Transit
437,437,XpressBees,2024-02-14,2024-02-20,Delivered
438,438,XpressBees,2024-06-01,2024-06-02,Delivered
439,439,XpressBees,2025-05-02,2025-05-05,Delivered
440,440,Delhivery,2025-09-14,2025-09-18,In Transit
441,441,India Post,2025-06-28,2025-07-05,Delivered
442,442,BlueDart,2024-08-03,2024-08-09,In Transit
443,443,Delhivery,2023-10-31,2023-11-07,Delivered
444,444,BlueDart,2024-04-08,2024-04-14,Delivered
445,445,BlueDart,2023-03-29,2023-04-02,Delivered
446,446,XpressBees,2024-09-16,2024-09-21,Delivered
447,447,XpressBees,2023-11-03,2023-11-07,In Transit
448,448,Ecom Express,2023-02-03,2023-02-04,Delivered
449,449,Ecom Express,2023-11-11,2023-11-15,Delivered
450,450,Ecom Express,2025-03-16,2025-03-18,In Transit
451,451,India Post,2024-04-04,2024-04-09,Delivered
452,452,XpressBees,2025-03-15,2025-03-16,Delivered
453,453,India Post,2025-11-04,2025-11-11,In Transit
454,454,Ecom Express,2023-08-05,2023-08-09,Delivered
455,455,Delhivery,2023-10-25,2023-10-31,In Transit
456,456,Ecom Express,2024-07-15,2024-07-21,Delivered
457,457,BlueDart,2024-10-23,2024-10-30,Delivered
458,458,XpressBees,2025-02-21,2025-02-23,In Transit
459,459,Ecom Express,2024-04-04,2024-04-10,Delivered
460,460,Delhivery,2025-09-24,2025-09-27,Delivered
461,461,BlueDart,2023-07-03,2023-07-05,Delivered
462,462,XpressBees,2024-11-27,2024-11-28,Delivered
463,463,XpressBees,2024-11-14,2024-11-16,In Transit
464,464,India Post,2025-06-06,2025-06-12,In Transit
465,465,Ecom Express,2024-12-04,2024-12-06,In Transit
466,466,Ecom Express,2023-09-28,2023-10-05,Delivered
467,467,Delhivery,2023-08-06,2023-08-13,Delivered
468,468,Delhivery,2024-11-18,2024-11-25,In Transit
469,469,India Post,2023-06-29,2023-07-06,In Transit
470,470,BlueDart,2024-05-15,2024-05-19,Delivered
471,471,XpressBees,2024-11-29,2024-12-01,In Transit
472,472,XpressBees,2024-01-06,2024-01-08,In Transit
473,473,Ecom Express,2023-11-15,2023-11-17,Delivered
474,474,XpressBees,2023-03-23,2023-03-30,Delivered
475,475,BlueDart,2024-11-09,2024-11-10,Delivered
476,476,BlueDart,2024-08-17,2024-08-22,In Transit
477,477,India Post,2025-05-11,2025-05-16,Delivered
478,478,BlueDart,2023-11-12,2023-11-18,In Transit
479,479,India Post,2024-04-12,2024-04-15,Delivered
480,480,XpressBees,2025-03-01,2025-03-03,Delivered
481,481,Delhivery,2023-02-12,2023-02-16,In Transit
482,482,XpressBees,2024-04-06,2024-04-08,Delivered
483,483,Delhivery,2024-05-26,2024-06-01,Delivered
