order_id,customer_id,store_id,order_date,payment_method,order_status,subtotal,discount,tax,shipping_charge,total_amount
98,3757,56,2025-12-19,Net Banking,Delivered,20443.87,476.14,3594.19,79,23640.92
99,7639,97,2024-06-11,Net Banking,Delivered,1664.1,162.54,270.28,0,1771.84
100,7514,97,2023-11-06,Net Banking,Delivered,20511.64,2098.98,3314.28,79,21805.94
101,24,16,2023-01-06,Wallet,Delivered,14379.02,1478.85,2322.03,99,15321.2
102,2541,38,2025-08-13,Debit Card,Processing,1708.38,217.27,268.4,0,1759.51
103,7399,71,2023-08-21,UPI,Delivered,6467.89,951.92,992.87,79,6587.84
104,6166,3,2023-12-09,Credit Card,Processing,19776.83,2182.68,3166.95,79,20840.1
105,5748,26,2025-04-30,Net Banking,Processing,9045.6,933.34,1460.21,0,9572.47
106,5480,46,2023-01-13,Net Banking,Delivered,15139.17,959.25,2552.39,99,16831.31
107,7463,96,2023-02-12,Credit Card,Delivered,19250.84,1981.43,3108.49,0,20377.9
108,5773,13,2023-05-04,UPI,Shipped,20553.21,1153.17,3492.01,79,22971.05
109,405,12,2023-05-25,Cash,Processing,8965.76,763.52,1476.4,0,9678.64
110,3492,60,2024-06-12,UPI,Delivered,18778.09,3221.65,2800.16,0,18356.6
111,8515,95,2024-11-30,Credit Card,Processing,3039.62,393.91,476.23,79,3200.94
112,8659,40,2025-05-29,Debit Card,Shipped,2486.81,156.04,419.54,49,2799.31
113,7376,27,2024-08-26,Credit Card,Processing,12329.04,336.67,2158.63,79,14230.0
114,9596,18,2025-03-06,UPI,Delivered,5167.47,1013.18,747.77,79,4981.06
115,8555,76,2023-07-13,UPI,Delivered,11268.08,856.97,1874.0,0,12285.11
116,5054,42,2024-03-18,Debit Card,Processing,7686.57,1343.14,1141.82,0,7485.25
117,7163,59,2025-02-21,Wallet,Shipped,11137.38,615.8,1893.88,99,12514.46
118,8258,40,2024-10-27,UPI,Shipped,12194.9,1436.15,1936.57,79,12774.32
119,7897,59,2023-09-20,Cash,Cancelled,16386.84,1523.53,2675.4,49,17587.71
120,1705,42,2024-05-21,Wallet,Processing,13262.4,2269.61,1978.7,0,12971.49
121,1692,95,2023-03-15,UPI,Delivered,1154.28,177.99,175.73,79,1231.02
122,5107,17,2024-06-30,Cash,Shipped,10151.27,1536.29,1550.7,49,10214.68
123,9005,86,2025-08-13,Credit Card,Delivered,8232.88,583.32,1376.92,79,9105.48
124,4145,60,2024-02-06,Credit Card,Shipped,12232.59,912.62,2037.59,49,13406.56
125,4626,63,2024-02-25,Cash,Delivered,24441.11,3041.93,3851.85,49,25300.03
126,6641,48,2025-06-28,Net Banking,Cancelled,6673.28,809.2,1055.53,99,7018.61
127,889,71,2024-06-08,UPI,Shipped,13122.81,255.47,2316.12,0,15183.46
128,8269,71,2025-04-08,UPI,Shipped,7755.34,737.92,1263.14,79,8359.56
129,8263,35,2024-12-15,Debit Card,Delivered,17442.91,2875.65,2622.11,0,17189.37
130,8975,6,2023-05-04,Cash,Shipped,23192.06,3370.23,3567.93,79,23468.76
131,2630,8,2024-06-05,Wallet,Shipped,22514.79,318.57,3995.32,99,26290.54
132,102,61,2023-01-08,Credit Card,Delivered,7573.9,820.82,1215.55,99,8067.63
133,6422,49,2024-02-27,Debit Card,Delivered,17919.07,418.91,3150.03,79,20729.19
134,2317,95,2025-11-29,Cash,Delivered,20237.03,3073.6,3089.42,0,20252.85
135,5046,2,2025-03-11,Wallet,Delivered,13276.6,1565.35,2108.03,79,13898.28
136,4135,28,2023-10-27,Cash,Delivered,1743.74,153.78,286.19,99,1975.15
137,2560,91,2025-01-23,Cash,Delivered,2347.04,400.6,350.36,49,2345.8
138,4434,44,2025-03-18,Wallet,Processing,8658.65,397.57,1486.99,49,9797.07
139,9350,45,2024-10-05,Cash,Delivered,960.29,120.01,151.25,49,1040.53
140,1761,26,2024-02-14,UPI,Cancelled,18289.14,780.24,3151.6,49,20709.5
141,8020,9,2023-03-20,UPI,Delivered,3332.71,216.21,560.97,0,3677.47
142,190,48,2025-05-28,Net Banking,Delivered,21152.43,2924.55,3281.02,0,21508.9
143,180,36,2025-03-12,Debit Card,Processing,19457.84,1768.65,3184.05,0,20873.24
144,7349,90,2024-05-11,Credit Card,Delivered,22924.07,1778.9,3806.13,99,25050.3
145,4671,57,2025-12-21,Net Banking,Delivered,2876.97,423.37,441.65,79,2974.25
146,6877,60,2024-03-01,Wallet,Delivered,14345.58,2479.5,2135.89,49,14050.97
147,1697,91,2024-03-04,UPI,Delivered,10438.45,666.88,1758.88,0,11530.45
148,5272,29,2023-07-21,UPI,Delivered,23266.31,3796.51,3504.56,79,23053.36
149,2410,41,2024-05-18,Wallet,Processing,13426.17,817.41,2269.58,49,14927.34
150,8743,94,2023-06-25,UPI,Delivered,10753.52,696.12,1810.33,79,11946.73
151,9820,32,2025-07-06,Cash,Shipped,24775.61,3207.22,3882.31,0,25450.7
152,2366,93,2023-06-25,Debit Card,Delivered,12757.25,1448.83,2035.52,0,13343.94
153,8872,61,2023-06-04,Net Banking,Processing,14786.27,1172.79,2450.43,49,16112.91
154,4732,2,2023-04-19,Debit Card,Delivered,18728.38,563.13,3269.74,0,21434.99
155,71,49,2025-08-12,Credit Card,Shipped,15800.67,1724.26,2533.75,99,16709.16
156,2996,61,2023-03-15,Wallet,Delivered,2065.82,331.24,312.22,99,2145.8
157,734,14,2024-06-26,Net Banking,Cancelled,20061.96,1476.23,3345.43,0,21931.16
158,6930,48,2024-04-25,Debit Card,Delivered,1495.14,34.77,262.87,49,1772.24
159,5756,73,2024-09-02,UPI,Delivered,13520.72,1936.37,2085.18,99,13768.53
160,5087,16,2024-10-06,UPI,Shipped,6401.31,138.03,1127.39,49,7439.67
161,2702,89,2025-08-06,Debit Card,Shipped,17518.86,2362.88,2728.08,0,17884.06
162,4040,75,2023-11-22,Net Banking,Delivered,20896.51,1635.34,3467.01,99,22827.18
163,2466,5,2025-08-13,UPI,Cancelled,3549.41,14.04,636.37,0,4171.74
164,8192,42,2023-12-20,Cash,Cancelled,11514.96,1001.1,1892.49,79,12485.35
165,7052,85,2023-09-07,Cash,Shipped,6806.28,904.47,1062.33,0,6964.14
166,9409,31,2024-07-13,Cash,Delivered,23052.01,2172.41,3758.33,0,24637.93
167,5333,74,2024-01-29,Cash,Shipped,13143.79,2509.99,1914.08,49,12596.88
168,1287,91,2024-11-28,Wallet,Delivered,9321.37,147.31,1651.33,0,10825.39
169,4429,39,2023-04-23,UPI,Delivered,3334.52,100.81,582.07,99,3914.78
170,4925,83,2023-01-27,Debit Card,Delivered,18617.73,2622.87,2879.07,49,18922.93
171,9344,9,2025-04-13,Credit Card,Cancelled,16018.69,263.79,2835.88,49,18639.78
172,929,7,2023-08-24,Debit Card,Delivered,7702.31,657.44,1268.08,79,8391.95
173,518,43,2024-01-28,Net Banking,Delivered,24898.96,3136.08,3917.32,99,25779.2
174,963,20,2023-05-17,Net Banking,Shipped,1616.95,307.84,235.64,0,1544.75
175,5272,47,2024-06-12,Net Banking,Cancelled,22868.83,483.7,4029.32,79,26493.45
176,9224,89,2025-01-16,Wallet,Cancelled,7052.08,900.99,1107.2,0,7258.29
177,4988,84,2023-10-26,Cash,Cancelled,14283.17,2296.19,2157.66,99,14243.64
178,5079,36,2023-04-24,Cash,Delivered,18561.23,175.1,3309.5,79,21774.63
179,839,1,2024-08-24,Net Banking,Delivered,7552.22,470.78,1274.66,99,8455.1
180,5688,10,2025-12-18,Credit Card,Delivered,12485.95,1409.74,1993.72,99,13168.93
181,7910,69,2025-08-19,Net Banking,Delivered,10344.07,1148.01,1655.29,49,10900.35
182,3526,31,2025-10-27,Debit Card,Delivered,7303.94,1339.23,1073.65,79,7117.36
183,3358,66,2023-12-24,UPI,Delivered,13646.66,2708.89,1968.8,99,13005.57
184,1134,48,2024-11-04,Debit Card,Delivered,7104.03,1083.16,1083.76,0,7104.63
185,8603,53,2025-06-13,Cash,Delivered,12338.76,1515.78,1948.14,79,12850.12
186,759,18,2023-11-29,Credit Card,Processing,5610.39,228.8,968.69,79,6429.28
187,7608,81,2025-07-28,Net Banking,Shipped,8470.6,904.63,1361.87,0,8927.84
188,8660,24,2024-11-09,Cash,Delivered,5560.41,146.25,974.55,79,6467.71
189,8097,67,2024-06-13,Cash,Delivered,14738.92,1506.6,2381.82,99,15713.14
190,7953,52,2024-05-29,UPI,Delivered,20477.18,2215.88,3287.03,99,21647.33
191,5829,1,2024-08-15,UPI,Processing,24654.65,3387.77,3828.04,79,25173.92
192,3796,36,2023-07-29,Credit Card,Processing,23816.51,3047.93,3738.34,99,24605.92
193,8928,1,2025-01-30,Debit Card,Delivered,22585.65,2758.73,3568.85,79,23474.77
194,2589,61,2024-03-15,Credit Card,Delivered,19640.26,274.47,3485.84,79,22930.63
195,1198,65,2025-05-10,Debit Card,Delivered,13135.3,1351.24,2121.13,0,13905.19
196,4155,34,2023-02-07,Credit Card,Delivered,20212.64,2344.8,3216.21,99,21183.05
197,2798,39,2023-10-08,Cash,Delivered,3616.96,127.81,628.05,79,4196.2
198,4886,13,2025-02-07,Cash,Delivered,11841.6,2186.9,1737.85,79,11471.55
199,206,23,2023-01-10,Wallet,Delivered,1153.59,210.28,169.8,49,1162.11
200,6,32,2025-07-06,Cash,Shipped,9228.21,1596.44,1373.72,79,9084.49
201,1225,59,2025-08-15,Net Banking,Processing,3031.42,152.73,518.16,49,3445.85
202,7124,87,2024-08-24,UPI,Delivered,20853.55,2904.91,3230.76,99,21278.4
203,1372,14,2023-03-02,Net Banking,Delivered,7190.92,1112.31,1094.15,0,7172.76
204,1140,62,2025-12-03,Debit Card,Processing,5407.43,101.61,955.05,49,6309.87
205,5648,67,2025-09-19,Debit Card,Shipped,16019.29,3068.71,2331.1,79,15360.68
206,3590,10,2024-04-10,Wallet,Delivered,1265.38,250.84,182.62,0,1197.16
207,1065,8,2025-10-04,Debit Card,Delivered,10604.31,848.61,1756.03,0,11511.73
208,2937,34,2023-08-31,Net Banking,Delivered,14551.27,1000.53,2439.13,0,15989.87
209,7343,11,2023-08-29,Credit Card,Delivered,7269.8,386.69,1238.96,99,8221.07
210,6410,96,2025-04-19,Cash,Delivered,11951.52,1745.83,1837.02,0,12042.71
211,4511,63,2023-07-08,Cash,Processing,4933.03,760.38,751.08,49,4972.73
212,608,86,2024-02-06,Debit Card,Delivered,18415.35,7.27,3313.45,49,21770.53
213,9329,100,2024-08-20,Net Banking,Delivered,24211.58,2867.86,3841.87,49,25234.59
214,3950,55,2025-06-14,Wallet,Processing,16752.32,2633.11,2541.46,0,16660.67
215,6046,33,2023-03-09,Credit Card,Delivered,4733.48,796.46,708.66,99,4744.68
216,5454,83,2023-03-08,UPI,Delivered,4519.62,78.76,799.35,79,5319.21
217,9032,78,2023-02-15,Wallet,Delivered,18399.72,410.15,3238.12,0,21227.69
218,2990,64,2024-12-03,Wallet,Delivered,6742.49,84.81,1198.38,79,7935.06
219,3699,23,2025-12-11,Net Banking,Cancelled,13856.9,2262.26,2087.04,49,13730.68
220,1895,99,2025-05-14,Wallet,Processing,6524.39,1144.41,968.4,0,6348.38
221,9320,4,2025-09-01,Wallet,Delivered,1639.34,118.5,273.75,99,1893.59
222,637,86,2024-06-19,Debit Card,Delivered,3512.71,124.67,609.85,0,3997.89
223,9687,85,2024-12-24,Debit Card,Shipped,14835.39,1360.12,2425.55,79,15979.82
224,4203,11,2023-11-23,UPI,Delivered,10006.5,596.99,1693.71,79,11182.22
225,1584,15,2024-05-02,Cash,Shipped,24823.47,4367.52,3682.07,79,24217.02
226,5592,53,2023-10-31,Cash,Delivered,15538.05,1350.94,2553.68,79,16819.79
227,766,68,2023-10-16,Debit Card,Cancelled,10330.95,2000.52,1499.48,79,9908.91
228,6711,69,2024-02-03,Net Banking,Delivered,14410.05,1434.83,2335.54,79,15389.76
229,99,9,2025-11-14,Debit Card,Shipped,10515.98,1068.17,1700.61,49,11197.42
230,2706,60,2025-04-23,Cash,Delivered,13102.72,378.09,2290.43,99,15114.06
231,6671,6,2025-11-02,Wallet,Delivered,21157.9,2492.13,3359.84,79,22104.61
232,3478,67,2025-05-04,Cash,Processing,2083.67,67.82,362.85,0,2378.7
233,8368,26,2024-01-01,UPI,Delivered,21564.86,1407.21,3628.38,0,23786.03
234,8442,41,2024-07-16,Net Banking,Delivered,24211.36,4423.9,3561.74,0,23349.2
235,7319,13,2023-11-16,UPI,Delivered,7024.73,709.5,1136.74,99,7550.97
236,9784,8,2025-08-23,UPI,Delivered,1522.33,45.65,265.8,99,1841.48
237,6466,10,2023-09-04,Credit Card,Delivered,3473.43,658.36,506.71,99,3420.78
238,4007,58,2024-12-07,Net Banking,Delivered,6853.39,203.09,1197.05,99,7946.35
239,2841,70,2023-09-18,Debit Card,Shipped,17758.63,2302.09,2782.18,49,18287.72
240,6991,34,2023-12-08,Cash,Delivered,10380.65,1903.77,1525.84,99,10101.72
241,2982,18,2024-07-31,Cash,Delivered,7222.04,527.82,1204.96,0,7899.18
242,9052,88,2023-08-16,Wallet,Delivered,19542.44,2104.86,3138.76,79,20655.34
243,2681,55,2023-03-15,Net Banking,Processing,4467.36,306.16,749.02,99,5009.22
244,4567,31,2025-03-10,Net Banking,Delivered,8524.06,1202.15,1317.94,99,8738.85
245,2081,92,2024-03-01,Debit Card,Delivered,8898.96,1477.78,1335.81,49,8805.99
246,8126,45,2023-01-28,Cash,Shipped,11635.95,267.71,2046.28,79,13493.52
247,6166,84,2025-11-13,Credit Card,Shipped,12649.72,1364.31,2031.37,49,13365.78
248,4839,21,2024-11-01,UPI,Delivered,15955.21,1745.83,2557.69,0,16767.07
249,6717,45,2024-04-06,Cash,Cancelled,14551.63,1433.27,2361.3,49,15528.66
250,8206,18,2024-10-29,Cash,Shipped,24455.11,503.03,4311.37,0,28263.45
251,9367,37,2023-12-12,Debit Card,Cancelled,18623.63,2938.91,2823.25,0,18507.97
252,7327,68,2024-09-04,Net Banking,Delivered,24675.14,3905.76,3738.49,0,24507.87
253,2665,36,2024-07-04,Credit Card,Cancelled,789.4,1.04,141.9,79,1009.26
254,6266,22,2024-01-25,Credit Card,Delivered,3335.86,306.47,545.29,49,3623.68
255,8091,22,2025-06-02,Cash,Delivered,18387.81,67.52,3297.65,79,21696.94
256,4341,79,2025-01-22,UPI,Shipped,13657.0,2048.45,2089.54,99,13797.09
257,6094,85,2024-06-01,UPI,Delivered,13871.57,1292.99,2264.14,49,14891.72
258,568,55,2025-11-22,Credit Card,Delivered,21891.99,3676.69,3278.75,0,21494.05
259,3238,68,2024-06-11,Debit Card,Delivered,15344.89,1973.8,2406.8,49,15826.89
260,1225,74,2024-03-31,Cash,Processing,12924.62,438.81,2247.45,79,14812.26
261,8840,69,2025-12-04,Debit Card,Delivered,20267.44,1593.82,3361.25,99,22133.87
262,2111,82,2024-10-21,Credit Card,Shipped,19621.21,2240.12,3128.6,79,20588.69
263,7936,65,2024-05-18,Debit Card,Processing,2702.95,175.77,454.89,79,3061.07
264,3492,60,2025-04-09,Cash,Shipped,9820.96,1473.14,1502.61,0,9850.43
265,797,37,2023-02-18,Net Banking,Shipped,3456.73,117.58,601.05,99,4039.2
266,7750,33,2024-03-25,UPI,Processing,2452.3,316.27,384.49,0,2520.52
267,1350,6,2024-01-23,UPI,Delivered,24368.02,1148.42,4179.53,79,27478.13
268,5116,75,2024-06-16,UPI,Delivered,5646.49,970.8,841.62,49,5566.31
269,9538,33,2025-06-29,Credit Card,Processing,5754.89,1083.91,840.78,0,5511.76
270,3487,87,2023-06-25,Credit Card,Processing,17595.56,1857.99,2832.76,0,18570.33
271,1269,68,2024-12-26,UPI,Delivered,6407.16,59.33,1142.61,0,7490.44
272,6602,1,2025-08-20,Debit Card,Shipped,5341.72,891.18,801.1,0,5251.64
273,8059,45,2025-04-10,Cash,Delivered,20296.64,3626.89,3000.55,0,19670.3
274,1468,62,2025-09-25,Wallet,Shipped,17707.42,1180.71,2974.81,49,19550.52
275,2378,44,2023-10-11,Cash,Cancelled,23427.38,1967.22,3862.83,99,25421.99
276,7780,44,2024-01-16,Cash,Delivered,12652.44,1840.39,1946.17,99,12857.22
277,8030,66,2023-08-01,Net Banking,Delivered,10115.3,1243.71,1596.89,49,10517.48
278,3775,91,2025-03-10,Debit Card,Delivered,1625.8,230.58,251.14,0,1646.36
279,3137,78,2024-08-23,Net Banking,Processing,18294.8,1577.13,3009.18,79,19805.85
280,8838,94,2023-09-20,Credit Card,Shipped,23254.36,1704.79,3878.92,0,25428.49
281,3559,54,2025-04-12,Debit Card,Shipped,10431.36,709.97,1749.85,49,11520.24
282,4927,68,2024-11-02,Wallet,Delivered,8215.68,1601.69,1190.52,99,7903.51
283,1122,22,2025-05-09,Net Banking,Processing,23847.5,4049.17,3563.7,0,23362.03
284,2942,93,2024-12-14,Credit Card,Processing,3256.87,614.56,475.62,0,3117.93
285,7254,18,2023-05-10,Credit Card,Shipped,22935.63,4372.14,3341.43,79,21983.92
286,2389,73,2023-12-26,Credit Card,Shipped,12754.25,1985.85,1938.31,99,12805.71
287,1283,79,2025-02-17,Wallet,Delivered,3630.11,96.62,636.03,0,4169.52
288,1636,11,2025-07-21,Cash,Delivered,17735.38,3133.48,2628.34,79,17309.24
289,9485,16,2024-01-24,Wallet,Processing,21772.08,1909.13,3575.33,49,23487.28
290,3605,73,2024-05-31,Cash,Delivered,24936.39,656.35,4370.41,0,28650.45
291,5064,38,2025-05-19,Net Banking,Delivered,18340.93,1969.55,2946.85,79,19397.23
292,4618,82,2024-09-03,Debit Card,Delivered,6686.12,186.83,1169.87,79,7748.16
293,7256,98,2024-01-20,UPI,Shipped,4115.18,796.98,597.28,99,4014.48
294,6810,13,2023-03-22,Wallet,Delivered,19489.96,1107.22,3308.89,49,21740.63
295,192,28,2024-07-05,Wallet,Shipped,18532.11,3271.17,2746.97,49,18056.91
296,5659,76,2024-10-25,UPI,Delivered,13427.66,1567.87,2134.76,99,14093.55
297,8214,69,2025-11-10,Wallet,Delivered,19771.53,1796.21,3235.56,49,21259.88
298,6802,58,2023-11-07,Credit Card,Delivered,15393.01,2837.9,2259.92,0,14815.03
299,1912,27,2023-12-05,Wallet,Processing,22263.6,1613.17,3717.08,99,24466.51
300,5959,72,2023-08-02,Credit Card,Delivered,7476.08,321.36,1287.85,99,8541.57
301,6452,87,2024-09-30,UPI,Delivered,24813.34,4861.85,3591.27,99,23641.76
302,973,91,2025-12-26,UPI,Cancelled,3430.94,433.28,539.58,0,3537.24
303,243,92,2025-10-31,UPI,Processing,1193.21,92.2,198.18,49,1348.19
304,2199,69,2025-06-29,Debit Card,Delivered,7224.6,487.63,1212.65,99,8048.62
305,7986,88,2024-04-21,UPI,Shipped,21663.08,3969.9,3184.77,79,20956.95
306,5129,29,2023-12-18,Debit Card,Cancelled,12099.0,529.37,2082.53,79,13731.16
307,1162,80,2025-07-07,UPI,Delivered,13103.97,2089.77,1982.56,79,13075.76
