campaign_id,campaign_name,channel_id,campaign_type,start_date,end_date,budget,spend,impressions,clicks,conversions,revenue_generated,roas,campaign_status
21,Premium Drive 2024 - Organic Search - 021,6,Product Launch,2024-09-28,2024-12-10,424632,321433.41,2019229,34421,1954,591437.47,1.84,Completed
22,Big Savings Promotion 2024 - Email - 022,5,Seasonal Sale,2024-02-28,2024-03-20,430160,308452.2,1459029,65360,1531,576805.61,1.87,Completed
23,Smart Shopping Offers 2025 - Email - 023,5,Festival Sale,2025-02-17,2025-03-19,1314081,1154230.6,4986121,147952,7276,5055530.03,4.38,Completed
24,Home Carnival 2024 - Organic Search - 024,6,Loyalty Campaign,2024-07-28,2024-09-21,1508636,1348192.92,6664310,316658,21148,2089699.03,1.55,Completed
25,Republic Day Promotion 2025 - Organic Search - 025,6,Email Promotion,2025-07-30,2025-08-26,656165,485389.51,2654990,46217,1488,1490145.8,3.07,Completed
26,Big Savings Sale 2025 - Referral - 026,7,Customer Acquisition,2025-07-10,2025-09-01,1500610,1418273.39,8156238,311720,20868,3176932.39,2.24,Completed
27,New Year Week 2024 - Google Ads - 027,1,Brand Awareness,2024-04-19,2024-07-13,541722,495829.29,3165254,117742,3908,2077524.73,4.19,Completed
28,Winter Sale 2024 - Email - 028,5,Flash Sale,2024-04-04,2024-06-12,799518,744619.71,3172909,76684,4375,3373127.29,4.53,Completed
29,Super Promotion 2025 - LinkedIn - 029,9,Brand Awareness,2025-07-28,2025-08-13,175556,166844.65,742020,14976,394,533902.88,3.2,Completed
30,Mega Campaign 2025 - Facebook Ads - 030,2,Seasonal Sale,2025-01-01,2025-02-11,1736022,1506806.43,5430945,266574,15321,9929854.37,6.59,Completed
31,Summer Carnival 2024 - Direct - 031,10,Seasonal Sale,2024-06-15,2024-07-22,1644687,1607428.57,6162754,181246,9695,8905154.28,5.54,Completed
32,Mega Launch 2024 - Instagram - 032,3,Seasonal Sale,2024-09-30,2024-11-04,1929066,1372756.9,6705396,147418,9718,4694828.6,3.42,Completed
33,Home Campaign 2024 - LinkedIn - 033,9,App Install,2024-08-16,2024-09-03,684272,656426.15,2232437,55296,2879,2428776.76,3.7,Completed
34,Christmas Carnival 2024 - Email - 034,5,Product Launch,2024-12-05,2024-12-23,1317584,1302774.74,7764597,145928,6089,7178288.82,5.51,Completed
35,Smart Shopping Offers 2025 - Affiliate - 035,8,Seasonal Sale,2025-03-22,2025-06-10,634191,452378.56,2279095,75659,4564,2388558.8,5.28,Completed
36,Fashion Week 2025 - Affiliate - 036,8,Product Launch,2025-01-07,2025-03-18,758328,681749.19,4786470,222578,10095,3524643.31,5.17,Completed
37,Republic Day Launch 2025 - Organic Search - 037,6,App Install,2025-02-16,2025-04-09,1494458,1467720.8,6067037,282712,14354,4637997.73,3.16,Completed
38,Grocery Week 2024 - Facebook Ads - 038,2,Retargeting,2024-01-01,2024-02-23,1372261,1230110.8,6038898,184038,5647,5043454.28,4.1,Completed
39,End of Season Campaign 2025 - YouTube - 039,4,Brand Awareness,2025-11-05,2025-11-30,295847,279731.34,1096105,42252,1319,727301.48,2.6,Completed
40,End of Season Festival 2024 - Direct - 040,10,Seasonal Sale,2024-02-17,2024-04-03,1055076,869733.23,3727037,81268,4454,3670274.23,4.22,Completed
41,Mega Launch 2024 - Referral - 041,7,Customer Acquisition,2024-05-31,2024-06-15,558943,420753.29,1438797,47665,1072,1207561.94,2.87,Completed
42,Big Savings Promotion 2025 - Organic Search - 042,6,Flash Sale,2025-04-12,2025-05-14,1348754,1072514.87,4190411,127765,7761,6874820.32,6.41,Completed
43,Back to School Drive 2025 - Email - 043,5,Seasonal Sale,2025-07-15,2025-09-25,643564,595639.74,2196511,54266,3195,2483817.72,4.17,Completed
44,New Year Offers 2024 - Google Ads - 044,1,Retargeting,2024-10-08,2024-12-18,669827,536366.82,1910513,34045,937,1936284.22,3.61,Completed
45,Fashion Promotion 2024 - Affiliate - 045,8,Brand Awareness,2024-08-07,2024-08-30,1077114,888330.67,5649873,167829,10949,4184037.46,4.71,Completed
46,Electronics Bonanza 2025 - Direct - 046,10,Loyalty Campaign,2025-08-12,2025-10-14,1680151,1372676.64,4893756,216551,10158,7604628.59,5.54,Completed
47,Grocery Drive 2024 - Email - 047,5,Retargeting,2024-08-13,2024-10-29,160869,131374.82,546490,23463,1318,804013.9,6.12,Completed
48,Home Week 2025 - Instagram - 048,3,Festival Sale,2025-09-29,2025-12-21,1283615,1153841.43,8539980,256211,16229,2884603.57,2.5,Paused
49,Fashion Campaign 2025 - Google Ads - 049,1,Email Promotion,2025-01-23,2025-03-20,1696414,1635159.88,9613713,464266,19071,9958123.67,6.09,Completed
50,Electronics Offers 2024 - Affiliate - 050,8,Brand Awareness,2024-01-20,2024-04-13,1463450,1054540.87,3607593,59197,1275,3015986.89,2.86,Completed
51,Back to School Festival 2025 - Referral - 051,7,Customer Acquisition,2025-09-28,2025-11-01,1282729,1262624.93,6198267,148563,5711,6098478.41,4.83,Completed
52,Summer Bonanza 2024 - Facebook Ads - 052,2,Seasonal Sale,2024-06-16,2024-08-09,1307533,1180969.28,4037900,116626,6501,2267461.02,1.92,Completed
53,End of Season Festival 2024 - Organic Search - 053,6,App Install,2024-04-14,2024-06-06,1769809,1761231.28,6751262,183311,7592,6234758.73,3.54,Completed
54,Grocery Drive 2025 - Google Ads - 054,1,Retargeting,2025-10-25,2025-12-22,321331,266723.05,1440237,66546,2860,624131.94,2.34,Paused
55,Premium Drive 2025 - Direct - 055,10,Customer Acquisition,2025-06-18,2025-08-06,1074910,892898.01,3549094,86576,5418,5419890.92,6.07,Completed
56,Kids Week 2024 - YouTube - 056,4,Product Launch,2024-10-12,2024-12-23,1379958,1242592.21,6882207,222300,8058,5194035.44,4.18,Completed
57,End of Season Bonanza 2024 - Instagram - 057,3,Seasonal Sale,2024-09-21,2024-11-18,1265578,889758.71,3061258,55091,3085,3728088.99,4.19,Completed
58,Summer Festival 2025 - Referral - 058,7,App Install,2025-05-02,2025-07-18,717056,549608.31,2247687,57804,2836,2253394.07,4.1,Completed
59,Premium Campaign 2024 - Organic Search - 059,6,Customer Acquisition,2024-12-18,2025-02-25,837800,763115.56,4521765,107614,2801,1953575.83,2.56,Completed
60,Back to School Bonanza 2025 - Direct - 060,10,Festival Sale,2025-07-02,2025-08-09,1619564,1420156.92,5529400,198437,13697,8634554.07,6.08,Completed
61,Summer Promotion 2024 - Email - 061,5,Email Promotion,2024-08-20,2024-10-20,365463,285899.29,967925,33265,1825,626119.45,2.19,Completed
62,Back to School Drive 2024 - Facebook Ads - 062,2,Customer Acquisition,2024-04-15,2024-05-01,1023730,821248.27,2795362,66632,4203,1749258.82,2.13,Completed
63,Winter Carnival 2025 - Google Ads - 063,1,Flash Sale,2025-02-14,2025-05-02,412890,389496.74,1339201,24080,780,1780000.1,4.57,Completed
64,Home Drive 2025 - Organic Search - 064,6,Customer Acquisition,2025-09-12,2025-10-25,1028453,811661.22,3592462,107806,5221,1485340.03,1.83,Completed
65,Monsoon Carnival 2024 - Organic Search - 065,6,Festival Sale,2024-07-31,2024-09-11,603033,453567.69,3397213,51276,2180,2163517.88,4.77,Completed
66,New Year Drive 2024 - Instagram - 066,3,Seasonal Sale,2024-02-03,2024-03-18,249274,225895.96,789007,33591,1721,1161105.23,5.14,Completed
67,Super Bonanza 2025 - Referral - 067,7,Festival Sale,2025-03-11,2025-04-09,1833571,1361739.8,10416043,445202,22149,8211290.99,6.03,Completed
68,New Year Launch 2025 - YouTube - 068,4,Product Launch,2025-03-25,2025-04-24,670941,570394.89,2730688,48648,1069,2213132.17,3.88,Completed
69,Diwali Week 2025 - Organic Search - 069,6,Retargeting,2025-09-10,2025-10-27,1331286,1311630.74,4373224,168499,5640,2256004.87,1.72,Paused
70,Christmas Carnival 2025 - Instagram - 070,3,Product Launch,2025-04-26,2025-07-16,1327525,1102861.97,4137323,202385,8803,4135732.39,3.75,Completed
71,Fashion Launch 2025 - Affiliate - 071,8,Customer Acquisition,2025-11-17,2025-12-15,1554739,1319414.8,5514448,160006,9284,2243005.16,1.7,Completed
72,Home Promotion 2024 - Organic Search - 072,6,Product Launch,2024-11-18,2025-01-04,1829997,1823474.46,7649480,260011,10572,4613390.38,2.53,Completed
73,Winter Offers 2025 - Referral - 073,7,Loyalty Campaign,2025-09-29,2025-12-16,660057,570794.78,1988962,60333,3313,1238624.67,2.17,Completed
74,Summer Promotion 2024 - Google Ads - 074,1,Retargeting,2024-09-02,2024-10-07,955618,695654.32,2329670,109383,4711,1495656.79,2.15,Completed
75,Christmas Launch 2025 - Affiliate - 075,8,Loyalty Campaign,2025-05-25,2025-07-16,1850542,1563245.12,7625602,236298,6434,3986275.06,2.55,Completed
76,Christmas Launch 2025 - Instagram - 076,3,Loyalty Campaign,2025-06-04,2025-07-06,812770,796737.72,3768992,164777,5625,2501756.44,3.14,Completed
77,Kids Promotion 2025 - Instagram - 077,3,Seasonal Sale,2025-08-16,2025-11-01,1115737,896536.17,4087330,139051,5946,2931673.28,3.27,Completed
78,Grocery Sale 2024 - YouTube - 078,4,Retargeting,2024-09-01,2024-11-28,767264,708500.44,2869107,124517,4894,3648777.27,5.15,Completed
79,Smart Shopping Campaign 2025 - Referral - 079,7,Retargeting,2025-05-22,2025-06-10,1923893,1404652.33,5162130,95447,6253,2219350.68,1.58,Completed
80,Christmas Campaign 2025 - YouTube - 080,4,Flash Sale,2025-02-23,2025-03-29,1407069,1277353.25,5390344,241550,15125,7957910.75,6.23,Completed
81,Winter Week 2024 - Referral - 081,7,Customer Acquisition,2024-11-20,2025-02-05,243488,187590.72,771369,19329,606,375181.44,2.0,Completed
82,New Year Sale 2025 - Google Ads - 082,1,Flash Sale,2025-10-10,2025-11-06,196450,156632.02,1203922,33163,1377,444834.94,2.84,Completed
83,Monsoon Week 2025 - Instagram - 083,3,Festival Sale,2025-08-02,2025-09-09,1926283,1569464.67,6459653,209411,10294,4363111.78,2.78,Completed
84,Kids Bonanza 2025 - Facebook Ads - 084,2,Flash Sale,2025-04-15,2025-06-01,1521053,1314158.52,9859012,474053,32891,4139599.34,3.15,Completed
85,Republic Day Launch 2024 - LinkedIn - 085,9,Festival Sale,2024-09-13,2024-11-25,1889574,1596619.02,9813449,343640,16749,11112468.38,6.96,Completed
86,Smart Shopping Sale 2024 - Google Ads - 086,1,Product Launch,2024-01-23,2024-03-28,1371726,1266859.81,4693620,218735,12858,3509201.67,2.77,Completed
87,Super Festival 2024 - Direct - 087,10,Retargeting,2024-08-12,2024-09-20,1994574,1771655.29,13939497,593841,12867,6218510.07,3.51,Completed
88,Grocery Carnival 2024 - Referral - 088,7,Retargeting,2024-04-02,2024-05-24,521097,385428.32,1775403,86998,4049,2512992.65,6.52,Completed
89,New Year Campaign 2024 - YouTube - 089,4,Flash Sale,2024-09-20,2024-12-05,1786597,1312346.46,4474099,89153,6091,8175918.45,6.23,Completed
90,Home Sale 2025 - LinkedIn - 090,9,Product Launch,2025-07-24,2025-09-23,654609,563599.82,2792012,107629,5770,2660191.15,4.72,Completed
91,End of Season Promotion 2024 - LinkedIn - 091,9,Festival Sale,2024-04-20,2024-06-03,787879,767848.57,4803674,82683,5059,4991015.71,6.5,Completed
92,Winter Sale 2025 - Referral - 092,7,Product Launch,2025-10-26,2026-01-01,738298,737395.96,5233407,121509,5696,2684121.29,3.64,Completed
93,Super Launch 2025 - Affiliate - 093,8,Product Launch,2025-11-17,2026-02-09,1473470,1075200.62,5167185,151316,10225,1806337.04,1.68,Completed
94,Diwali Campaign 2024 - Instagram - 094,3,Festival Sale,2024-08-10,2024-10-20,308361,306596.66,1647303,76697,4006,561071.89,1.83,Completed
95,Kids Festival 2024 - Affiliate - 095,8,Retargeting,2024-07-13,2024-08-12,1489926,1137754.79,4839270,237067,5340,3788723.45,3.33,Completed
96,Premium Offers 2025 - Referral - 096,7,Brand Awareness,2025-08-01,2025-09-11,1329734,1016961.16,3677378,97448,2667,6559399.48,6.45,Completed
97,Premium Bonanza 2024 - Email - 097,5,Seasonal Sale,2024-10-10,2024-11-12,1774604,1335121.79,5586508,88838,1842,7797111.25,5.84,Completed
98,Christmas Sale 2025 - Direct - 098,10,App Install,2025-08-25,2025-10-20,365831,337484.74,1571923,64603,2830,1950661.8,5.78,Paused
99,Diwali Week 2025 - Google Ads - 099,1,Brand Awareness,2025-08-30,2025-09-27,190943,175318.69,618243,23531,825,883606.2,5.04,Completed
100,Grocery Festival 2024 - Email - 100,5,Retargeting,2024-03-03,2024-05-18,1128168,1030830.11,5158245,239726,8655,2391525.86,2.32,Completed
101,Fashion Launch 2024 - Referral - 101,7,App Install,2024-10-08,2025-01-05,1352821,1162299.23,5763406,208577,5205,6229923.87,5.36,Completed
102,Diwali Launch 2024 - Referral - 102,7,Festival Sale,2024-08-08,2024-10-17,810791,768812.92,4009006,162510,5789,2475577.6,3.22,Completed
103,Back to School Festival 2025 - Referral - 103,7,App Install,2025-01-18,2025-02-21,291312,276609.94,2022277,37168,2116,1648595.24,5.96,Completed
104,Premium Campaign 2024 - Affiliate - 104,8,Brand Awareness,2024-03-02,2024-05-31,1505119,1108775.09,6037512,231157,13294,6952019.81,6.27,Completed
105,Smart Shopping Promotion 2024 - Google Ads - 105,1,Customer Acquisition,2024-10-21,2024-12-14,546145,407653.03,1971299,88027,3301,1858897.82,4.56,Completed
106,Grocery Promotion 2024 - Google Ads - 106,1,Festival Sale,2024-10-12,2025-01-08,1709422,1616306.46,7013904,262982,5604,10683785.7,6.61,Completed
107,New Year Campaign 2024 - Organic Search - 107,6,Brand Awareness,2024-01-30,2024-03-08,836149,586835.9,2121794,73883,2958,1337985.85,2.28,Completed
108,Grocery Drive 2024 - Direct - 108,10,Brand Awareness,2024-04-03,2024-06-24,814910,608919.32,3457907,91127,6111,2910634.35,4.78,Completed
109,Winter Festival 2024 - Affiliate - 109,8,App Install,2024-06-08,2024-07-13,670641,558599.62,2845314,103135,4198,1502632.98,2.69,Completed
110,New Year Week 2024 - Affiliate - 110,8,Seasonal Sale,2024-04-26,2024-06-24,1120542,961514.94,5478234,124455,8615,1730726.89,1.8,Completed
111,Christmas Bonanza 2024 - YouTube - 111,4,Seasonal Sale,2024-11-04,2024-12-16,788122,580054.09,2768366,83252,2202,2569639.62,4.43,Completed
112,Electronics Festival 2025 - LinkedIn - 112,9,Loyalty Campaign,2025-05-27,2025-08-21,932718,894037.54,7005772,109682,7245,5578794.25,6.24,Completed
113,Grocery Bonanza 2025 - Instagram - 113,3,Product Launch,2025-03-15,2025-06-11,341536,280575.13,954610,20061,1351,1130717.77,4.03,Completed
114,Diwali Launch 2024 - Direct - 114,10,Retargeting,2024-03-31,2024-06-09,1334952,1094840.78,8160923,371063,21258,2977966.92,2.72,Completed
115,Big Savings Promotion 2024 - YouTube - 115,4,Seasonal Sale,2024-03-19,2024-06-07,506645,492345.87,2692068,108916,6638,2944228.3,5.98,Completed
116,Weekend Week 2024 - Referral - 116,7,Loyalty Campaign,2024-04-15,2024-05-18,420591,390335.61,1640123,34770,2038,1647216.27,4.22,Completed
117,Smart Shopping Week 2025 - Referral - 117,7,Festival Sale,2025-08-16,2025-10-27,777816,746138.71,3203698,64982,1521,2932325.13,3.93,Completed
118,Big Savings Festival 2024 - YouTube - 118,4,Customer Acquisition,2024-10-08,2025-01-06,750972,629707.1,4967346,138617,4762,3180020.85,5.05,Completed
119,Smart Shopping Promotion 2025 - LinkedIn - 119,9,Loyalty Campaign,2025-09-21,2025-12-09,1760562,1622668.29,12738390,596370,28973,4121577.46,2.54,Completed
120,Winter Drive 2025 - LinkedIn - 120,9,Brand Awareness,2025-05-02,2025-07-20,317059,299078.6,1104720,54554,1321,1510346.93,5.05,Completed
121,Big Savings Promotion 2024 - LinkedIn - 121,9,Loyalty Campaign,2024-09-10,2024-11-20,1378854,1030864.15,5509302,137188,5547,3463703.54,3.36,Completed
122,Mega Promotion 2024 - Direct - 122,10,Retargeting,2024-02-23,2024-04-20,1522664,1242447.02,7513623,336646,22966,5976170.17,4.81,Completed
123,Super Campaign 2024 - Affiliate - 123,8,Festival Sale,2024-12-07,2025-01-01,750603,743328.87,3025026,86874,4322,4950570.27,6.66,Completed
124,Fashion Carnival 2025 - LinkedIn - 124,9,Flash Sale,2025-07-26,2025-09-27,1505335,1371133.27,4720240,235543,15456,2755977.87,2.01,Completed
125,New Year Carnival 2025 - Direct - 125,10,Festival Sale,2025-06-04,2025-08-04,549194,440739.01,1708899,37117,2598,1035736.67,2.35,Paused
126,Big Savings Sale 2024 - YouTube - 126,4,Loyalty Campaign,2024-04-13,2024-07-01,1488166,1192064.59,4621563,90521,3515,2849034.37,2.39,Completed
127,Electronics Offers 2024 - YouTube - 127,4,Email Promotion,2024-06-18,2024-08-28,1031552,911044.68,3566704,151345,4797,2569146.0,2.82,Paused
128,Smart Shopping Drive 2024 - LinkedIn - 128,9,Seasonal Sale,2024-07-17,2024-09-17,1068213,994326.38,3823415,124649,5102,2376440.05,2.39,Completed
129,Winter Drive 2025 - LinkedIn - 129,9,Customer Acquisition,2025-09-11,2025-10-13,1933156,1568492.47,5442887,217165,9945,3434998.51,2.19,Completed
130,Big Savings Carnival 2024 - Facebook Ads - 130,2,Brand Awareness,2024-06-13,2024-08-01,1842831,1531838.1,5275753,120135,5112,5238886.3,3.42,Completed
131,Electronics Offers 2025 - Affiliate - 131,8,Product Launch,2025-02-28,2025-03-21,909849,908354.67,4844964,77454,5153,5559130.58,6.12,Completed
132,Back to School Carnival 2024 - Facebook Ads - 132,2,Retargeting,2024-05-29,2024-06-30,1691405,1541987.72,7681200,116629,2794,4487184.27,2.91,Paused
133,New Year Offers 2025 - Google Ads - 133,1,Email Promotion,2025-07-15,2025-10-05,731559,538833.08,3307365,123574,6319,996841.2,1.85,Completed
134,Big Savings Week 2025 - Email - 134,5,Retargeting,2025-09-03,2025-11-25,607381,556095.75,3225071,48552,1827,2580284.28,4.64,Paused
135,Electronics Festival 2025 - Facebook Ads - 135,2,Brand Awareness,2025-11-11,2025-12-06,1203226,1038654.27,3971085,130119,2734,6543521.9,6.3,Completed
136,Christmas Sale 2025 - Affiliate - 136,8,Product Launch,2025-10-12,2025-12-15,848880,795023.66,4366715,177519,9126,4563435.81,5.74,Completed
137,Fashion Carnival 2024 - Direct - 137,10,Customer Acquisition,2024-05-16,2024-06-05,1841440,1719431.3,8443811,332167,17135,10247810.55,5.96,Completed
138,Winter Offers 2025 - Facebook Ads - 138,2,Festival Sale,2025-04-13,2025-05-02,1957637,1394956.89,4843486,160021,11114,6263356.44,4.49,Completed
139,Winter Campaign 2024 - LinkedIn - 139,9,Flash Sale,2024-02-07,2024-03-17,672976,496213.81,2664328,122910,7026,3185692.66,6.42,Completed
140,Back to School Campaign 2024 - Google Ads - 140,1,Retargeting,2024-12-13,2025-01-20,1772040,1516481.28,5739754,232160,5559,7294274.96,4.81,Completed
141,Monsoon Campaign 2025 - Email - 141,5,Email Promotion,2025-07-12,2025-09-02,1486048,1172034.15,5852421,234788,6652,4617814.55,3.94,Completed
142,Grocery Bonanza 2024 - Instagram - 142,3,Retargeting,2024-02-13,2024-04-13,1441064,1432429.41,4928826,86877,4506,5013502.93,3.5,Completed
143,Kids Sale 2024 - Email - 143,5,Loyalty Campaign,2024-02-01,2024-03-05,364723,262662.57,1009725,28092,1099,1213501.07,4.62,Completed
144,Electronics Drive 2024 - Direct - 144,10,Customer Acquisition,2024-06-06,2024-08-17,1700304,1229431.38,8491420,236428,8445,3725177.08,3.03,Completed
145,Home Promotion 2024 - Referral - 145,7,Email Promotion,2024-01-27,2024-03-05,346962,270121.37,1618926,49570,3460,829272.61,3.07,Completed
146,Monsoon Drive 2024 - Email - 146,5,Product Launch,2024-07-23,2024-08-22,462086,448040.3,2238858,40462,2188,2755447.85,6.15,Completed
147,Premium Promotion 2025 - Direct - 147,10,Product Launch,2025-11-14,2026-01-12,708933,685821.43,2509912,100178,6648,3435965.36,5.01,Completed
148,Republic Day Carnival 2025 - Email - 148,5,App Install,2025-06-04,2025-07-17,596471,558960.08,4481319,154115,5925,3309043.67,5.92,Completed
149,Home Drive 2024 - Affiliate - 149,8,Customer Acquisition,2024-05-12,2024-06-07,1202463,989913.88,5110603,179492,4714,3207320.97,3.24,Completed
150,Electronics Carnival 2025 - Affiliate - 150,8,App Install,2025-04-05,2025-06-18,1941215,1841661.96,8400415,298823,17448,4070072.93,2.21,Completed
151,New Year Carnival 2024 - Referral - 151,7,Customer Acquisition,2024-02-26,2024-03-27,439669,350327.48,1414437,38346,2570,2249102.42,6.42,Completed
152,Premium Bonanza 2024 - Organic Search - 152,6,Loyalty Campaign,2024-09-13,2024-10-23,362501,321722.07,1395169,25489,1326,1528179.83,4.75,Completed
153,End of Season Campaign 2024 - Instagram - 153,3,Loyalty Campaign,2024-06-06,2024-07-12,1866913,1824308.02,14317846,647629,15582,12259349.89,6.72,Completed
154,Grocery Week 2024 - YouTube - 154,4,Seasonal Sale,2024-09-28,2024-11-08,1440061,1021126.76,3646628,124332,6477,3226760.56,3.16,Completed
155,Winter Carnival 2025 - Affiliate - 155,8,Product Launch,2025-02-19,2025-04-13,1021919,842762.83,4139314,111375,3027,5258840.06,6.24,Completed
156,Electronics Promotion 2024 - Google Ads - 156,1,Brand Awareness,2024-12-19,2025-02-23,1277867,935213.58,5719512,110319,4686,2122934.83,2.27,Completed
157,Grocery Offers 2024 - YouTube - 157,4,Retargeting,2024-10-24,2024-12-27,1914681,1858567.92,6975925,332621,18645,4720762.52,2.54,Completed
158,New Year Drive 2025 - Affiliate - 158,8,Brand Awareness,2025-05-25,2025-08-13,148604,108037.3,566281,17556,562,508855.68,4.71,Completed
159,Back to School Bonanza 2024 - Google Ads - 159,1,Flash Sale,2024-02-21,2024-04-12,1225522,860871.88,6177790,121626,4040,3021660.3,3.51,Completed
160,Smart Shopping Promotion 2025 - Affiliate - 160,8,Loyalty Campaign,2025-01-09,2025-01-29,508221,411027.36,2390412,68179,2898,1857843.67,4.52,Completed
161,Mega Launch 2025 - Instagram - 161,3,App Install,2025-11-27,2025-12-27,882653,828342.63,4575584,219002,12646,2145407.41,2.59,Completed
162,Winter Carnival 2025 - Affiliate - 162,8,Product Launch,2025-02-15,2025-05-05,1596510,1277067.84,6221285,192826,9701,5542474.43,4.34,Paused
163,End of Season Bonanza 2025 - Facebook Ads - 163,2,Brand Awareness,2025-09-19,2025-11-13,1345130,1077330.81,4003576,134647,7464,3393592.05,3.15,Completed
164,Grocery Week 2025 - Referral - 164,7,Loyalty Campaign,2025-01-12,2025-03-10,745247,699806.64,2792988,109154,2328,2876205.29,4.11,Completed
165,Smart Shopping Drive 2025 - Google Ads - 165,1,Seasonal Sale,2025-08-14,2025-09-27,457589,392277.18,1570283,66126,2579,2361508.62,6.02,Completed
166,Mega Offers 2024 - Email - 166,5,Loyalty Campaign,2024-02-02,2024-04-30,139714,116285.58,595175,17530,529,495376.57,4.26,Completed
167,Big Savings Offers 2025 - YouTube - 167,4,App Install,2025-04-27,2025-05-19,1276264,1017839.51,4255167,142087,5070,2493706.8,2.45,Completed
168,Christmas Week 2024 - Instagram - 168,3,Festival Sale,2024-12-16,2025-03-10,1115399,845114.68,5141430,177549,5547,5789035.56,6.85,Completed
169,Back to School Campaign 2024 - Email - 169,5,App Install,2024-10-22,2024-12-02,1106220,890109.91,3089950,132370,4457,1931538.5,2.17,Completed
170,Super Bonanza 2025 - Email - 170,5,Email Promotion,2025-01-23,2025-03-29,188219,147994.55,595442,16150,680,430664.14,2.91,Completed
171,Christmas Promotion 2024 - YouTube - 171,4,App Install,2024-08-07,2024-09-16,1559977,1219100.87,8729013,357288,11420,2169999.55,1.78,Completed
172,Grocery Campaign 2024 - Organic Search - 172,6,Retargeting,2024-08-19,2024-10-02,1604408,1350464.18,5566294,110275,7523,9291193.56,6.88,Completed
173,Republic Day Bonanza 2025 - Direct - 173,10,Brand Awareness,2025-02-20,2025-05-06,773537,607709.7,4651458,194921,10255,1689432.97,2.78,Completed
174,Weekend Sale 2024 - Google Ads - 174,1,Brand Awareness,2024-06-28,2024-09-04,1853645,1518317.6,7258804,346835,23621,10005712.98,6.59,Completed
175,Mega Campaign 2024 - Organic Search - 175,6,App Install,2024-01-10,2024-03-03,696769,582711.21,2475027,82544,5321,1305273.11,2.24,Completed
176,Mega Campaign 2025 - YouTube - 176,4,Festival Sale,2025-04-24,2025-06-12,440775,405220.22,1712019,68739,1423,1357487.74,3.35,Completed
