attribution_id,order_id,campaign_id,attribution_method
270,958,282,Last-Touch
271,965,201,Last-Touch
272,970,300,Last-Touch
273,971,70,Last-Touch
274,972,239,Last-Touch
275,976,291,Last-Touch
276,979,209,Last-Touch
277,985,119,Last-Touch
278,988,371,Last-Touch
279,1000,189,Last-Touch
280,1001,284,Last-Touch
281,1003,3,Last-Touch
282,1011,362,Last-Touch
283,1012,411,Last-Touch
284,1018,23,Last-Touch
285,1022,245,Last-Touch
286,1025,233,Last-Touch
287,1028,359,Last-Touch
288,1033,352,Last-Touch
289,1034,395,Last-Touch
290,1035,487,Last-Touch
291,1039,128,Last-Touch
292,1041,372,Last-Touch
293,1043,232,Last-Touch
294,1044,388,Last-Touch
295,1050,353,Last-Touch
296,1052,398,Last-Touch
297,1059,8,Last-Touch
298,1060,470,Last-Touch
299,1065,28,Last-Touch
300,1070,112,Last-Touch
301,1071,389,Last-Touch
302,1073,159,Last-Touch
303,1074,131,Last-Touch
304,1084,171,Last-Touch
305,1090,40,Last-Touch
306,1099,32,Last-Touch
307,1103,369,Last-Touch
308,1108,471,Last-Touch
309,1109,419,Last-Touch
310,1119,336,Last-Touch
311,1120,378,Last-Touch
312,1125,342,Last-Touch
313,1128,181,Last-Touch
314,1129,5,Last-Touch
315,1130,317,Last-Touch
316,1132,162,Last-Touch
317,1133,69,Last-Touch
318,1139,416,Last-Touch
319,1161,155,Last-Touch
320,1165,399,Last-Touch
321,1167,139,Last-Touch
322,1168,391,Last-Touch
323,1172,169,Last-Touch
324,1174,135,Last-Touch
325,1176,19,Last-Touch
326,1178,278,Last-Touch
327,1179,449,Last-Touch
328,1180,70,Last-Touch
329,1182,341,Last-Touch
330,1183,344,Last-Touch
331,1185,414,Last-Touch
332,1186,326,Last-Touch
333,1188,440,Last-Touch
334,1189,182,Last-Touch
335,1192,346,Last-Touch
336,1194,124,Last-Touch
337,1197,316,Last-Touch
338,1198,38,Last-Touch
339,1200,333,Last-Touch
340,1206,489,Last-Touch
341,1208,311,Last-Touch
342,1210,107,Last-Touch
343,1220,49,Last-Touch
344,1225,11,Last-Touch
345,1226,27,Last-Touch
346,1227,38,Last-Touch
347,1230,42,Last-Touch
348,1231,342,Last-Touch
349,1234,20,Last-Touch
350,1239,40,Last-Touch
351,1247,204,Last-Touch
352,1250,462,Last-Touch
353,1251,128,Last-Touch
354,1253,89,Last-Touch
355,1257,38,Last-Touch
356,1258,272,Last-Touch
357,1259,391,Last-Touch
358,1262,460,Last-Touch
359,1263,6,Last-Touch
360,1264,333,Last-Touch
361,1267,129,Last-Touch
362,1268,197,Last-Touch
363,1271,434,Last-Touch
364,1277,385,Last-Touch
365,1281,320,Last-Touch
366,1287,498,Last-Touch
367,1293,306,Last-Touch
368,1296,424,Last-Touch
369,1306,241,Last-Touch
370,1309,262,Last-Touch
371,1319,445,Last-Touch
372,1330,284,Last-Touch
373,1339,431,Last-Touch
374,1344,252,Last-Touch
375,1348,459,Last-Touch
376,1355,310,Last-Touch
377,1359,334,Last-Touch
378,1362,487,Last-Touch
379,1363,306,Last-Touch
380,1367,61,Last-Touch
381,1370,469,Last-Touch
382,1372,496,Last-Touch
383,1373,370,Last-Touch
384,1375,218,Last-Touch
385,1377,415,Last-Touch
386,1379,119,Last-Touch
387,1383,431,Last-Touch
388,1385,157,Last-Touch
389,1387,415,Last-Touch
390,1396,195,Last-Touch
391,1397,262,Last-Touch
392,1411,63,Last-Touch
393,1413,308,Last-Touch
394,1414,231,Last-Touch
395,1418,141,Last-Touch
396,1423,386,Last-Touch
397,1424,53,Last-Touch
398,1425,340,Last-Touch
399,1435,342,Last-Touch
400,1440,468,Last-Touch
401,1454,38,Last-Touch
402,1460,443,Last-Touch
403,1463,174,Last-Touch
404,1465,286,Last-Touch
405,1469,436,Last-Touch
406,1470,491,Last-Touch
407,1482,382,Last-Touch
408,1484,53,Last-Touch
409,1485,86,Last-Touch
410,1486,467,Last-Touch
411,1487,56,Last-Touch
412,1488,309,Last-Touch
413,1489,153,Last-Touch
414,1496,454,Last-Touch
415,1500,149,Last-Touch
416,1503,356,Last-Touch
417,1510,7,Last-Touch
418,1511,282,Last-Touch
419,1519,55,Last-Touch
420,1520,308,Last-Touch
421,1526,373,Last-Touch
422,1529,141,Last-Touch
423,1536,238,Last-Touch
424,1537,185,Last-Touch
425,1542,134,Last-Touch
426,1546,408,Last-Touch
427,1548,311,Last-Touch
428,1555,218,Last-Touch
429,1556,487,Last-Touch
430,1559,70,Last-Touch
431,1561,460,Last-Touch
432,1562,389,Last-Touch
433,1570,289,Last-Touch
434,1575,342,Last-Touch
435,1577,305,Last-Touch
436,1578,15,Last-Touch
437,1596,30,Last-Touch
438,1600,336,Last-Touch
439,1603,40,Last-Touch
440,1609,216,Last-Touch
441,1611,425,Last-Touch
442,1614,428,Last-Touch
443,1621,122,Last-Touch
444,1624,338,Last-Touch
445,1628,6,Last-Touch
446,1630,459,Last-Touch
447,1634,378,Last-Touch
448,1639,70,Last-Touch
449,1640,70,Last-Touch
450,1642,333,Last-Touch
451,1645,233,Last-Touch
452,1646,409,Last-Touch
453,1651,19,Last-Touch
454,1661,13,Last-Touch
455,1665,440,Last-Touch
456,1667,218,Last-Touch
457,1669,112,Last-Touch
458,1672,18,Last-Touch
459,1683,164,Last-Touch
460,1686,6,Last-Touch
461,1691,409,Last-Touch
462,1692,388,Last-Touch
463,1694,407,Last-Touch
464,1696,207,Last-Touch
465,1700,324,Last-Touch
466,1703,150,Last-Touch
467,1710,467,Last-Touch
468,1712,146,Last-Touch
469,1725,410,Last-Touch
470,1728,378,Last-Touch
471,1732,121,Last-Touch
472,1735,278,Last-Touch
473,1740,278,Last-Touch
474,1742,338,Last-Touch
475,1747,355,Last-Touch
476,1750,119,Last-Touch
477,1759,200,Last-Touch
478,1763,212,Last-Touch
479,1764,405,Last-Touch
480,1767,119,Last-Touch
481,1770,70,Last-Touch
482,1771,78,Last-Touch
483,1775,277,Last-Touch
484,1778,233,Last-Touch
485,1788,351,Last-Touch
486,1791,481,Last-Touch
487,1793,427,Last-Touch
488,1794,468,Last-Touch
489,1795,49,Last-Touch
490,1796,74,Last-Touch
491,1798,189,Last-Touch
492,1800,75,Last-Touch
493,1802,355,Last-Touch
494,1809,409,Last-Touch
495,1811,1,Last-Touch
496,1815,362,Last-Touch
497,1822,264,Last-Touch
498,1823,130,Last-Touch
499,1826,210,Last-Touch
500,1833,391,Last-Touch
501,1836,169,Last-Touch
502,1838,60,Last-Touch
503,1840,297,Last-Touch
504,1841,310,Last-Touch
505,1849,431,Last-Touch
506,1859,306,Last-Touch
507,1863,499,Last-Touch
508,1876,97,Last-Touch
509,1877,113,Last-Touch
510,1881,485,Last-Touch
511,1884,102,Last-Touch
512,1887,215,Last-Touch
513,1888,367,Last-Touch
514,1889,353,Last-Touch
515,1894,106,Last-Touch
516,1896,202,Last-Touch
517,1897,27,Last-Touch
518,1899,128,Last-Touch
519,1901,262,Last-Touch
520,1906,119,Last-Touch
521,1907,84,Last-Touch
522,1914,428,Last-Touch
523,1919,354,Last-Touch
524,1922,17,Last-Touch
525,1924,429,Last-Touch
526,1927,379,Last-Touch
527,1929,144,Last-Touch
528,1937,83,Last-Touch
529,1948,402,Last-Touch
530,1954,410,Last-Touch
531,1957,164,Last-Touch
532,1961,74,Last-Touch
533,1978,311,Last-Touch
534,1981,282,Last-Touch
535,1986,452,Last-Touch
536,1988,19,Last-Touch
537,1990,362,Last-Touch
538,1996,461,Last-Touch
539,2000,278,Last-Touch
540,2002,364,Last-Touch
541,2004,118,Last-Touch
542,2006,413,Last-Touch
543,2012,60,Last-Touch
544,2014,446,Last-Touch
545,2015,23,Last-Touch
546,2019,146,Last-Touch
547,2020,42,Last-Touch
548,2023,126,Last-Touch
549,2032,40,Last-Touch
550,2033,429,Last-Touch
551,2035,118,Last-Touch
552,2038,19,Last-Touch
553,2039,329,Last-Touch
554,2041,442,Last-Touch
555,2043,234,Last-Touch
556,2048,154,Last-Touch
557,2053,200,Last-Touch
558,2057,126,Last-Touch
559,2068,480,Last-Touch
560,2076,470,Last-Touch
561,2078,24,Last-Touch
562,2079,281,Last-Touch
563,2081,323,Last-Touch
564,2083,70,Last-Touch
565,2084,434,Last-Touch
566,2091,92,Last-Touch
567,2094,16,Last-Touch
568,2095,244,Last-Touch
569,2099,38,Last-Touch
570,2101,461,Last-Touch
571,2103,379,Last-Touch
572,2106,257,Last-Touch
573,2110,337,Last-Touch
574,2112,417,Last-Touch
575,2121,226,Last-Touch
576,2122,13,Last-Touch
577,2124,327,Last-Touch
578,2126,198,Last-Touch
579,2128,207,Last-Touch
580,2130,457,Last-Touch
581,2131,272,Last-Touch
582,2142,184,Last-Touch
583,2144,378,Last-Touch
584,2148,415,Last-Touch
585,2155,344,Last-Touch
586,2162,470,Last-Touch
587,2165,391,Last-Touch
588,2169,254,Last-Touch
589,2170,89,Last-Touch
590,2176,190,Last-Touch
591,2177,395,Last-Touch
592,2178,498,Last-Touch
593,2179,118,Last-Touch
594,2180,403,Last-Touch
595,2181,342,Last-Touch
596,2182,115,Last-Touch
597,2190,40,Last-Touch
598,2202,240,Last-Touch
599,2204,369,Last-Touch
600,2206,483,Last-Touch
601,2208,69,Last-Touch
602,2212,110,Last-Touch
603,2216,143,Last-Touch
604,2220,103,Last-Touch
605,2222,384,Last-Touch
606,2225,189,Last-Touch
607,2239,329,Last-Touch
608,2240,6,Last-Touch
609,2241,210,Last-Touch
610,2244,402,Last-Touch
611,2254,133,Last-Touch
612,2258,452,Last-Touch
613,2264,115,Last-Touch
614,2272,247,Last-Touch
615,2277,323,Last-Touch
616,2282,227,Last-Touch
617,2284,57,Last-Touch
618,2286,335,Last-Touch
619,2291,352,Last-Touch
620,2292,310,Last-Touch
621,2298,35,Last-Touch
622,2303,362,Last-Touch
623,2306,389,Last-Touch
624,2313,240,Last-Touch
625,2314,262,Last-Touch
626,2323,176,Last-Touch
627,2324,487,Last-Touch
628,2329,378,Last-Touch
629,2330,119,Last-Touch
630,2332,239,Last-Touch
631,2338,353,Last-Touch
632,2342,444,Last-Touch
633,2354,84,Last-Touch
634,2355,350,Last-Touch
635,2356,308,Last-Touch
636,2358,27,Last-Touch
637,2359,489,Last-Touch
638,2363,306,Last-Touch
639,2364,163,Last-Touch
640,2368,398,Last-Touch
641,2384,157,Last-Touch
642,2386,150,Last-Touch
643,2390,352,Last-Touch
644,2399,362,Last-Touch
645,2402,96,Last-Touch
646,2404,328,Last-Touch
647,2412,470,Last-Touch
648,2416,51,Last-Touch
649,2419,231,Last-Touch
650,2422,189,Last-Touch
651,2425,493,Last-Touch
652,2428,7,Last-Touch
653,2434,241,Last-Touch
654,2435,336,Last-Touch
655,2437,52,Last-Touch
656,2442,113,Last-Touch
657,2450,91,Last-Touch
658,2457,106,Last-Touch
659,2478,96,Last-Touch
660,2480,497,Last-Touch
661,2482,431,Last-Touch
662,2488,448,Last-Touch
663,2495,356,Last-Touch
664,2496,184,Last-Touch
665,2499,118,Last-Touch
666,2500,477,Last-Touch
667,2510,267,Last-Touch
668,2515,223,Last-Touch
669,2517,347,Last-Touch
670,2518,434,Last-Touch
671,2519,310,Last-Touch
672,2520,389,Last-Touch
673,2521,108,Last-Touch
674,2522,405,Last-Touch
675,2523,362,Last-Touch
676,2534,144,Last-Touch
677,2543,392,Last-Touch
678,2548,416,Last-Touch
679,2552,38,Last-Touch
680,2553,157,Last-Touch
681,2556,241,Last-Touch
682,2559,391,Last-Touch
683,2564,363,Last-Touch
684,2565,309,Last-Touch
685,2567,144,Last-Touch
686,2570,55,Last-Touch
687,2572,379,Last-Touch
688,2574,235,Last-Touch
689,2575,274,Last-Touch
690,2584,355,Last-Touch
691,2585,356,Last-Touch
692,2592,217,Last-Touch
693,2593,392,Last-Touch
694,2602,15,Last-Touch
695,2606,189,Last-Touch
696,2607,277,Last-Touch
697,2610,375,Last-Touch
698,2614,154,Last-Touch
699,2619,402,Last-Touch
700,2621,208,Last-Touch
701,2623,391,Last-Touch
702,2627,466,Last-Touch
703,2632,248,Last-Touch
704,2633,191,Last-Touch
705,2637,358,Last-Touch
706,2639,168,Last-Touch
707,2648,291,Last-Touch
708,2651,279,Last-Touch
709,2656,435,Last-Touch
710,2657,229,Last-Touch
711,2660,226,Last-Touch
712,2678,19,Last-Touch
713,2680,449,Last-Touch
714,2691,282,Last-Touch
715,2695,153,Last-Touch
716,2697,17,Last-Touch
717,2700,383,Last-Touch
718,2702,363,Last-Touch
719,2704,114,Last-Touch
720,2706,203,Last-Touch
721,2711,106,Last-Touch
722,2719,470,Last-Touch
723,2722,197,Last-Touch
724,2727,70,Last-Touch
725,2730,72,Last-Touch
726,2742,48,Last-Touch
727,2743,353,Last-Touch
728,2744,85,Last-Touch
729,2745,418,Last-Touch
730,2747,413,Last-Touch
731,2749,150,Last-Touch
732,2764,344,Last-Touch
733,2765,343,Last-Touch
734,2766,444,Last-Touch
735,2768,410,Last-Touch
736,2771,416,Last-Touch
737,2773,64,Last-Touch
738,2774,450,Last-Touch
739,2776,231,Last-Touch
740,2777,289,Last-Touch
741,2783,37,Last-Touch
742,2787,241,Last-Touch
743,2788,389,Last-Touch
744,2792,404,Last-Touch
745,2793,344,Last-Touch
746,2798,155,Last-Touch
747,2801,30,Last-Touch
748,2803,389,Last-Touch
749,2808,104,Last-Touch
750,2810,65,Last-Touch
751,2812,30,Last-Touch
752,2817,334,Last-Touch
753,2826,100,Last-Touch
754,2828,485,Last-Touch
755,2835,318,Last-Touch
756,2845,254,Last-Touch
757,2855,344,Last-Touch
758,2859,331,Last-Touch
759,2862,30,Last-Touch
760,2863,198,Last-Touch
761,2865,118,Last-Touch
762,2867,235,Last-Touch
763,2868,347,Last-Touch
764,2874,492,Last-Touch
765,2878,352,Last-Touch
766,2879,75,Last-Touch
767,2880,353,Last-Touch
768,2882,313,Last-Touch
769,2883,313,Last-Touch
770,2891,265,Last-Touch
771,2894,338,Last-Touch
772,2908,248,Last-Touch
773,2910,257,Last-Touch
774,2914,154,Last-Touch
775,2917,391,Last-Touch
776,2920,184,Last-Touch
777,2921,87,Last-Touch
778,2924,498,Last-Touch
779,2932,114,Last-Touch
780,2934,434,Last-Touch
781,2935,494,Last-Touch
782,2939,174,Last-Touch
783,2944,500,Last-Touch
784,2946,197,Last-Touch
785,2952,421,Last-Touch
786,2953,127,Last-Touch
787,2959,322,Last-Touch
788,2961,275,Last-Touch
789,2963,328,Last-Touch
790,2964,369,Last-Touch
791,2967,339,Last-Touch
792,2968,371,Last-Touch
793,2970,470,Last-Touch
794,2973,232,Last-Touch
795,2974,142,Last-Touch
796,2976,431,Last-Touch
797,2978,48,Last-Touch
798,2979,255,Last-Touch
799,2981,338,Last-Touch
800,2984,389,Last-Touch
801,2987,278,Last-Touch
802,2994,336,Last-Touch
803,2998,79,Last-Touch
804,2999,306,Last-Touch
805,3001,291,Last-Touch
806,3002,329,Last-Touch
807,3005,286,Last-Touch
808,3010,219,Last-Touch
809,3011,31,Last-Touch
810,3019,295,Last-Touch
811,3021,460,Last-Touch
812,3029,458,Last-Touch
813,3031,239,Last-Touch
814,3032,134,Last-Touch
815,3035,144,Last-Touch
816,3037,215,Last-Touch
817,3041,265,Last-Touch
818,3042,172,Last-Touch
819,3047,386,Last-Touch
820,3048,189,Last-Touch
821,3050,251,Last-Touch
822,3053,172,Last-Touch
823,3062,405,Last-Touch
824,3067,456,Last-Touch
825,3082,493,Last-Touch
826,3085,69,Last-Touch
827,3087,121,Last-Touch
828,3095,19,Last-Touch
829,3099,413,Last-Touch
830,3100,52,Last-Touch
831,3101,371,Last-Touch
832,3106,354,Last-Touch
833,3108,350,Last-Touch
834,3109,350,Last-Touch
835,3113,448,Last-Touch
836,3114,280,Last-Touch
837,3121,335,Last-Touch
838,3127,446,Last-Touch
839,3131,470,Last-Touch
840,3132,340,Last-Touch
841,3134,384,Last-Touch
842,3135,75,Last-Touch
843,3140,315,Last-Touch
844,3149,462,Last-Touch
845,3153,500,Last-Touch
846,3179,11,Last-Touch
847,3181,168,Last-Touch
848,3191,303,Last-Touch
849,3192,312,Last-Touch
850,3193,481,Last-Touch
851,3204,67,Last-Touch
852,3218,425,Last-Touch
853,3219,248,Last-Touch
854,3221,402,Last-Touch
855,3224,488,Last-Touch
856,3225,26,Last-Touch
857,3226,378,Last-Touch
858,3228,53,Last-Touch
859,3230,189,Last-Touch
860,3233,202,Last-Touch
861,3236,110,Last-Touch
862,3237,395,Last-Touch
863,3239,309,Last-Touch
864,3241,455,Last-Touch
865,3243,268,Last-Touch
866,3244,448,Last-Touch
867,3248,452,Last-Touch
868,3251,329,Last-Touch
869,3270,331,Last-Touch
870,3271,46,Last-Touch
871,3286,59,Last-Touch
872,3288,114,Last-Touch
873,3289,251,Last-Touch
874,3290,308,Last-Touch
875,3292,333,Last-Touch
876,3305,410,Last-Touch
877,3310,78,Last-Touch
878,3311,500,Last-Touch
879,3312,362,Last-Touch
880,3318,448,Last-Touch
881,3336,74,Last-Touch
882,3340,353,Last-Touch
883,3342,309,Last-Touch
884,3344,389,Last-Touch
885,3356,391,Last-Touch
886,3364,323,Last-Touch
887,3366,334,Last-Touch
888,3370,471,Last-Touch
889,3373,36,Last-Touch
890,3374,346,Last-Touch
891,3376,261,Last-Touch
892,3384,398,Last-Touch
893,3386,123,Last-Touch
894,3388,127,Last-Touch
895,3389,13,Last-Touch
896,3390,306,Last-Touch
897,3392,1,Last-Touch
898,3395,49,Last-Touch
899,3397,136,Last-Touch
900,3399,75,Last-Touch
901,3403,344,Last-Touch
902,3407,306,Last-Touch
903,3408,364,Last-Touch
904,3410,55,Last-Touch
905,3419,108,Last-Touch
906,3425,89,Last-Touch
907,3439,89,Last-Touch
908,3441,378,Last-Touch
909,3442,111,Last-Touch
910,3448,274,Last-Touch
911,3449,54,Last-Touch
912,3450,272,Last-Touch
913,3451,487,Last-Touch
914,3453,69,Last-Touch
915,3454,342,Last-Touch
916,3457,424,Last-Touch
917,3462,316,Last-Touch
918,3464,119,Last-Touch
919,3466,60,Last-Touch
920,3469,85,Last-Touch
921,3473,38,Last-Touch
922,3475,90,Last-Touch
923,3479,455,Last-Touch
924,3487,483,Last-Touch
925,3492,260,Last-Touch
926,3494,361,Last-Touch
927,3499,284,Last-Touch
928,3500,155,Last-Touch
929,3506,378,Last-Touch
930,3508,442,Last-Touch
931,3516,270,Last-Touch
932,3519,478,Last-Touch
933,3520,389,Last-Touch
934,3524,432,Last-Touch
935,3538,184,Last-Touch
936,3539,102,Last-Touch
937,3545,130,Last-Touch
938,3547,38,Last-Touch
939,3550,281,Last-Touch
940,3551,431,Last-Touch
941,3553,477,Last-Touch
942,3556,16,Last-Touch
943,3560,221,Last-Touch
944,3563,89,Last-Touch
945,3564,272,Last-Touch
946,3568,77,Last-Touch
947,3570,118,Last-Touch
948,3571,38,Last-Touch
949,3573,142,Last-Touch
950,3577,450,Last-Touch
951,3578,450,Last-Touch
952,3580,119,Last-Touch
953,3584,231,Last-Touch
954,3590,189,Last-Touch
955,3593,175,Last-Touch
956,3595,157,Last-Touch
957,3597,389,Last-Touch
958,3598,279,Last-Touch
959,3605,318,Last-Touch
960,3619,121,Last-Touch
961,3620,49,Last-Touch
962,3622,390,Last-Touch
963,3624,460,Last-Touch
964,3625,60,Last-Touch
965,3632,229,Last-Touch
966,3634,48,Last-Touch
967,3640,213,Last-Touch
968,3656,120,Last-Touch
969,3659,308,Last-Touch
970,3661,278,Last-Touch
971,3663,232,Last-Touch
972,3664,375,Last-Touch
973,3668,446,Last-Touch
974,3669,206,Last-Touch
975,3670,46,Last-Touch
976,3674,322,Last-Touch
977,3679,392,Last-Touch
978,3686,383,Last-Touch
979,3687,329,Last-Touch
980,3692,278,Last-Touch
981,3698,92,Last-Touch
982,3708,348,Last-Touch
983,3709,198,Last-Touch
984,3717,401,Last-Touch
985,3718,413,Last-Touch
986,3720,421,Last-Touch
987,3726,86,Last-Touch
988,3730,366,Last-Touch
989,3733,380,Last-Touch
990,3737,453,Last-Touch
991,3739,112,Last-Touch
992,3742,52,Last-Touch
993,3746,337,Last-Touch
994,3751,496,Last-Touch
995,3753,455,Last-Touch
996,3755,189,Last-Touch
997,3760,59,Last-Touch
998,3761,460,Last-Touch
999,3768,337,Last-Touch
1000,3772,378,Last-Touch
1001,3778,403,Last-Touch
1002,3784,224,Last-Touch
1003,3787,106,Last-Touch
1004,3788,81,Last-Touch
1005,3789,459,Last-Touch
1006,3790,360,Last-Touch
1007,3797,3,Last-Touch
1008,3799,75,Last-Touch
1009,3803,153,Last-Touch
1010,3804,467,Last-Touch
1011,3805,80,Last-Touch
1012,3807,316,Last-Touch
1013,3808,455,Last-Touch
1014,3813,496,Last-Touch
1015,3814,435,Last-Touch
