campaign_id,campaign_name,channel_name,campaign_type,campaign_status,start_date,end_date,budget,operational_spend,budget_variance,budget_utilization_pct,impressions,clicks,ctr_pct,operational_cpc,self_reported_conversions,self_reported_revenue,self_reported_conversion_rate_pct,self_reported_roas
149,"Home Drive 2024 - Affiliate - 149",Affiliate,"Customer Acquisition",Completed,2024-05-12,2024-06-07,1202463.00,989913.88,212549.12,82.32,5110603,179492,3.51,5.52,4714,3207320.97,2.63,3.24
150,"Electronics Carnival 2025 - Affiliate - 150",Affiliate,"App Install",Completed,2025-04-05,2025-06-18,1941215.00,1841661.96,99553.04,94.87,8400415,298823,3.56,6.16,17448,4070072.93,5.84,2.21
155,"Winter Carnival 2025 - Affiliate - 155",Affiliate,"Product Launch",Completed,2025-02-19,2025-04-13,1021919.00,842762.83,179156.17,82.47,4139314,111375,2.69,7.57,3027,5258840.06,2.72,6.24
158,"New Year Drive 2025 - Affiliate - 158",Affiliate,"Brand Awareness",Completed,2025-05-25,2025-08-13,148604.00,108037.30,40566.70,72.70,566281,17556,3.10,6.15,562,508855.68,3.20,4.71
160,"Smart Shopping Promotion 2025 - Affiliate - 160",Affiliate,"Loyalty Campaign",Completed,2025-01-09,2025-01-29,508221.00,411027.36,97193.64,80.88,2390412,68179,2.85,6.03,2898,1857843.67,4.25,4.52
162,"Winter Carnival 2025 - Affiliate - 162",Affiliate,"Product Launch",Paused,2025-02-15,2025-05-05,1596510.00,1277067.84,319442.16,79.99,6221285,192826,3.10,6.62,9701,5542474.43,5.03,4.34
181,"End of Season Festival 2025 - Affiliate - 181",Affiliate,"App Install",Completed,2025-11-11,2025-12-23,1202067.00,1002553.20,199513.80,83.40,4064219,72073,1.77,13.91,3474,1844697.89,4.82,1.84
192,"Weekend Promotion 2025 - Affiliate - 192",Affiliate,"Brand Awareness",Completed,2025-02-22,2025-03-28,1093040.00,844144.36,248895.64,77.23,5257434,236657,4.50,3.57,6441,3418784.66,2.72,4.05
195,"Republic Day Campaign 2025 - Affiliate - 195",Affiliate,"Email Promotion",Completed,2025-11-18,2026-02-12,735831.00,726343.14,9487.86,98.71,5916770,282825,4.78,2.57,19261,1561637.75,6.81,2.15
205,"Winter Offers 2025 - Affiliate - 205",Affiliate,"Festival Sale",Completed,2025-08-02,2025-08-29,543373.00,527279.32,16093.68,97.04,2155576,75094,3.48,7.02,2519,3469497.93,3.35,6.58
211,"Kids Campaign 2024 - Affiliate - 211",Affiliate,"Flash Sale",Completed,2024-04-03,2024-04-18,1696659.00,1324971.80,371687.20,78.09,9210706,198570,2.16,6.67,8427,6028621.69,4.24,4.55
214,"Electronics Bonanza 2024 - Affiliate - 214",Affiliate,"Brand Awareness",Completed,2024-11-02,2025-01-17,617136.00,565463.10,51672.90,91.63,2702404,98863,3.66,5.72,4240,1272291.97,4.29,2.25
217,"Smart Shopping Offers 2024 - Affiliate - 217",Affiliate,"Seasonal Sale",Completed,2024-10-14,2024-12-18,1341990.00,1340888.87,1101.13,99.92,8799239,368394,4.19,3.64,7863,7374888.79,2.13,5.50
245,"Super Festival 2025 - Affiliate - 245",Affiliate,Retargeting,Completed,2025-01-26,2025-02-27,1212556.00,1053695.84,158860.16,86.90,4584127,95093,2.07,11.08,3571,2813367.89,3.76,2.67
263,"Super Offers 2024 - Affiliate - 263",Affiliate,"Product Launch",Completed,2024-03-04,2024-05-13,711688.00,553904.84,157783.16,77.83,3134690,134881,4.30,4.11,7423,3068632.81,5.50,5.54
265,"Republic Day Drive 2025 - Affiliate - 265",Affiliate,"Loyalty Campaign",Completed,2025-07-02,2025-08-31,746568.00,626373.52,120194.48,83.90,2290659,41609,1.82,15.05,2512,1985604.06,6.04,3.17
269,"Fashion Festival 2024 - Affiliate - 269",Affiliate,"Email Promotion",Completed,2024-05-11,2024-06-06,189540.00,186257.96,3282.04,98.27,1442576,68298,4.73,2.73,2845,1020693.62,4.17,5.48
270,"Weekend Campaign 2024 - Affiliate - 270",Affiliate,"Loyalty Campaign",Completed,2024-01-31,2024-04-03,550292.00,535154.16,15137.84,97.25,3157312,96646,3.06,5.54,2651,2611552.30,2.74,4.88
280,"Smart Shopping Carnival 2025 - Affiliate - 280",Affiliate,"Loyalty Campaign",Completed,2025-09-20,2025-11-19,893528.00,707716.14,185811.86,79.20,2901311,56451,1.95,12.54,3186,4755852.46,5.64,6.72
288,"End of Season Drive 2024 - Affiliate - 288",Affiliate,"Customer Acquisition",Completed,2024-03-30,2024-05-21,518748.00,378217.13,140530.87,72.91,2405172,89801,3.73,4.21,6183,1550690.23,6.89,4.10
294,"Monsoon Festival 2024 - Affiliate - 294",Affiliate,"Brand Awareness",Completed,2024-09-21,2024-11-15,913902.00,792270.11,121631.89,86.69,3611574,162455,4.50,4.88,7470,5181446.52,4.60,6.54
296,"Premium Campaign 2025 - Affiliate - 296",Affiliate,"Festival Sale",Completed,2025-07-30,2025-08-26,1941076.00,1598023.84,343052.16,82.33,8457487,270601,3.20,5.91,13651,2732620.77,5.04,1.71
309,"Diwali Promotion 2024 - Affiliate - 309",Affiliate,"App Install",Completed,2024-07-13,2024-09-09,1438640.00,1345803.29,92836.71,93.55,4752553,183046,3.85,7.35,8304,8276690.23,4.54,6.15
324,"New Year Bonanza 2024 - Affiliate - 324",Affiliate,"Product Launch",Completed,2024-09-19,2024-11-02,1073660.00,767692.73,305967.27,71.50,2882031,131405,4.56,5.84,8227,2671570.70,6.26,3.48
331,"Christmas Sale 2025 - Affiliate - 331",Affiliate,"Loyalty Campaign",Completed,2025-05-18,2025-07-13,1163107.00,891884.35,271222.65,76.68,3782422,110124,2.91,8.10,3496,3594293.93,3.17,4.03
343,"Weekend Bonanza 2024 - Affiliate - 343",Affiliate,"Brand Awareness",Completed,2024-07-23,2024-09-10,1533173.00,1188467.11,344705.89,77.52,4384052,171726,3.92,6.92,5968,6702954.50,3.48,5.64
355,"Diwali Bonanza 2024 - Affiliate - 355",Affiliate,"App Install",Completed,2024-09-14,2024-12-09,954867.00,779562.76,175304.24,81.64,3339469,100704,3.02,7.74,2099,4053726.35,2.08,5.20
370,"Home Campaign 2025 - Affiliate - 370",Affiliate,"App Install",Completed,2025-08-06,2025-09-12,1332451.00,1193877.38,138573.62,89.60,4415481,146078,3.31,8.17,5670,7748264.20,3.88,6.49
371,"Electronics Drive 2025 - Affiliate - 371",Affiliate,"Customer Acquisition",Completed,2025-02-19,2025-04-20,1762323.00,1488516.21,273806.79,84.46,6506947,211894,3.26,7.02,5710,3587324.07,2.69,2.41
373,"Smart Shopping Carnival 2025 - Affiliate - 373",Affiliate,"App Install",Completed,2025-05-08,2025-07-23,1457400.00,1384543.84,72856.16,95.00,11162049,184286,1.65,7.51,8969,3309059.78,4.87,2.39
374,"Weekend Bonanza 2024 - Affiliate - 374",Affiliate,"Festival Sale",Completed,2024-02-10,2024-05-08,477566.00,408315.21,69250.79,85.50,2115818,103513,4.89,3.94,5370,2584635.28,5.19,6.33
384,"Big Savings Launch 2025 - Affiliate - 384",Affiliate,"Brand Awareness",Completed,2025-04-02,2025-05-07,1748531.00,1401502.42,347028.58,80.15,6396525,252003,3.94,5.56,13945,3335575.76,5.53,2.38
385,"End of Season Launch 2024 - Affiliate - 385",Affiliate,"Flash Sale",Completed,2024-04-03,2024-05-06,284844.00,204866.68,79977.32,71.92,1281068,22804,1.78,8.98,499,739568.71,2.19,3.61
395,"Premium Sale 2024 - Affiliate - 395",Affiliate,"Festival Sale",Completed,2024-03-21,2024-06-07,1878407.00,1586667.15,291739.85,84.47,6847342,220702,3.22,7.19,15287,10202269.77,6.93,6.43
397,"Weekend Drive 2024 - Affiliate - 397",Affiliate,"Loyalty Campaign",Completed,2024-02-03,2024-04-22,352430.00,320525.70,31904.30,90.95,1580402,61829,3.91,5.18,1273,852598.36,2.06,2.66
409,"Fashion Drive 2024 - Affiliate - 409",Affiliate,"App Install",Completed,2024-01-30,2024-02-18,1079775.00,1071670.71,8104.29,99.25,4931639,120995,2.45,8.86,5111,7319510.95,4.22,6.83
415,"Summer Carnival 2024 - Affiliate - 415",Affiliate,"Email Promotion",Completed,2024-10-05,2024-12-21,204085.00,202230.86,1854.14,99.09,1631110,79976,4.90,2.53,2727,442885.58,3.41,2.19
419,"New Year Campaign 2025 - Affiliate - 419",Affiliate,"Festival Sale",Completed,2025-06-17,2025-07-28,432632.00,384501.38,48130.62,88.87,3013488,144074,4.78,2.67,6634,1111208.99,4.60,2.89
421,"Back to School Week 2024 - Affiliate - 421",Affiliate,"Brand Awareness",Completed,2024-01-10,2024-01-30,425041.00,344886.60,80154.40,81.14,2533948,51995,2.05,6.63,1277,1689944.34,2.46,4.90
422,"Premium Festival 2024 - Affiliate - 422",Affiliate,"Email Promotion",Completed,2024-03-02,2024-05-01,363879.00,307970.03,55908.97,84.64,1739814,60097,3.45,5.12,3139,1050177.80,5.22,3.41
426,"Premium Launch 2024 - Affiliate - 426",Affiliate,"Product Launch",Completed,2024-09-01,2024-10-27,498185.00,427054.61,71130.39,85.72,2037874,69901,3.43,6.11,3540,1396468.57,5.06,3.27
429,"Monsoon Drive 2025 - Affiliate - 429",Affiliate,"Brand Awareness",Completed,2025-11-02,2026-01-18,1779860.00,1587056.69,192803.31,89.17,8580229,351975,4.10,4.51,22709,9554081.27,6.45,6.02
435,"Diwali Offers 2024 - Affiliate - 435",Affiliate,"App Install",Paused,2024-05-18,2024-07-10,1894575.00,1505185.66,389389.34,79.45,5814352,279188,4.80,5.39,17063,9874017.93,6.11,6.56
456,"Diwali Sale 2025 - Affiliate - 456",Affiliate,"Product Launch",Completed,2025-08-03,2025-09-16,853425.00,617745.40,235679.60,72.38,2372579,46723,1.97,13.22,2911,2520401.23,6.23,4.08
465,"Fashion Week 2025 - Affiliate - 465",Affiliate,"Flash Sale",Completed,2025-01-24,2025-02-13,1927259.00,1730407.04,196851.96,89.79,11770183,534468,4.54,3.24,15469,9378806.16,2.89,5.42
492,"Smart Shopping Launch 2024 - Affiliate - 492",Affiliate,"Customer Acquisition",Completed,2024-03-08,2024-05-05,1744825.00,1734463.48,10361.52,99.41,7809450,210675,2.70,8.23,11525,4249435.53,5.47,2.45
9,"Super Promotion 2025 - Direct - 009",Direct,"Flash Sale",Completed,2025-02-12,2025-04-14,1134977.00,825437.93,309539.07,72.73,6424594,121024,1.88,6.82,6217,4837066.27,5.14,5.86
15,"Home Campaign 2025 - Direct - 015",Direct,"App Install",Completed,2025-07-06,2025-08-15,1018762.00,988081.19,30680.81,96.99,4909293,116235,2.37,8.50,2696,1600691.53,2.32,1.62
20,"Diwali Carnival 2024 - Direct - 020",Direct,"Flash Sale",Completed,2024-01-16,2024-02-11,952312.00,805362.96,146949.04,84.57,5081971,147562,2.90,5.46,3383,2883199.40,2.29,3.58
31,"Summer Carnival 2024 - Direct - 031",Direct,"Seasonal Sale",Completed,2024-06-15,2024-07-22,1644687.00,1607428.57,37258.43,97.73,6162754,181246,2.94,8.87,9695,8905154.28,5.35,5.54
40,"End of Season Festival 2024 - Direct - 040",Direct,"Seasonal Sale",Completed,2024-02-17,2024-04-03,1055076.00,869733.23,185342.77,82.43,3727037,81268,2.18,10.70,4454,3670274.23,5.48,4.22
46,"Electronics Bonanza 2025 - Direct - 046",Direct,"Loyalty Campaign",Completed,2025-08-12,2025-10-14,1680151.00,1372676.64,307474.36,81.70,4893756,216551,4.43,6.34,10158,7604628.59,4.69,5.54
55,"Premium Drive 2025 - Direct - 055",Direct,"Customer Acquisition",Completed,2025-06-18,2025-08-06,1074910.00,892898.01,182011.99,83.07,3549094,86576,2.44,10.31,5418,5419890.92,6.26,6.07
60,"Back to School Bonanza 2025 - Direct - 060",Direct,"Festival Sale",Completed,2025-07-02,2025-08-09,1619564.00,1420156.92,199407.08,87.69,5529400,198437,3.59,7.16,13697,8634554.07,6.90,6.08
87,"Super Festival 2024 - Direct - 087",Direct,Retargeting,Completed,2024-08-12,2024-09-20,1994574.00,1771655.29,222918.71,88.82,13939497,593841,4.26,2.98,12867,6218510.07,2.17,3.51
98,"Christmas Sale 2025 - Direct - 098",Direct,"App Install",Paused,2025-08-25,2025-10-20,365831.00,337484.74,28346.26,92.25,1571923,64603,4.11,5.22,2830,1950661.80,4.38,5.78
108,"Grocery Drive 2024 - Direct - 108",Direct,"Brand Awareness",Completed,2024-04-03,2024-06-24,814910.00,608919.32,205990.68,74.72,3457907,91127,2.64,6.68,6111,2910634.35,6.71,4.78
114,"Diwali Launch 2024 - Direct - 114",Direct,Retargeting,Completed,2024-03-31,2024-06-09,1334952.00,1094840.78,240111.22,82.01,8160923,371063,4.55,2.95,21258,2977966.92,5.73,2.72
122,"Mega Promotion 2024 - Direct - 122",Direct,Retargeting,Completed,2024-02-23,2024-04-20,1522664.00,1242447.02,280216.98,81.60,7513623,336646,4.48,3.69,22966,5976170.17,6.82,4.81
125,"New Year Carnival 2025 - Direct - 125",Direct,"Festival Sale",Paused,2025-06-04,2025-08-04,549194.00,440739.01,108454.99,80.25,1708899,37117,2.17,11.87,2598,1035736.67,7.00,2.35
137,"Fashion Carnival 2024 - Direct - 137",Direct,"Customer Acquisition",Completed,2024-05-16,2024-06-05,1841440.00,1719431.30,122008.70,93.37,8443811,332167,3.93,5.18,17135,10247810.55,5.16,5.96
144,"Electronics Drive 2024 - Direct - 144",Direct,"Customer Acquisition",Completed,2024-06-06,2024-08-17,1700304.00,1229431.38,470872.62,72.31,8491420,236428,2.78,5.20,8445,3725177.08,3.57,3.03
147,"Premium Promotion 2025 - Direct - 147",Direct,"Product Launch",Completed,2025-11-14,2026-01-12,708933.00,685821.43,23111.57,96.74,2509912,100178,3.99,6.85,6648,3435965.36,6.64,5.01
173,"Republic Day Bonanza 2025 - Direct - 173",Direct,"Brand Awareness",Completed,2025-02-20,2025-05-06,773537.00,607709.70,165827.30,78.56,4651458,194921,4.19,3.12,10255,1689432.97,5.26,2.78
180,"Super Drive 2025 - Direct - 180",Direct,"App Install",Completed,2025-01-11,2025-02-23,421253.00,352375.44,68877.56,83.65,1182504,33201,2.81,10.61,1829,2297487.87,5.51,6.52
183,"Big Savings Launch 2025 - Direct - 183",Direct,"Festival Sale",Completed,2025-04-01,2025-04-23,1057975.00,919563.68,138411.32,86.92,4168778,160693,3.85,5.72,5689,1489693.16,3.54,1.62
187,"Home Offers 2025 - Direct - 187",Direct,"Brand Awareness",Completed,2025-11-20,2026-02-12,619070.00,518896.79,100173.21,83.82,3507911,75759,2.16,6.85,4830,2962900.67,6.38,5.71
198,"Grocery Bonanza 2025 - Direct - 198",Direct,"Product Launch",Completed,2025-07-20,2025-10-17,419629.00,318438.63,101190.37,75.89,1972936,68939,3.49,4.62,2225,1442526.99,3.23,4.53
215,"Home Campaign 2025 - Direct - 215",Direct,"Product Launch",Completed,2025-02-09,2025-04-07,1023214.00,819001.84,204212.16,80.04,3069887,138399,4.51,5.92,9509,1842754.14,6.87,2.25
216,"Weekend Launch 2025 - Direct - 216",Direct,"Flash Sale",Completed,2025-09-09,2025-10-19,769280.00,605757.57,163522.43,78.74,2471547,79547,3.22,7.62,3881,1714293.92,4.88,2.83
251,"Monsoon Promotion 2025 - Direct - 251",Direct,Retargeting,Completed,2025-03-01,2025-05-09,1227545.00,1086149.14,141395.86,88.48,6391210,165191,2.58,6.58,7526,2845710.75,4.56,2.62
255,"Big Savings Campaign 2025 - Direct - 255",Direct,"Loyalty Campaign",Completed,2025-10-04,2025-10-28,216264.00,183799.10,32464.90,84.99,827776,23069,2.79,7.97,755,380464.14,3.27,2.07
261,"Diwali Launch 2024 - Direct - 261",Direct,"Seasonal Sale",Completed,2024-11-10,2024-12-08,1131859.00,1118679.09,13179.91,98.84,3791352,75762,2.00,14.77,2575,1946501.62,3.40,1.74
266,"Fashion Carnival 2024 - Direct - 266",Direct,Retargeting,Completed,2024-02-11,2024-03-24,291287.00,266046.17,25240.83,91.33,903959,26095,2.89,10.20,585,835384.97,2.24,3.14
276,"Republic Day Drive 2025 - Direct - 276",Direct,"App Install",Completed,2025-07-31,2025-09-02,1236917.00,980523.80,256393.20,79.27,4707752,85488,1.82,11.47,2704,2647414.26,3.16,2.70
278,"Super Festival 2024 - Direct - 278",Direct,"Loyalty Campaign",Completed,2024-05-31,2024-08-29,1875199.00,1608711.59,266487.41,85.79,8663884,151952,1.75,10.59,8391,8268777.57,5.52,5.14
283,"Mega Sale 2024 - Direct - 283",Direct,"Flash Sale",Completed,2024-03-10,2024-05-08,200972.00,163949.17,37022.83,81.58,650940,31843,4.89,5.15,2045,690226.01,6.42,4.21
285,"Monsoon Campaign 2024 - Direct - 285",Direct,"Product Launch",Completed,2024-11-22,2025-01-09,456736.00,441380.25,15355.75,96.64,2963023,52223,1.76,8.45,3503,3036696.12,6.71,6.88
307,"Christmas Bonanza 2025 - Direct - 307",Direct,"Loyalty Campaign",Completed,2025-10-17,2025-12-12,495019.00,368778.66,126240.34,74.50,1430564,66505,4.65,5.55,4008,2179481.88,6.03,5.91
319,"Christmas Promotion 2025 - Direct - 319",Direct,"Customer Acquisition",Completed,2025-01-10,2025-01-29,1406808.00,1005271.36,401536.64,71.46,3361634,128310,3.82,7.83,6759,1618486.89,5.27,1.61
330,"End of Season Sale 2024 - Direct - 330",Direct,"Customer Acquisition",Completed,2024-06-01,2024-08-26,124421.00,111110.39,13310.61,89.30,749495,33509,4.47,3.32,2097,697773.25,6.26,6.28
335,"New Year Promotion 2024 - Direct - 335",Direct,"Flash Sale",Completed,2024-12-15,2025-02-13,1194682.00,970281.43,224400.57,81.22,6973518,323506,4.64,3.00,14435,5841094.21,4.46,6.02
351,"End of Season Week 2025 - Direct - 351",Direct,"Flash Sale",Completed,2025-11-15,2026-01-13,611342.00,603803.57,7538.43,98.77,2486228,65220,2.62,9.26,4291,4045483.92,6.58,6.70
353,"Mega Carnival 2024 - Direct - 353",Direct,"Flash Sale",Completed,2024-11-24,2025-02-12,1721766.00,1483116.23,238649.77,86.14,12224878,211386,1.73,7.02,11312,8527918.32,5.35,5.75
366,"Diwali Week 2025 - Direct - 366",Direct,"Brand Awareness",Completed,2025-04-28,2025-06-01,1637688.00,1567511.83,70176.17,95.71,10878048,353964,3.25,4.43,8681,5486291.41,2.45,3.50
378,"End of Season Promotion 2024 - Direct - 378",Direct,"Brand Awareness",Completed,2024-04-05,2024-06-20,1835438.00,1285467.47,549970.53,70.04,4451183,172481,3.87,7.45,7170,4897631.06,4.16,3.81
414,"Premium Bonanza 2025 - Direct - 414",Direct,"Email Promotion",Completed,2025-06-13,2025-08-01,965922.00,730623.58,235298.42,75.64,5521494,109225,1.98,6.69,2787,2922494.32,2.55,4.00
436,"Super Festival 2025 - Direct - 436",Direct,"Festival Sale",Completed,2025-07-23,2025-10-19,179138.00,150137.52,29000.48,83.81,1013762,24608,2.43,6.10,1586,430894.68,6.45,2.87
446,"Super Sale 2025 - Direct - 446",Direct,"Loyalty Campaign",Completed,2025-07-15,2025-09-29,889801.00,778488.21,111312.79,87.49,3251353,53718,1.65,14.49,1531,2382173.92,2.85,3.06
447,"Summer Festival 2024 - Direct - 447",Direct,"Festival Sale",Completed,2024-10-04,2024-10-25,915047.00,821814.55,93232.45,89.81,3433717,161214,4.70,5.10,6127,1717592.41,3.80,2.09
471,"Monsoon Bonanza 2024 - Direct - 471",Direct,"Seasonal Sale",Completed,2024-03-10,2024-05-18,1087374.00,805052.28,282321.72,74.04,3285505,80838,2.46,9.96,3747,3534179.51,4.64,4.39
477,"Winter Carnival 2025 - Direct - 477",Direct,"Flash Sale",Completed,2025-11-19,2026-02-03,1109769.00,828571.17,281197.83,74.66,4083417,184908,4.53,4.48,11981,3347427.53,6.48,4.04
482,"Mega Promotion 2024 - Direct - 482",Direct,"Customer Acquisition",Completed,2024-11-13,2025-01-08,1519179.00,1515861.27,3317.73,99.78,9659247,157246,1.63,9.64,6192,9489291.55,3.94,6.26
487,"End of Season Week 2025 - Direct - 487",Direct,"App Install",Completed,2025-03-12,2025-05-16,1420095.00,1350300.63,69794.37,95.09,5491576,200832,3.66,6.72,7154,8101803.78,3.56,6.00
22,"Big Savings Promotion 2024 - Email - 022",Email,"Seasonal Sale",Completed,2024-02-28,2024-03-20,430160.00,308452.20,121707.80,71.71,1459029,65360,4.48,4.72,1531,576805.61,2.34,1.87
23,"Smart Shopping Offers 2025 - Email - 023",Email,"Festival Sale",Completed,2025-02-17,2025-03-19,1314081.00,1154230.60,159850.40,87.84,4986121,147952,2.97,7.80,7276,5055530.03,4.92,4.38
28,"Winter Sale 2024 - Email - 028",Email,"Flash Sale",Completed,2024-04-04,2024-06-12,799518.00,744619.71,54898.29,93.13,3172909,76684,2.42,9.71,4375,3373127.29,5.71,4.53
34,"Christmas Carnival 2024 - Email - 034",Email,"Product Launch",Completed,2024-12-05,2024-12-23,1317584.00,1302774.74,14809.26,98.88,7764597,145928,1.88,8.93,6089,7178288.82,4.17,5.51
43,"Back to School Drive 2025 - Email - 043",Email,"Seasonal Sale",Completed,2025-07-15,2025-09-25,643564.00,595639.74,47924.26,92.55,2196511,54266,2.47,10.98,3195,2483817.72,5.89,4.17
47,"Grocery Drive 2024 - Email - 047",Email,Retargeting,Completed,2024-08-13,2024-10-29,160869.00,131374.82,29494.18,81.67,546490,23463,4.29,5.60,1318,804013.90,5.62,6.12
61,"Summer Promotion 2024 - Email - 061",Email,"Email Promotion",Completed,2024-08-20,2024-10-20,365463.00,285899.29,79563.71,78.23,967925,33265,3.44,8.59,1825,626119.45,5.49,2.19
97,"Premium Bonanza 2024 - Email - 097",Email,"Seasonal Sale",Completed,2024-10-10,2024-11-12,1774604.00,1335121.79,439482.21,75.23,5586508,88838,1.59,15.03,1842,7797111.25,2.07,5.84
100,"Grocery Festival 2024 - Email - 100",Email,Retargeting,Completed,2024-03-03,2024-05-18,1128168.00,1030830.11,97337.89,91.37,5158245,239726,4.65,4.30,8655,2391525.86,3.61,2.32
134,"Big Savings Week 2025 - Email - 134",Email,Retargeting,Paused,2025-09-03,2025-11-25,607381.00,556095.75,51285.25,91.56,3225071,48552,1.51,11.45,1827,2580284.28,3.76,4.64
141,"Monsoon Campaign 2025 - Email - 141",Email,"Email Promotion",Completed,2025-07-12,2025-09-02,1486048.00,1172034.15,314013.85,78.87,5852421,234788,4.01,4.99,6652,4617814.55,2.83,3.94
143,"Kids Sale 2024 - Email - 143",Email,"Loyalty Campaign",Completed,2024-02-01,2024-03-05,364723.00,262662.57,102060.43,72.02,1009725,28092,2.78,9.35,1099,1213501.07,3.91,4.62
146,"Monsoon Drive 2024 - Email - 146",Email,"Product Launch",Completed,2024-07-23,2024-08-22,462086.00,448040.30,14045.70,96.96,2238858,40462,1.81,11.07,2188,2755447.85,5.41,6.15
148,"Republic Day Carnival 2025 - Email - 148",Email,"App Install",Completed,2025-06-04,2025-07-17,596471.00,558960.08,37510.92,93.71,4481319,154115,3.44,3.63,5925,3309043.67,3.84,5.92
166,"Mega Offers 2024 - Email - 166",Email,"Loyalty Campaign",Completed,2024-02-02,2024-04-30,139714.00,116285.58,23428.42,83.23,595175,17530,2.95,6.63,529,495376.57,3.02,4.26
169,"Back to School Campaign 2024 - Email - 169",Email,"App Install",Completed,2024-10-22,2024-12-02,1106220.00,890109.91,216110.09,80.46,3089950,132370,4.28,6.72,4457,1931538.50,3.37,2.17
170,"Super Bonanza 2025 - Email - 170",Email,"Email Promotion",Completed,2025-01-23,2025-03-29,188219.00,147994.55,40224.45,78.63,595442,16150,2.71,9.16,680,430664.14,4.21,2.91
177,"Home Launch 2025 - Email - 177",Email,"Seasonal Sale",Completed,2025-08-04,2025-09-12,1180621.00,942581.83,238039.17,79.84,4905448,89958,1.83,10.48,6214,3892862.96,6.91,4.13
