return_id,order_id,return_reason,refund_amount,return_status
71,24520,Quality Issue,25786.47,Refunded
72,32924,Late Delivery,25398.9,Refunded
73,22849,Customer Changed Mind,23304.13,Refunded
74,14431,Customer Changed Mind,892.67,Refunded
75,32604,Damaged,21365.43,Refunded
76,35406,Quality Issue,17269.91,Refunded
77,42854,Wrong Product,10722.14,Refunded
78,11661,Late Delivery,24769.77,Refunded
79,38511,Customer Changed Mind,6910.83,Refunded
80,21395,Wrong Product,9120.63,Refunded
81,43835,Damaged,24857.59,Refunded
82,27233,Quality Issue,17098.92,Refunded
83,42380,Damaged,2412.98,Refunded
84,16087,Wrong Product,16573.71,Refunded
85,25839,Wrong Product,1125.29,Refunded
86,34711,Damaged,7945.44,Refunded
87,10460,Quality Issue,3182.21,Refunded
88,8521,Quality Issue,14983.36,Refunded
89,15328,Customer Changed Mind,5044.4,Refunded
90,9203,Quality Issue,1935.98,Refunded
91,45747,Quality Issue,23138.23,Refunded
92,20246,Customer Changed Mind,13755.86,Refunded
93,14651,Late Delivery,24310.45,Refunded
94,43628,Late Delivery,10682.4,Refunded
95,41057,Late Delivery,3063.7,Refunded
96,18863,Quality Issue,15513.51,Refunded
97,8959,Damaged,10818.59,Refunded
98,41953,Wrong Product,22355.51,Refunded
99,40637,Damaged,6050.01,Refunded
100,42476,Customer Changed Mind,24390.91,Refunded
101,45281,Damaged,7398.42,Refunded
102,49441,Late Delivery,20856.49,Refunded
103,22564,Quality Issue,16654.5,Refunded
104,47166,Wrong Product,18222.59,Refunded
105,7075,Quality Issue,22913.2,Refunded
106,26213,Quality Issue,21784.99,Refunded
107,18491,Wrong Product,27346.47,Refunded
108,22411,Late Delivery,21079.29,Refunded
109,39376,Wrong Product,1422.88,Refunded
110,34595,Damaged,7576.83,Refunded
111,7489,Customer Changed Mind,12694.62,Refunded
112,17050,Damaged,23457.95,Refunded
113,28459,Late Delivery,14324.42,Refunded
114,36316,Late Delivery,12375.18,Refunded
115,19883,Customer Changed Mind,6827.29,Refunded
116,37528,Late Delivery,11333.79,Refunded
117,27186,Late Delivery,6449.28,Refunded
118,12231,Customer Changed Mind,5005.6,Refunded
119,4516,Wrong Product,19909.56,Refunded
120,2219,Customer Changed Mind,15647.78,Refunded
121,40382,Quality Issue,23840.47,Refunded
122,34050,Late Delivery,3098.94,Refunded
123,48077,Customer Changed Mind,14628.33,Refunded
124,6408,Quality Issue,22978.15,Refunded
125,39451,Quality Issue,12163.26,Refunded
126,24005,Damaged,14583.88,Refunded
127,3245,Wrong Product,9853.93,Refunded
128,16475,Damaged,19559.63,Refunded
129,35613,Wrong Product,1680.05,Refunded
130,8595,Wrong Product,24506.85,Refunded
131,5721,Customer Changed Mind,1031.56,Refunded
132,37002,Late Delivery,2719.19,Refunded
133,3019,Late Delivery,24199.36,Refunded
134,25753,Quality Issue,4606.09,Refunded
135,20920,Wrong Product,11809.89,Refunded
136,23130,Damaged,8461.38,Refunded
137,37513,Late Delivery,13191.39,Refunded
138,13910,Wrong Product,8870.1,Refunded
139,2970,Wrong Product,3801.33,Refunded
140,15915,Late Delivery,4514.16,Refunded
141,20111,Wrong Product,24213.95,Refunded
142,11495,Customer Changed Mind,17083.05,Refunded
143,20197,Quality Issue,25868.83,Refunded
144,17705,Wrong Product,28007.43,Refunded
145,24562,Late Delivery,17383.7,Refunded
146,36657,Late Delivery,8994.47,Refunded
147,40172,Wrong Product,10364.49,Refunded
148,32,Wrong Product,3220.45,Refunded
149,15810,Late Delivery,17676.1,Refunded
150,46720,Wrong Product,1808.12,Refunded
151,22153,Late Delivery,26627.43,Refunded
152,4418,Wrong Product,3351.96,Refunded
153,37592,Late Delivery,7822.8,Refunded
154,16520,Quality Issue,15933.09,Refunded
155,20806,Damaged,17478.65,Refunded
156,21559,Damaged,11942.42,Refunded
157,43722,Wrong Product,17961.93,Refunded
158,48634,Customer Changed Mind,10060.29,Refunded
159,18132,Damaged,18212.8,Refunded
160,27220,Late Delivery,10876.55,Refunded
161,9202,Quality Issue,1650.96,Refunded
162,22052,Damaged,21702.95,Refunded
163,46592,Quality Issue,13005.79,Refunded
164,22550,Quality Issue,22139.5,Refunded
165,13078,Damaged,10957.56,Refunded
166,29248,Late Delivery,26585.48,Refunded
167,20664,Damaged,23496.96,Refunded
168,47308,Late Delivery,4951.4,Refunded
169,12716,Damaged,12990.17,Refunded
170,37216,Customer Changed Mind,3633.05,Refunded
171,34174,Customer Changed Mind,28156.08,Refunded
172,20780,Quality Issue,764.85,Refunded
173,35434,Quality Issue,7079.79,Refunded
174,39203,Quality Issue,5339.77,Refunded
175,13876,Wrong Product,21452.72,Refunded
176,26866,Quality Issue,1189.39,Refunded
177,41787,Damaged,12236.81,Refunded
178,9024,Damaged,11043.55,Refunded
179,35155,Wrong Product,8739.28,Refunded
180,45703,Damaged,22456.39,Refunded
181,7286,Customer Changed Mind,5072.88,Refunded
182,31673,Quality Issue,18224.21,Refunded
183,39911,Damaged,23162.78,Refunded
184,23467,Late Delivery,15546.92,Refunded
185,8102,Quality Issue,7951.04,Refunded
186,36403,Customer Changed Mind,19792.17,Refunded
187,39918,Damaged,16243.56,Refunded
188,36946,Quality Issue,25207.08,Refunded
189,48497,Quality Issue,16138.54,Refunded
190,49052,Customer Changed Mind,5565.7,Refunded
191,33248,Customer Changed Mind,22625.57,Refunded
192,29186,Wrong Product,12990.43,Refunded
193,36842,Late Delivery,18363.1,Refunded
194,16469,Damaged,13582.23,Refunded
195,3534,Quality Issue,6509.88,Refunded
196,40558,Wrong Product,19629.74,Refunded
197,13447,Wrong Product,5637.46,Refunded
198,18805,Customer Changed Mind,8208.44,Refunded
199,30034,Customer Changed Mind,19270.9,Refunded
200,26807,Quality Issue,11226.39,Refunded
201,16200,Wrong Product,19131.94,Refunded
202,40510,Quality Issue,1474.56,Refunded
203,16889,Damaged,2805.83,Refunded
204,4465,Quality Issue,21589.81,Refunded
205,39335,Wrong Product,14923.03,Refunded
206,39226,Wrong Product,14665.06,Refunded
207,5662,Late Delivery,1928.98,Refunded
208,13850,Damaged,11524.79,Refunded
209,29788,Late Delivery,16705.96,Refunded
210,34716,Quality Issue,17069.0,Refunded
211,26953,Wrong Product,4685.0,Refunded
212,17235,Customer Changed Mind,2732.06,Refunded
213,27450,Customer Changed Mind,10928.42,Refunded
214,49214,Customer Changed Mind,1108.73,Refunded
215,26504,Customer Changed Mind,8266.85,Refunded
216,7793,Late Delivery,19510.28,Refunded
217,48817,Wrong Product,18455.03,Refunded
218,19024,Damaged,1662.58,Refunded
219,17481,Wrong Product,18809.8,Refunded
220,44817,Quality Issue,23079.61,Refunded
221,43985,Late Delivery,13615.22,Refunded
222,46482,Late Delivery,6737.63,Refunded
223,46706,Late Delivery,4844.98,Refunded
224,24133,Quality Issue,11182.87,Refunded
225,9869,Customer Changed Mind,21629.25,Refunded
226,22503,Quality Issue,18861.44,Refunded
227,44314,Quality Issue,8081.06,Refunded
228,13703,Late Delivery,19334.51,Refunded
229,14714,Quality Issue,19357.49,Refunded
230,5203,Customer Changed Mind,23123.87,Refunded
231,3608,Customer Changed Mind,24346.25,Refunded
232,20716,Quality Issue,15709.98,Refunded
233,19358,Damaged,11463.32,Refunded
234,29405,Late Delivery,5237.63,Refunded
235,22655,Wrong Product,13702.41,Refunded
236,3441,Quality Issue,11885.09,Refunded
237,15384,Damaged,2226.59,Refunded
238,42998,Customer Changed Mind,20067.94,Refunded
239,3536,Damaged,18545.93,Refunded
240,45262,Damaged,15799.11,Refunded
241,34669,Customer Changed Mind,20886.35,Refunded
242,29483,Late Delivery,9217.65,Refunded
243,43382,Quality Issue,7939.11,Refunded
244,21758,Quality Issue,14143.77,Refunded
245,38157,Customer Changed Mind,14850.44,Refunded
246,45106,Wrong Product,12028.42,Refunded
247,3553,Customer Changed Mind,4283.79,Refunded
248,2802,Damaged,11837.31,Refunded
249,14556,Late Delivery,6050.26,Refunded
250,26270,Damaged,21410.31,Refunded
251,28284,Quality Issue,2271.26,Refunded
252,19267,Wrong Product,17854.53,Refunded
253,6372,Customer Changed Mind,17648.68,Refunded
254,25891,Quality Issue,23069.71,Refunded
255,26959,Late Delivery,26610.03,Refunded
256,24753,Customer Changed Mind,17169.09,Refunded
257,39931,Quality Issue,1745.1,Refunded
258,18777,Customer Changed Mind,12496.02,Refunded
259,37675,Damaged,1465.13,Refunded
260,27025,Wrong Product,23497.99,Refunded
261,41566,Damaged,9072.43,Refunded
262,33228,Customer Changed Mind,22076.48,Refunded
263,44724,Customer Changed Mind,1367.19,Refunded
264,22781,Damaged,1606.9,Refunded
265,31376,Wrong Product,12517.56,Refunded
266,41303,Customer Changed Mind,22389.8,Refunded
267,44098,Quality Issue,5002.3,Refunded
268,46094,Damaged,24365.23,Refunded
269,34486,Late Delivery,21484.46,Refunded
270,42466,Damaged,27085.21,Refunded
271,15468,Quality Issue,26319.39,Refunded
272,29314,Late Delivery,20026.78,Refunded
273,45435,Customer Changed Mind,20051.87,Refunded
274,48870,Late Delivery,10481.04,Refunded
275,25119,Damaged,27237.49,Refunded
276,23773,Quality Issue,12090.89,Refunded
277,7556,Quality Issue,20062.77,Refunded
278,22798,Customer Changed Mind,5318.34,Refunded
279,35095,Wrong Product,6077.44,Refunded
280,10208,Wrong Product,20053.56,Refunded
281,34582,Damaged,12783.79,Refunded
282,9618,Late Delivery,17847.35,Refunded
283,4666,Late Delivery,6427.96,Refunded
284,22257,Wrong Product,27982.59,Refunded
285,5392,Late Delivery,3816.98,Refunded
286,48703,Customer Changed Mind,15336.96,Refunded
287,4435,Customer Changed Mind,14450.49,Refunded
288,39238,Customer Changed Mind,5283.19,Refunded
289,3246,Wrong Product,14245.17,Refunded
290,46509,Damaged,23393.45,Refunded
291,12402,Damaged,8791.79,Refunded
292,42961,Wrong Product,24967.64,Refunded
293,33431,Wrong Product,21740.47,Refunded
294,23506,Customer Changed Mind,25086.75,Refunded
295,17958,Damaged,16679.41,Refunded
296,24355,Customer Changed Mind,24108.9,Refunded
297,20871,Quality Issue,12919.0,Refunded
298,12641,Customer Changed Mind,21986.11,Refunded
299,32480,Customer Changed Mind,18253.43,Refunded
300,29516,Late Delivery,8411.1,Refunded
301,15391,Wrong Product,23951.01,Refunded
302,18795,Damaged,14910.03,Refunded
303,43690,Quality Issue,1920.54,Refunded
304,804,Damaged,22415.68,Refunded
305,225,Customer Changed Mind,24217.02,Refunded
306,24625,Late Delivery,7600.41,Refunded
307,49785,Wrong Product,3075.36,Refunded
308,48303,Quality Issue,28593.92,Refunded
309,46292,Damaged,8689.57,Refunded
310,7635,Wrong Product,13113.29,Refunded
311,17839,Quality Issue,15530.16,Refunded
312,48736,Quality Issue,14089.03,Refunded
313,9924,Quality Issue,23387.98,Refunded
314,43180,Customer Changed Mind,3697.36,Refunded
315,47648,Quality Issue,12907.33,Refunded
316,47560,Damaged,13209.07,Refunded
317,36447,Late Delivery,20531.62,Refunded
318,26569,Customer Changed Mind,3975.39,Refunded
319,7389,Wrong Product,10046.61,Refunded
320,31219,Late Delivery,7870.73,Refunded
321,16760,Customer Changed Mind,13418.89,Refunded
322,39902,Quality Issue,15301.11,Refunded
323,40339,Customer Changed Mind,13025.28,Refunded
324,31404,Damaged,3744.81,Refunded
325,34654,Wrong Product,19801.57,Refunded
326,36261,Late Delivery,5405.5,Refunded
327,33428,Quality Issue,1348.3,Refunded
328,33198,Wrong Product,20142.3,Refunded
329,27112,Wrong Product,9965.68,Refunded
330,8816,Wrong Product,15584.12,Refunded
331,13199,Customer Changed Mind,7357.81,Refunded
332,7410,Wrong Product,20611.19,Refunded
333,20270,Damaged,19842.87,Refunded
334,12094,Quality Issue,25721.47,Refunded
335,3663,Wrong Product,10484.29,Refunded
336,23751,Quality Issue,14341.41,Refunded
337,9482,Late Delivery,7124.61,Refunded
338,35367,Late Delivery,2281.3,Refunded
339,46762,Customer Changed Mind,23028.39,Refunded
340,2692,Late Delivery,23224.21,Refunded
341,14566,Customer Changed Mind,22894.54,Refunded
342,17396,Wrong Product,9130.64,Refunded
343,44438,Quality Issue,17303.99,Refunded
344,33128,Wrong Product,9869.04,Refunded
345,34974,Damaged,4532.76,Refunded
346,1653,Quality Issue,24908.51,Refunded
347,32660,Quality Issue,12818.53,Refunded
348,36520,Damaged,15867.09,Refunded
349,11563,Damaged,953.84,Refunded
350,33364,Quality Issue,6733.02,Refunded
351,31321,Customer Changed Mind,2155.72,Refunded
352,41625,Damaged,15105.66,Refunded
353,17566,Customer Changed Mind,13007.13,Refunded
354,21238,Late Delivery,14807.24,Refunded
355,47183,Damaged,6345.98,Refunded
356,14677,Wrong Product,10525.46,Refunded
357,47818,Wrong Product,10520.18,Refunded
358,2453,Damaged,4287.67,Refunded
359,1414,Customer Changed Mind,1907.16,Refunded
360,22631,Late Delivery,14127.61,Refunded
361,36821,Damaged,4755.82,Refunded
362,43599,Customer Changed Mind,15307.01,Refunded
363,47642,Customer Changed Mind,5177.97,Refunded
364,9208,Wrong Product,22238.17,Refunded
365,17831,Customer Changed Mind,1095.65,Refunded
366,25330,Customer Changed Mind,9368.22,Refunded
367,33064,Damaged,13054.27,Refunded
368,26563,Customer Changed Mind,23761.78,Refunded
369,37381,Damaged,16252.22,Refunded
370,8162,Wrong Product,22288.94,Refunded
371,40597,Wrong Product,1934.4,Refunded
372,21371,Damaged,17958.1,Refunded
373,7033,Wrong Product,4719.57,Refunded
374,20352,Late Delivery,21899.37,Refunded
375,9840,Wrong Product,7245.23,Refunded
376,6505,Customer Changed Mind,12839.85,Refunded
377,4674,Late Delivery,11251.31,Refunded
378,26897,Quality Issue,734.45,Refunded
379,14584,Quality Issue,2944.81,Refunded
380,12410,Late Delivery,8823.58,Refunded
381,49197,Quality Issue,5568.16,Refunded
382,44897,Wrong Product,13302.89,Refunded
383,967,Quality Issue,11274.04,Refunded
384,21663,Damaged,22180.9,Refunded
385,25144,Late Delivery,19983.34,Refunded
386,16012,Quality Issue,22005.85,Refunded
387,44100,Quality Issue,12715.49,Refunded
388,539,Wrong Product,25546.63,Refunded
389,9225,Wrong Product,1408.97,Refunded
390,33496,Late Delivery,15629.74,Refunded
391,667,Customer Changed Mind,24931.71,Refunded
392,36294,Customer Changed Mind,8077.56,Refunded
393,36061,Quality Issue,3362.62,Refunded
394,24066,Damaged,16671.24,Refunded
395,47861,Quality Issue,6608.78,Refunded
396,44745,Wrong Product,3061.53,Refunded
397,6633,Quality Issue,24591.88,Refunded
398,13495,Late Delivery,20734.03,Refunded
399,27226,Customer Changed Mind,24606.02,Refunded
400,16869,Wrong Product,6745.79,Refunded
401,56,Quality Issue,5120.46,Refunded
402,10969,Damaged,14223.02,Refunded
403,21757,Late Delivery,20096.64,Refunded
404,34157,Quality Issue,24460.43,Refunded
405,48321,Damaged,21504.21,Refunded
406,44382,Wrong Product,23400.59,Refunded
407,34850,Customer Changed Mind,5291.27,Refunded
408,9218,Wrong Product,10369.37,Refunded
409,423,Customer Changed Mind,17300.56,Refunded
410,47081,Quality Issue,25078.78,Refunded
411,9044,Wrong Product,724.07,Refunded
412,34224,Customer Changed Mind,9399.73,Refunded
413,28902,Damaged,5913.17,Refunded
414,22809,Quality Issue,7633.9,Refunded
415,14335,Wrong Product,25259.44,Refunded
416,40206,Late Delivery,11240.53,Refunded
417,18529,Wrong Product,12144.54,Refunded
418,18974,Late Delivery,9885.19,Refunded
419,28619,Wrong Product,8214.49,Refunded
420,21311,Wrong Product,18999.63,Refunded
421,31485,Customer Changed Mind,10566.57,Refunded
422,32870,Late Delivery,8957.38,Refunded
423,31988,Wrong Product,9787.72,Refunded
424,41749,Customer Changed Mind,11164.89,Refunded
425,20719,Customer Changed Mind,28962.36,Refunded
426,5608,Wrong Product,22043.63,Refunded
427,36641,Damaged,14709.93,Refunded
428,49255,Wrong Product,13728.07,Refunded
429,25454,Wrong Product,22093.56,Refunded
430,6096,Quality Issue,19196.01,Refunded
431,36919,Late Delivery,6429.34,Refunded
432,39598,Late Delivery,3483.48,Refunded
433,34725,Damaged,2984.89,Refunded
434,7757,Wrong Product,6689.55,Refunded
435,31830,Damaged,6739.55,Refunded
436,11814,Quality Issue,24309.34,Refunded
437,33812,Quality Issue,2954.91,Refunded
438,46268,Late Delivery,15313.34,Refunded
439,30546,Damaged,8426.28,Refunded
440,1973,Customer Changed Mind,5573.56,Refunded
441,15788,Quality Issue,6877.39,Refunded
442,34914,Damaged,6727.41,Refunded
443,14888,Quality Issue,4764.8,Refunded
444,2895,Late Delivery,15149.71,Refunded
445,37698,Damaged,8997.64,Refunded
446,25736,Late Delivery,2521.14,Refunded
447,15300,Customer Changed Mind,782.16,Refunded
448,23429,Quality Issue,27535.14,Refunded
449,15918,Damaged,1631.05,Refunded
450,29414,Damaged,22874.74,Refunded
451,10379,Quality Issue,24893.4,Refunded
452,45393,Wrong Product,13532.96,Refunded
453,47102,Late Delivery,4784.85,Refunded
454,33005,Quality Issue,26295.1,Refunded
455,47383,Late Delivery,15824.14,Refunded
456,36769,Quality Issue,11708.08,Refunded
457,30320,Quality Issue,13018.85,Refunded
458,9917,Damaged,27733.22,Refunded
459,28808,Quality Issue,8890.13,Refunded
460,19152,Wrong Product,20954.06,Refunded
461,16051,Wrong Product,773.96,Refunded
462,35848,Wrong Product,4308.47,Refunded
463,24369,Customer Changed Mind,13782.74,Refunded
464,44670,Customer Changed Mind,12271.74,Refunded
465,41845,Late Delivery,23516.48,Refunded
466,26109,Damaged,3385.88,Refunded
467,36790,Quality Issue,8175.57,Refunded
468,36358,Late Delivery,18770.49,Refunded
469,25328,Customer Changed Mind,4780.58,Refunded
470,44268,Quality Issue,8754.17,Refunded
471,22648,Customer Changed Mind,21174.89,Refunded
472,46339,Wrong Product,20325.54,Refunded
473,33171,Late Delivery,19805.36,Refunded
474,24068,Damaged,26959.12,Refunded
475,29137,Damaged,2266.26,Refunded
476,19447,Quality Issue,5170.57,Refunded
477,3128,Quality Issue,20003.78,Refunded
478,16021,Wrong Product,14487.8,Refunded
479,36680,Quality Issue,10429.92,Refunded
480,39774,Quality Issue,11937.41,Refunded
481,31361,Damaged,1119.19,Refunded
482,35585,Late Delivery,26249.98,Refunded
483,28901,Damaged,21706.88,Refunded
484,46746,Customer Changed Mind,21427.6,Refunded
485,11373,Damaged,26432.94,Refunded
486,30239,Wrong Product,21642.14,Refunded
487,49028,Late Delivery,6204.02,Refunded
488,17612,Quality Issue,3235.45,Refunded
489,23985,Wrong Product,4410.54,Refunded
490,31208,Quality Issue,20159.45,Refunded
491,49457,Wrong Product,2489.75,Refunded
492,38134,Customer Changed Mind,825.19,Refunded
493,14946,Damaged,20453.51,Refunded
494,33003,Quality Issue,3534.9,Refunded
495,23599,Late Delivery,15265.75,Refunded
496,7061,Customer Changed Mind,22497.97,Refunded
497,1767,Late Delivery,12552.41,Refunded
498,36500,Wrong Product,7269.66,Refunded
499,22220,Wrong Product,10265.4,Refunded
500,17032,Wrong Product,17176.28,Refunded
501,27396,Customer Changed Mind,8231.59,Refunded
502,27856,Quality Issue,21446.67,Refunded
503,14924,Late Delivery,17557.58,Refunded
504,12115,Wrong Product,25803.01,Refunded
505,44266,Customer Changed Mind,5042.98,Refunded
506,35092,Damaged,2023.19,Refunded
507,19549,Damaged,2206.69,Refunded
508,49532,Customer Changed Mind,12562.51,Refunded
509,28169,Wrong Product,8042.08,Refunded
510,27338,Late Delivery,3954.45,Refunded
511,36336,Damaged,9233.38,Refunded
512,17577,Customer Changed Mind,23452.92,Refunded
513,34902,Damaged,12607.75,Refunded
514,4277,Quality Issue,23640.84,Refunded
515,2641,Wrong Product,9048.82,Refunded
516,1862,Damaged,9940.77,Refunded
517,110,Quality Issue,18356.6,Refunded
518,32510,Late Delivery,16831.06,Refunded
519,28602,Quality Issue,17353.95,Refunded
520,17145,Wrong Product,28956.5,Refunded
521,6650,Quality Issue,21281.18,Refunded
522,47844,Wrong Product,18209.35,Refunded
523,39442,Damaged,20317.47,Refunded
524,14289,Late Delivery,1534.41,Refunded
525,49171,Damaged,10470.85,Refunded
526,14666,Damaged,9968.18,Refunded
527,46656,Damaged,5896.68,Refunded
528,29618,Wrong Product,8374.21,Refunded
529,39653,Quality Issue,6800.02,Refunded
530,40150,Wrong Product,18440.3,Refunded
531,26738,Wrong Product,17647.37,Refunded
532,4690,Quality Issue,7489.8,Refunded
533,36921,Wrong Product,17818.81,Refunded
534,16554,Damaged,20261.33,Refunded
535,42630,Customer Changed Mind,16422.26,Refunded
536,29180,Damaged,14758.42,Refunded
537,7939,Quality Issue,8008.34,Refunded
538,36786,Late Delivery,14312.57,Refunded
539,30095,Wrong Product,20668.21,Refunded
540,28709,Damaged,9641.67,Refunded
541,41424,Customer Changed Mind,9424.86,Refunded
542,37918,Quality Issue,18932.81,Refunded
543,31223,Damaged,5441.14,Refunded
544,27955,Late Delivery,7797.0,Refunded
545,30189,Wrong Product,10159.95,Refunded
546,37063,Quality Issue,5111.46,Refunded
547,20416,Wrong Product,1001.96,Refunded
548,15982,Wrong Product,22309.85,Refunded
549,14222,Customer Changed Mind,22605.9,Refunded
550,9980,Late Delivery,1575.03,Refunded
551,31020,Customer Changed Mind,18418.65,Refunded
552,47707,Late Delivery,3290.74,Refunded
553,16238,Wrong Product,8938.45,Refunded
554,42795,Wrong Product,12305.96,Refunded
555,38295,Wrong Product,7649.27,Refunded
556,864,Customer Changed Mind,24866.48,Refunded
557,42451,Customer Changed Mind,25260.47,Refunded
558,48958,Customer Changed Mind,16741.97,Refunded
559,47086,Quality Issue,23991.46,Refunded
560,18532,Damaged,26095.81,Refunded
561,17404,Late Delivery,20826.84,Refunded
562,30996,Late Delivery,8650.74,Refunded
563,42138,Late Delivery,21411.47,Refunded
564,3551,Quality Issue,8928.15,Refunded
565,271,Wrong Product,7490.44,Refunded
566,31279,Damaged,4490.23,Refunded
567,19298,Late Delivery,2104.85,Refunded
568,47032,Late Delivery,4271.27,Refunded
569,47657,Customer Changed Mind,17018.22,Refunded
570,34714,Late Delivery,4138.81,Refunded
571,13027,Quality Issue,10055.94,Refunded
572,13198,Damaged,17115.14,Refunded
573,26973,Wrong Product,8555.2,Refunded
574,24944,Wrong Product,24358.6,Refunded
575,11651,Late Delivery,19598.95,Refunded
576,13765,Quality Issue,12943.21,Refunded
577,25956,Wrong Product,6447.38,Refunded
578,37075,Damaged,17339.86,Refunded
579,11788,Late Delivery,10346.19,Refunded
580,18707,Quality Issue,1848.88,Refunded
581,30938,Quality Issue,12799.87,Refunded
582,19891,Late Delivery,11010.9,Refunded
583,29390,Quality Issue,632.15,Refunded
584,9884,Late Delivery,4526.07,Refunded
585,32665,Wrong Product,12028.84,Refunded
586,5179,Quality Issue,16929.39,Refunded
587,40797,Customer Changed Mind,2264.9,Refunded
588,19173,Damaged,10560.07,Refunded
589,4215,Damaged,7861.16,Refunded
590,43595,Quality Issue,6856.41,Refunded
591,30685,Damaged,16493.91,Refunded
592,34401,Wrong Product,7179.33,Refunded
593,38716,Late Delivery,1826.82,Refunded
594,18310,Late Delivery,21052.05,Refunded
595,16419,Quality Issue,10373.58,Refunded
596,38707,Customer Changed Mind,12177.46,Refunded
597,19315,Wrong Product,22250.93,Refunded
598,33920,Quality Issue,2142.01,Refunded
599,37279,Late Delivery,18433.6,Refunded
600,30534,Wrong Product,27526.47,Refunded
601,29653,Customer Changed Mind,10852.62,Refunded
602,39904,Quality Issue,9285.42,Refunded
603,27398,Late Delivery,16470.33,Refunded
604,45338,Damaged,16752.57,Refunded
605,6368,Wrong Product,10411.62,Refunded
606,34916,Quality Issue,24876.04,Refunded
607,11971,Quality Issue,19211.66,Refunded
608,39237,Late Delivery,16530.37,Refunded
609,29202,Damaged,1322.9,Refunded
610,24850,Customer Changed Mind,4498.81,Refunded
611,39897,Late Delivery,22796.73,Refunded
612,23378,Damaged,18557.09,Refunded
613,49320,Damaged,3836.79,Refunded
614,780,Damaged,8449.77,Refunded
615,19887,Wrong Product,10571.74,Refunded
616,448,Late Delivery,8323.49,Refunded
617,35957,Wrong Product,22327.82,Refunded
618,798,Wrong Product,4130.84,Refunded
619,48855,Quality Issue,20952.83,Refunded
620,22581,Customer Changed Mind,11497.06,Refunded
621,29184,Quality Issue,25637.33,Refunded
622,5470,Customer Changed Mind,22767.68,Refunded
623,7454,Damaged,20853.97,Refunded
624,8877,Damaged,1417.13,Refunded
625,20241,Late Delivery,23504.87,Refunded
626,23957,Damaged,17499.46,Refunded
627,44722,Wrong Product,6718.69,Refunded
628,6108,Wrong Product,9539.63,Refunded
629,7379,Damaged,9717.16,Refunded
630,14021,Quality Issue,16812.15,Refunded
